Eval,BestError,Log10Error
100,2.1674064683090272e+01,1.3359403651223107e+00
200,2.1674064683090272e+01,1.3359403651223107e+00
300,2.1670734867729696e+01,1.3358736387581478e+00
400,2.1631742821432233e+01,1.3350915109896859e+00
500,2.1631742821432233e+01,1.3350915109896859e+00
600,2.1631742821432233e+01,1.3350915109896859e+00
700,2.1631742821432233e+01,1.3350915109896859e+00
800,2.1631742821432233e+01,1.3350915109896859e+00
900,2.1631742821432233e+01,1.3350915109896859e+00
1000,2.1631742821432233e+01,1.3350915109896859e+00
1100,2.1631742821432233e+01,1.3350915109896859e+00
1200,2.1631742821432233e+01,1.3350915109896859e+00
1300,2.1631742821432233e+01,1.3350915109896859e+00
1400,2.1618757405655238e+01,1.3348307281290479e+00
1500,2.1618757405655238e+01,1.3348307281290479e+00
1600,2.1618757405655238e+01,1.3348307281290479e+00
1700,2.1618757405655238e+01,1.3348307281290479e+00
1800,2.1618757405655238e+01,1.3348307281290479e+00
1900,2.1618757405655238e+01,1.3348307281290479e+00
2000,2.1618757405655238e+01,1.3348307281290479e+00
2100,2.1618757405655238e+01,1.3348307281290479e+00
2200,2.1618757405655238e+01,1.3348307281290479e+00
2300,2.1618757405655238e+01,1.3348307281290479e+00
2400,2.1618757405655238e+01,1.3348307281290479e+00
2500,2.1618757405655238e+01,1.3348307281290479e+00
2600,2.1611290133605173e+01,1.3346806938236024e+00
2700,2.1611290133605173e+01,1.3346806938236024e+00
2800,2.1611290133605173e+01,1.3346806938236024e+00
2900,2.1611290133605173e+01,1.3346806938236024e+00
3000,2.1611290133605173e+01,1.3346806938236024e+00
3100,2.1589584394198702e+01,1.3342442821191576e+00
3200,2.1585663852527471e+01,1.3341654096314377e+00
3300,2.1585663852527471e+01,1.3341654096314377e+00
3400,2.1585663852527471e+01,1.3341654096314377e+00
3500,2.1585663852527471e+01,1.3341654096314377e+00
3600,2.1585663852527471e+01,1.3341654096314377e+00
3700,2.1585663852527471e+01,1.3341654096314377e+00
3800,2.1585663852527471e+01,1.3341654096314377e+00
3900,2.1585663852527471e+01,1.3341654096314377e+00
4000,2.1585663852527471e+01,1.3341654096314377e+00
4100,2.1585663852527471e+01,1.3341654096314377e+00
4200,2.1585663852527471e+01,1.3341654096314377e+00
4300,2.1585663852527471e+01,1.3341654096314377e+00
4400,2.1585663852527471e+01,1.3341654096314377e+00
4500,2.1585663852527471e+01,1.3341654096314377e+00
4600,2.1585663852527471e+01,1.3341654096314377e+00
4700,2.1585663852527471e+01,1.3341654096314377e+00
4800,2.1585663852527471e+01,1.3341654096314377e+00
4900,2.1585663852527471e+01,1.3341654096314377e+00
5000,2.1585663852527471e+01,1.3341654096314377e+00
5100,2.1585663852527471e+01,1.3341654096314377e+00
5200,2.1583896202082808e+01,1.3341298437913640e+00
5300,2.1583896202082808e+01,1.3341298437913640e+00
5400,2.1583896202082808e+01,1.3341298437913640e+00
5500,2.1583896202082808e+01,1.3341298437913640e+00
5600,2.1583896202082808e+01,1.3341298437913640e+00
5700,2.1583896202082808e+01,1.3341298437913640e+00
5800,2.1583896202082808e+01,1.3341298437913640e+00
5900,2.1583896202082808e+01,1.3341298437913640e+00
6000,2.1583896202082808e+01,1.3341298437913640e+00
6100,2.1579894022617349e+01,1.3340493075616506e+00
6200,2.1579894022617349e+01,1.3340493075616506e+00
6300,2.1579894022617349e+01,1.3340493075616506e+00
6400,2.1579894022617349e+01,1.3340493075616506e+00
6500,2.1579894022617349e+01,1.3340493075616506e+00
6600,2.1579894022617349e+01,1.3340493075616506e+00
6700,2.1579894022617349e+01,1.3340493075616506e+00
6800,2.1579894022617349e+01,1.3340493075616506e+00
6900,2.1579894022617349e+01,1.3340493075616506e+00
7000,2.1579894022617349e+01,1.3340493075616506e+00
7100,2.1579894022617349e+01,1.3340493075616506e+00
7200,2.1579894022617349e+01,1.3340493075616506e+00
7300,2.1579894022617349e+01,1.3340493075616506e+00
7400,2.1579894022617349e+01,1.3340493075616506e+00
7500,2.1573727780924727e+01,1.3339251944676627e+00
7600,2.1573727780924727e+01,1.3339251944676627e+00
7700,2.1573727780924727e+01,1.3339251944676627e+00
7800,2.1573727780924727e+01,1.3339251944676627e+00
7900,2.1573727780924727e+01,1.3339251944676627e+00
8000,2.1573727780924727e+01,1.3339251944676627e+00
8100,2.1573727780924727e+01,1.3339251944676627e+00
8200,2.1573727780924727e+01,1.3339251944676627e+00
8300,2.1573727780924727e+01,1.3339251944676627e+00
8400,2.1573727780924727e+01,1.3339251944676627e+00
8500,2.1573727780924727e+01,1.3339251944676627e+00
8600,2.1573727780924727e+01,1.3339251944676627e+00
8700,2.1573727780924727e+01,1.3339251944676627e+00
8800,2.1573727780924727e+01,1.3339251944676627e+00
8900,2.1573727780924727e+01,1.3339251944676627e+00
9000,2.1573727780924727e+01,1.3339251944676627e+00
9100,2.1573727780924727e+01,1.3339251944676627e+00
9200,2.1573727780924727e+01,1.3339251944676627e+00
9300,2.1573727780924727e+01,1.3339251944676627e+00
9400,2.1573727780924727e+01,1.3339251944676627e+00
9500,2.1573727780924727e+01,1.3339251944676627e+00
9600,2.1563490865090870e+01,1.3337190691642076e+00
9700,2.1563490865090870e+01,1.3337190691642076e+00
9800,2.1563490865090870e+01,1.3337190691642076e+00
9900,2.1563490865090870e+01,1.3337190691642076e+00
10000,2.1563490865090870e+01,1.3337190691642076e+00
10100,2.1563490865090870e+01,1.3337190691642076e+00
10200,2.1563490865090870e+01,1.3337190691642076e+00
10300,2.1563490865090870e+01,1.3337190691642076e+00
10400,2.1563490865090870e+01,1.3337190691642076e+00
10500,2.1563490865090870e+01,1.3337190691642076e+00
10600,2.1563490865090870e+01,1.3337190691642076e+00
10700,2.1563490865090870e+01,1.3337190691642076e+00
10800,2.1563490865090870e+01,1.3337190691642076e+00
10900,2.1563490865090870e+01,1.3337190691642076e+00
11000,2.1563490865090870e+01,1.3337190691642076e+00
11100,2.1563490865090870e+01,1.3337190691642076e+00
11200,2.1563490865090870e+01,1.3337190691642076e+00
11300,2.1563490865090870e+01,1.3337190691642076e+00
11400,2.1563490865090870e+01,1.3337190691642076e+00
11500,2.1563490865090870e+01,1.3337190691642076e+00
11600,2.1563490865090870e+01,1.3337190691642076e+00
11700,2.1563490865090870e+01,1.3337190691642076e+00
11800,2.1563490865090870e+01,1.3337190691642076e+00
11900,2.1563490865090870e+01,1.3337190691642076e+00
12000,2.1563490865090870e+01,1.3337190691642076e+00
12100,2.1563490865090870e+01,1.3337190691642076e+00
12200,2.1563490865090870e+01,1.3337190691642076e+00
12300,2.1563490865090870e+01,1.3337190691642076e+00
12400,2.1563490865090870e+01,1.3337190691642076e+00
12500,2.1563490865090870e+01,1.3337190691642076e+00
12600,2.1563490865090870e+01,1.3337190691642076e+00
12700,2.1563490865090870e+01,1.3337190691642076e+00
12800,2.1563490865090870e+01,1.3337190691642076e+00
12900,2.1563490865090870e+01,1.3337190691642076e+00
13000,2.1563490865090870e+01,1.3337190691642076e+00
13100,2.1563490865090870e+01,1.3337190691642076e+00
13200,2.1563490865090870e+01,1.3337190691642076e+00
13300,2.1563490865090870e+01,1.3337190691642076e+00
13400,2.1563490865090870e+01,1.3337190691642076e+00
13500,2.1563490865090870e+01,1.3337190691642076e+00
13600,2.1563490865090870e+01,1.3337190691642076e+00
13700,2.1563490865090870e+01,1.3337190691642076e+00
13800,2.1563490865090870e+01,1.3337190691642076e+00
13900,2.1556207163203307e+01,1.3335723486762483e+00
14000,2.1556207163203307e+01,1.3335723486762483e+00
14100,2.1556207163203307e+01,1.3335723486762483e+00
14200,2.1556207163203307e+01,1.3335723486762483e+00
14300,2.1556207163203307e+01,1.3335723486762483e+00
14400,2.1556207163203307e+01,1.3335723486762483e+00
14500,2.1556207163203307e+01,1.3335723486762483e+00
14600,2.1556207163203307e+01,1.3335723486762483e+00
14700,2.1556207163203307e+01,1.3335723486762483e+00
14800,2.1556207163203307e+01,1.3335723486762483e+00
14900,2.1556207163203307e+01,1.3335723486762483e+00
15000,2.1556207163203307e+01,1.3335723486762483e+00
15100,2.1556207163203307e+01,1.3335723486762483e+00
15200,2.1556207163203307e+01,1.3335723486762483e+00
15300,2.1556207163203307e+01,1.3335723486762483e+00
15400,2.1556207163203307e+01,1.3335723486762483e+00
15500,2.1556207163203307e+01,1.3335723486762483e+00
15600,2.1556207163203307e+01,1.3335723486762483e+00
15700,2.1556207163203307e+01,1.3335723486762483e+00
15800,2.1556207163203307e+01,1.3335723486762483e+00
15900,2.1556207163203307e+01,1.3335723486762483e+00
16000,2.1556207163203307e+01,1.3335723486762483e+00
16100,2.1556207163203307e+01,1.3335723486762483e+00
16200,2.1556207163203307e+01,1.3335723486762483e+00
16300,2.1556207163203307e+01,1.3335723486762483e+00
16400,2.1556207163203307e+01,1.3335723486762483e+00
16500,2.1556207163203307e+01,1.3335723486762483e+00
16600,2.1556207163203307e+01,1.3335723486762483e+00
16699,2.1556207163203307e+01,1.3335723486762483e+00
16798,2.1556207163203307e+01,1.3335723486762483e+00
16897,2.1556207163203307e+01,1.3335723486762483e+00
16996,2.1556207163203307e+01,1.3335723486762483e+00
17095,2.1556207163203307e+01,1.3335723486762483e+00
17194,2.1556207163203307e+01,1.3335723486762483e+00
17293,2.1556207163203307e+01,1.3335723486762483e+00
17392,2.1556207163203307e+01,1.3335723486762483e+00
17491,2.1556207163203307e+01,1.3335723486762483e+00
17590,2.1556207163203307e+01,1.3335723486762483e+00
17689,2.1556207163203307e+01,1.3335723486762483e+00
17788,2.1556207163203307e+01,1.3335723486762483e+00
17887,2.1556207163203307e+01,1.3335723486762483e+00
17986,2.1556207163203307e+01,1.3335723486762483e+00
18085,2.1556207163203307e+01,1.3335723486762483e+00
18184,2.1556207163203307e+01,1.3335723486762483e+00
