Run,Seed,E30000,E60000,E90000,E150000,E300000,E600000,E900000,E1200000,E1500000,E1800000,E2100000,E2400000,E2700000,E3000000
1,1029243922,2.295411191488056e+16,1.208890732691402e+16,6854454521166409,1526811205264140,1164601146760204,752585740578525.4,717436485845389.8,581394625597092.2,341066574021806.2,279801083617231.4,81627226671183.14,47238894094174.58,46639179014712.57,46278789894406.2
2,1030243959,3.054620424304949e+16,9863245006731760,7097452043640770,3605008158183592,2851523044739861,1649729864132557,1322167242977387,1216347663969583,842795456912639.1,343497935325070.7,110497513029986.9,44787958807652.69,42984582019913.59,42761634244202.32
3,1031243996,1.773030598818006e+16,1.216640463234738e+16,5851256554360073,3488740762068228,1541066375054211,420809578543592.3,291311062333272.2,243593752118086.1,233360161212285.4,153425900778337.8,73864801095578.61,33254678164690.07,32392537858103.06,31880700421190.58
4,1032244033,2.198499634190033e+16,7067974348066932,4894807529254203,3702889925303592,1626979962354353,644059307429889.8,583849195020535.6,553313687941041.8,475076704582728.7,408002367030613.2,168996387852446.3,118521958605856.8,116690758110962.6,115281221679909
5,1033244070,2.80311770685744e+16,1.228407642462339e+16,8063202021122734,4726983662399384,2289144678807735,1393480444661940,1132678590342594,708132002954466.8,438437418345379.4,310525977130431.7,176150152474153.5,91087661890973.52,82234018182500.81,78233184382842.22
6,1034244107,2.397767706980674e+16,1.089509206092003e+16,7266565220208834,3673358168893568,2059839203176241,950775065685140.4,836416064354536.9,673412503257602.6,602709827439992.2,501990787937096.5,258977145968017.5,132759155064257.9,125553824319818.5,123147673225820.2
7,1035244144,3.068638838948021e+16,1.423885332225035e+16,7483890315378326,4098616816721488,2213837386038446,919616271263905.5,837678615011793,761677628908102.1,707182536092476,495809795426009.9,210225224095026.8,76022090957054.95,73497929738990.58,71625158935701.67
8,1036244181,2.04087960146061e+16,8831133057455649,6280472151866559,2059649899810201,1600336617390495,291320869218344.5,270437385984583.7,254844025161615.8,251696246203275,195484837707064.9,112827063916296.2,49817984131299.97,48137682198216.76,47921549579580.28
9,1037244218,3.405695154375099e+16,1.111519582181138e+16,7626465521553461,4681074615618081,2870735310720172,1517495222700950,1270379593079662,816307936377439.4,583575166002883,302995448022481.9,126541343992275.1,38663496061866.67,33924273854780.24,32636016734977.65
10,1038244255,3.033948470570327e+16,8412759346232637,5264056385272735,3958185312547184,2258542161154538,653432374645069.1,611730058071867.9,565567036285430.8,512724875733873.7,411669171292545.9,206231236130676.5,91891854609695.38,90088473811794.34,87794578556830.23
11,1039244292,2.934413645623672e+16,1.209236204336569e+16,5557184090048625,3574111511186492,1926965086181607,1184710308442109,832712239616407.5,625577516570425.1,519449634709417,256936630752752.4,156957509222001.7,79683352354033.05,73812658024621.31,72998317696593.02
12,1040244329,4.861479254666927e+16,1.941375197741632e+16,1.108287183506839e+16,7029735603091435,2916855043353206,1600388169268724,1232301486543722,910423064906787.8,543551257298829.3,300993465647448.9,194123384262703.9,120972925723590.8,109792979327824,106730764903890.9
13,1041244366,2.53620763593719e+16,1.2859128366383e+16,7996454332867851,4418548429750316,1260210917893924,631011646403242.9,424397425487406.9,382446989104422.9,349559178568670.8,224811629023053.7,123657704997398.4,56999167934283.2,54457260077587.84,53303453897157.12
14,1042244403,1.963174933996006e+16,1.046238062646975e+16,8451196363745399,3139999919647328,1958053525128930,952632064948593.5,680894195579250.4,626632268768519.2,553467624046970.7,284522644322893.4,145679235958454.9,47932888033221.2,44068209781662.85,42875777910974.18
15,1043244440,2.83434715108109e+16,1.146697562836583e+16,4868184763229580,4381678988403841,1283455525204632,643201494659612.2,580393301978430.4,449940268629803.1,414173022581694,353441842152914.9,202521693030812.6,55272936505195.63,50783745181496.23,49846616395753.53
16,1044244477,1.354047441927422e+16,8531635520260013,5806526485208819,3449229211900586,2201897289025516,782754830745122.4,662070382315935.2,547902746997238.1,504694536918062.9,390549353692314.9,294277981120242.2,63737733085547.19,56598243185372.47,55358829502016.68
17,1045244514,2.777050600350228e+16,1.011417855437399e+16,7969061047373805,1799098634198161,1339855119249000,913401073019639.5,741794904652334.8,558838139875370.7,505971789549055.1,325805394152393.9,51808881971930.99,16541312401922.85,16019804968169.41,15521864101471.39
18,1046244551,2.738747498728632e+16,1.339333176825243e+16,1.069827105903367e+16,5966927287802433,3519578069119868,1874004847218973,1600881329519630,1387671268279419,1146540857404071,528189656859338.4,268592688586782,105715030165888.4,95268740189882.62,93232829036142.73
19,1047244588,1.86925177785517e+16,9612772493424996,8272093720132582,6168486203645837,2118036499819088,1093339497948667,1008651240544837,831955977231458.8,676067555419177.8,361012147325071.6,159232501663486.6,40004685898325.53,38454131427602.1,37687467232026.11
20,1048244625,4.131220937982913e+16,1.554491936088537e+16,6538423482111972,2793594498851702,1685911493583492,768891445247869.5,612061433344840.2,485281393161471.9,374678929439153.6,269819963718035.9,68101995640006.61,30253900760556.14,29698072525900.42,29352239017694.07
21,1049244662,3.047941995455522e+16,9455015837426458,4746426468257633,3182749112042678,1449283782761160,895150435262280.4,781209662126646.5,476840112890658.1,374626880739892,350634433703487.4,211870955375957.3,87735911418649.66,82822389592706.44,79543596121817.94
22,1050244699,3.073902001012768e+16,7571033555595264,5327272151926816,3312955740406856,1362939899560053,731828794580122.2,664310817121502.6,573176508496772.6,537078799969902.9,425991727626811.4,248040258971451.6,148588516953626.4,109971192012810.2,103063271457334.9
23,1051244736,2.656091308909956e+16,1.450936580740697e+16,9595009968356620,3852398571079084,1386162992167557,553302007791148.8,488674182149928.2,427091505843068.9,406565277184489.9,321014414271594.7,173910061791882.7,59447584867449.95,55730537627984.05,54452169068108.38
24,1052244773,3.080513260268789e+16,1.187399535463651e+16,8093989646737916,4706131043427846,2622970072430644,976766046667130.2,766514369744489.8,507995092408671.9,467871313656569,228081922526933.7,87430377727599.23,21344040771523.79,16403674528725.46,15793997915313.3
25,1053244810,3.124437194435382e+16,1.343330070555413e+16,8897410925364265,4175457675052758,1789593487594508,910616505381503,717689326014880.5,584331489623442,541620697351455.5,231243523055375.2,76829959049680.39,23724418068038.26,23450027937319.16,23291348712577.36
