==============================================================================================================
DETAILED PER-RUN LOG   APGSK   CEC2013LSGO   D1000
runs per function : 25
functions         : [1 2 3 4 5 6 7 8 9 10 11 12]
statistics basis  : raw objective
generated         : 2026-07-23_02.58.40
==============================================================================================================

----- F1  D1000  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      1022243691    6.9993258797173366e+07   nan                      3000000       max_evaluations         728.3609  
2      1023243728    4.8963317977818973e+07   nan                      3000000       max_evaluations         780.6070  
3      1024243765    6.6750362695807047e+07   nan                      3000000       max_evaluations         773.9955  
4      1025243802    2.3346091972156817e+08   nan                      3000000       max_evaluations         729.6044  
5      1026243839    4.3842791234051101e+07   nan                      3000000       max_evaluations         727.7190  
6      1027243876    1.2229833954301168e+08   nan                      3000000       max_evaluations         779.7238  
7      1028243913    2.0207151619369462e+07   nan                      3000000       max_evaluations         729.4954  
8      1029243950    1.5245236274457736e+07   nan                      3000000       max_evaluations         725.6138  
9      1030243987    2.3042928321785069e+08   nan                      3000000       max_evaluations         783.8456  
10     1031244024    3.6016248677479193e+07   nan                      3000000       max_evaluations         781.3271  
11     1032244061    5.3268020768548705e+07   nan                      3000000       max_evaluations         728.6496  
12     1033244098    3.9000934078656524e+07   nan                      3000000       max_evaluations         779.2671  
13     1034244135    5.4014044828437559e+07   nan                      3000000       max_evaluations         783.6970  
14     1035244172    2.4711706589460004e+07   nan                      3000000       max_evaluations         666.6888  
15     1036244209    5.2442989518495589e+07   nan                      3000000       max_evaluations         671.0116  
16     1037244246    8.8683189123151034e+07   nan                      3000000       max_evaluations         670.1729  
17     1038244283    9.8985836110748142e+07   nan                      3000000       max_evaluations         668.2276  
18     1039244320    3.1089928273391668e+07   nan                      3000000       max_evaluations         671.5861  
19     1040244357    3.8967296938381809e+08   nan                      3000000       max_evaluations         669.1000  
20     1041244394    1.0096906990609249e+08   nan                      3000000       max_evaluations         686.7350  
21     1042244431    4.4347291900508203e+07   nan                      3000000       max_evaluations         682.9747  
22     1043244468    3.5831574047406334e+08   nan                      3000000       max_evaluations         679.1562  
23     1044244505    3.3843231209238827e+07   nan                      3000000       max_evaluations         683.5221  
24     1045244542    1.2518890960867798e+08   nan                      3000000       max_evaluations         681.7884  
25     1046244579    2.0885843149099316e+07   nan                      3000000       max_evaluations         680.7134  

----- F2  D1000  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      1023243724    1.5473789768042379e+04   nan                      3000000       max_evaluations         1018.5124 
2      1024243761    1.5108068535812872e+04   nan                      3000000       max_evaluations         854.7465  
3      1025243798    1.6079801072699618e+04   nan                      3000000       max_evaluations         855.8725  
4      1026243835    1.6535532610958453e+04   nan                      3000000       max_evaluations         856.8570  
5      1027243872    1.5461170553874072e+04   nan                      3000000       max_evaluations         856.7879  
6      1028243909    1.5586781809864737e+04   nan                      3000000       max_evaluations         861.2634  
7      1029243946    1.5993128381882449e+04   nan                      3000000       max_evaluations         861.2748  
8      1030243983    1.5816904571951183e+04   nan                      3000000       max_evaluations         1013.3919 
