==============================================================================================================
DETAILED PER-RUN LOG   APGSK   CEC2013LSGO   D905
runs per function : 25
functions         : [13]
statistics basis  : raw objective
generated         : 2026-07-23_02.58.40
==============================================================================================================

----- F13  D905  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      939243802     2.6863296848984003e+09   nan                      3000000       max_evaluations         1545.3471 
2      940243839     2.7248754837711277e+09   nan                      3000000       max_evaluations         1425.9001 
3      941243876     1.9717072784886069e+09   nan                      3000000       max_evaluations         1430.2708 
4      942243913     1.7279071680952046e+09   nan                      3000000       max_evaluations         1428.4325 
5      943243950     1.9826772403403347e+09   nan                      3000000       max_evaluations         1430.6903 
6      944243987     2.1601062868382568e+09   nan                      3000000       max_evaluations         1430.4805 
7      945244024     1.5380242961596437e+09   nan                      3000000       max_evaluations         1432.4949 
8      946244061     1.7544511504568381e+09   nan                      3000000       max_evaluations         1534.5214 
9      947244098     3.1279233665850382e+09   nan                      3000000       max_evaluations         1540.2272 
10     948244135     1.3927733583526433e+09   nan                      3000000       max_evaluations         1534.6851 
11     949244172     2.1332511548778696e+09   nan                      3000000       max_evaluations         1533.0374 
12     950244209     2.0298989649123857e+09   nan                      3000000       max_evaluations         1533.8782 
13     951244246     1.6783860703349357e+09   nan                      3000000       max_evaluations         1540.2771 
14     952244283     1.9886786404747329e+09   nan                      3000000       max_evaluations         1096.4453 
15     953244320     1.7979921245162072e+09   nan                      3000000       max_evaluations         1097.3929 
16     954244357     2.1363728978037715e+09   nan                      3000000       max_evaluations         1099.5257 
17     955244394     2.3918278428476009e+09   nan                      3000000       max_evaluations         1098.9586 
18     956244431     1.8436892353283720e+09   nan                      3000000       max_evaluations         1096.2789 
19     957244468     2.6524544862398767e+09   nan                      3000000       max_evaluations         1097.2218 
20     958244505     1.8559801343071804e+09   nan                      3000000       max_evaluations         1133.7618 
21     959244542     1.7040740004307084e+09   nan                      3000000       max_evaluations         1135.9289 
22     960244579     1.6988076739418588e+09   nan                      3000000       max_evaluations         1129.6853 
23     961244616     1.7383076937266142e+09   nan                      3000000       max_evaluations         1130.5501 
24     962244653     1.6855105230233359e+09   nan                      3000000       max_evaluations         1128.3694 
25     963244690     2.0832459038780668e+09   nan                      3000000       max_evaluations         1132.5050 

