==============================================================================================================
DETAILED PER-RUN LOG   APGSK   CEC2013LSGO   D905
runs per function : 25
functions         : [13 14]
statistics basis  : raw objective
generated         : 2026-07-23_04.04.27
==============================================================================================================

----- F13  D905  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      939243802     2.6863296848984003e+09   nan                      3000000       max_evaluations         1545.3471 
2      940243839     2.7248754837711277e+09   nan                      3000000       max_evaluations         1425.9001 
3      941243876     1.9717072784886069e+09   nan                      3000000       max_evaluations         1430.2708 
4      942243913     1.7279071680952046e+09   nan                      3000000       max_evaluations         1428.4325 
5      943243950     1.9826772403403347e+09   nan                      3000000       max_evaluations         1430.6903 
6      944243987     2.1601062868382568e+09   nan                      3000000       max_evaluations         1430.4805 
7      945244024     1.5380242961596437e+09   nan                      3000000       max_evaluations         1432.4949 
8      946244061     1.7544511504568381e+09   nan                      3000000       max_evaluations         1534.5214 
9      947244098     3.1279233665850382e+09   nan                      3000000       max_evaluations         1540.2272 
10     948244135     1.3927733583526433e+09   nan                      3000000       max_evaluations         1534.6851 
11     949244172     2.1332511548778696e+09   nan                      3000000       max_evaluations         1533.0374 
12     950244209     2.0298989649123857e+09   nan                      3000000       max_evaluations         1533.8782 
13     951244246     1.6783860703349357e+09   nan                      3000000       max_evaluations         1540.2771 
14     952244283     1.9886786404747329e+09   nan                      3000000       max_evaluations         1096.4453 
15     953244320     1.7979921245162072e+09   nan                      3000000       max_evaluations         1097.3929 
16     954244357     2.1363728978037715e+09   nan                      3000000       max_evaluations         1099.5257 
17     955244394     2.3918278428476009e+09   nan                      3000000       max_evaluations         1098.9586 
18     956244431     1.8436892353283720e+09   nan                      3000000       max_evaluations         1096.2789 
19     957244468     2.6524544862398767e+09   nan                      3000000       max_evaluations         1097.2218 
20     958244505     1.8559801343071804e+09   nan                      3000000       max_evaluations         1133.7618 
21     959244542     1.7040740004307084e+09   nan                      3000000       max_evaluations         1135.9289 
22     960244579     1.6988076739418588e+09   nan                      3000000       max_evaluations         1129.6853 
23     961244616     1.7383076937266142e+09   nan                      3000000       max_evaluations         1130.5501 
24     962244653     1.6855105230233359e+09   nan                      3000000       max_evaluations         1128.3694 
25     963244690     2.0832459038780668e+09   nan                      3000000       max_evaluations         1132.5050 

----- F14  D905  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      940243835     2.1424024826964844e+10   nan                      3000000       max_evaluations         1291.5511 
2      941243872     2.5717519238250793e+10   nan                      3000000       max_evaluations         1102.9150 
3      942243909     3.4074397534987774e+10   nan                      3000000       max_evaluations         1106.2038 
4      943243946     1.6118152761262152e+10   nan                      3000000       max_evaluations         1104.0310 
5      944243983     3.1116545163946888e+10   nan                      3000000       max_evaluations         1110.4460 
6      945244020     1.9838727014616722e+10   nan                      3000000       max_evaluations         1113.7548 
7      946244057     2.3948329618890568e+10   nan                      3000000       max_evaluations         1104.2232 
8      947244094     3.6720529861788506e+10   nan                      3000000       max_evaluations         1297.7918 
9      948244131     1.5289302348644770e+10   nan                      3000000       max_evaluations         1298.6603 
10     949244168     3.0826073034684025e+10   nan                      3000000       max_evaluations         1303.8586 
11     950244205     3.3960960838057381e+10   nan                      3000000       max_evaluations         1288.0277 
12     951244242     9.9963973720399723e+09   nan                      3000000       max_evaluations         1305.3026 
13     952244279     2.5307562118239956e+10   nan                      3000000       max_evaluations         1304.6128 
14     953244316     2.8238700980114399e+10   nan                      3000000       max_evaluations         1087.3188 
15     954244353     1.6295826901459581e+10   nan                      3000000       max_evaluations         1079.5253 
16     955244390     1.6303196877271399e+10   nan                      3000000       max_evaluations         1086.6848 
17     956244427     2.0213170892381927e+10   nan                      3000000       max_evaluations         1087.1665 
18     957244464     2.4186918703044147e+10   nan                      3000000       max_evaluations         1085.6486 
19     958244501     4.3492587639032722e+10   nan                      3000000       max_evaluations         1085.4791 
20     959244538     1.9623279813291512e+10   nan                      3000000       max_evaluations         1106.0933 
21     960244575     1.1387253775709982e+10   nan                      3000000       max_evaluations         1106.2806 
22     961244612     2.6079116803506954e+10   nan                      3000000       max_evaluations         1101.0503 
23     962244649     1.3391908855626493e+10   nan                      3000000       max_evaluations         1099.5676 
24     963244686     1.9245802251922752e+10   nan                      3000000       max_evaluations         1097.6687 
25     964244723     2.0749726970454067e+10   nan                      3000000       max_evaluations         1101.1633 

