Function,Best,Median,Mean,Worst,SD
1,1.5245236274E+07,5.3268020769E+07,9.6105064587E+07,3.8967296938E+08,1.0127995503E+08
2,1.4771347461E+04,1.5915238190E+04,1.5921550808E+04,1.6818231490E+04,5.0827064249E+02
3,2.1308287536E+01,2.1319918510E+01,2.1319206078E+01,2.1331645293E+01,6.1150117763E-03
4,1.0142976560E+10,1.6588548198E+10,1.7113722546E+10,3.3855223168E+10,4.8278747384E+09
5,9.8902365420E+06,1.0657815478E+07,1.0722467994E+07,1.1873972285E+07,5.4722650713E+05
6,1.0561729898E+06,1.0603118927E+06,1.0601456799E+06,1.0622231372E+06,1.3384226672E+03
7,3.0658464998E+07,4.0855451360E+07,4.2026331433E+07,5.8748447848E+07,8.2181358981E+06
8,1.5521864101E+13,5.3303453897E+13,6.0424522025E+13,1.2314767323E+14,3.1194443614E+13
9,6.7994038070E+08,7.8398707267E+08,7.9186764063E+08,9.1782973835E+08,6.1886734980E+07
10,9.2107483464E+07,9.2816241949E+07,9.2805592356E+07,9.3377082984E+07,3.0805570985E+05
11,8.1261288114E+08,1.8218686673E+09,3.3017718624E+09,1.9737266891E+10,3.8616037314E+09
12,2.6075582105E+09,7.2218459048E+09,7.1564428040E+09,1.2845529575E+10,2.7053440811E+09
15,6.8733575205E+06,1.1560721182E+07,1.2213102224E+07,2.1215885249E+07,3.4627016185E+06
