optimizer,suite,function,dimension,run,seed,best_fitness,error,nfes,termination,runtime_seconds
apgsk,cec2013lsgo,1,1000,1,1022243691,6.9993258797e+07,NaN,3000000,max_evaluations,728.360906
apgsk,cec2013lsgo,1,1000,2,1023243728,4.8963317978e+07,NaN,3000000,max_evaluations,780.607031
apgsk,cec2013lsgo,1,1000,3,1024243765,6.6750362696e+07,NaN,3000000,max_evaluations,773.995493
apgsk,cec2013lsgo,1,1000,4,1025243802,2.3346091972e+08,NaN,3000000,max_evaluations,729.604419
apgsk,cec2013lsgo,1,1000,5,1026243839,4.3842791234e+07,NaN,3000000,max_evaluations,727.718984
apgsk,cec2013lsgo,1,1000,6,1027243876,1.2229833954e+08,NaN,3000000,max_evaluations,779.723796
apgsk,cec2013lsgo,1,1000,7,1028243913,2.0207151619e+07,NaN,3000000,max_evaluations,729.495402
apgsk,cec2013lsgo,1,1000,8,1029243950,1.5245236274e+07,NaN,3000000,max_evaluations,725.613803
apgsk,cec2013lsgo,1,1000,9,1030243987,2.3042928322e+08,NaN,3000000,max_evaluations,783.845594
apgsk,cec2013lsgo,1,1000,10,1031244024,3.6016248677e+07,NaN,3000000,max_evaluations,781.327089
apgsk,cec2013lsgo,1,1000,11,1032244061,5.3268020769e+07,NaN,3000000,max_evaluations,728.649589
apgsk,cec2013lsgo,1,1000,12,1033244098,3.9000934079e+07,NaN,3000000,max_evaluations,779.267089
apgsk,cec2013lsgo,1,1000,13,1034244135,5.4014044828e+07,NaN,3000000,max_evaluations,783.697024
apgsk,cec2013lsgo,1,1000,14,1035244172,2.4711706589e+07,NaN,3000000,max_evaluations,666.688848
apgsk,cec2013lsgo,1,1000,15,1036244209,5.2442989518e+07,NaN,3000000,max_evaluations,671.011594
apgsk,cec2013lsgo,1,1000,16,1037244246,8.8683189123e+07,NaN,3000000,max_evaluations,670.172915
apgsk,cec2013lsgo,1,1000,17,1038244283,9.8985836111e+07,NaN,3000000,max_evaluations,668.227567
