Eval,BestError,Log10Error
100,4.9514770567733119e+05,5.6947347710382532e+00
200,4.9514770567733119e+05,5.6947347710382532e+00
300,4.9514115024720220e+05,5.6947290212267418e+00
400,4.9514115024720220e+05,5.6947290212267418e+00
500,4.9514115024720220e+05,5.6947290212267418e+00
600,4.9514115024720220e+05,5.6947290212267418e+00
700,4.9514115024720220e+05,5.6947290212267418e+00
800,4.9514115024720220e+05,5.6947290212267418e+00
900,4.9514115024720220e+05,5.6947290212267418e+00
1000,4.9514115024720220e+05,5.6947290212267418e+00
1100,4.9514115024720220e+05,5.6947290212267418e+00
1200,4.9514115024720220e+05,5.6947290212267418e+00
1300,4.9514115024720220e+05,5.6947290212267418e+00
1400,2.8023615542364179e+05,5.4475241662388720e+00
1500,2.8023615542364179e+05,5.4475241662388720e+00
1600,2.8023615542364179e+05,5.4475241662388720e+00
1700,2.8023615542364179e+05,5.4475241662388720e+00
1800,2.8023615542364179e+05,5.4475241662388720e+00
1900,2.8023615542364179e+05,5.4475241662388720e+00
2000,2.8023615542364179e+05,5.4475241662388720e+00
2100,2.8023615542364179e+05,5.4475241662388720e+00
2200,2.7990374406177545e+05,5.4470087077355220e+00
2300,2.7990374406177545e+05,5.4470087077355220e+00
2400,1.3375956362111043e+05,5.1263248432494501e+00
2500,1.1806116766106109e+05,5.0721070742116865e+00
2600,1.1806116766106109e+05,5.0721070742116865e+00
2700,1.1806116766106109e+05,5.0721070742116865e+00
2800,1.1806116766106109e+05,5.0721070742116865e+00
2900,1.1806116766106109e+05,5.0721070742116865e+00
3000,6.1945626633675092e+04,4.7920106505683044e+00
3100,6.1945626633675092e+04,4.7920106505683044e+00
3200,6.1945626633675092e+04,4.7920106505683044e+00
3300,6.1945626633675092e+04,4.7920106505683044e+00
3400,6.1945626633675092e+04,4.7920106505683044e+00
3500,6.1945626633675092e+04,4.7920106505683044e+00
3600,6.1930896823089148e+04,4.7919073690859282e+00
3700,6.1930896823089148e+04,4.7919073690859282e+00
3800,6.1930896823089148e+04,4.7919073690859282e+00
3900,6.1930896823089148e+04,4.7919073690859282e+00
4000,6.1930896823089148e+04,4.7919073690859282e+00
4100,6.1930896823089148e+04,4.7919073690859282e+00
4200,6.1930896823089148e+04,4.7919073690859282e+00
4300,6.1930896823089148e+04,4.7919073690859282e+00
4400,6.1930896823089148e+04,4.7919073690859282e+00
4500,6.1869672619186575e+04,4.7914778179747941e+00
4600,6.1869672619186575e+04,4.7914778179747941e+00
4700,6.1869672619186575e+04,4.7914778179747941e+00
4800,6.1869672619186575e+04,4.7914778179747941e+00
4900,6.1869672619186575e+04,4.7914778179747941e+00
5000,6.1869672619186575e+04,4.7914778179747941e+00
5100,3.5595015588334049e+04,4.5513891874661931e+00
5200,3.5595015588334049e+04,4.5513891874661931e+00
5300,3.5595015588334049e+04,4.5513891874661931e+00
5400,3.5595015588334049e+04,4.5513891874661931e+00
5500,3.5595015588334049e+04,4.5513891874661931e+00
5600,1.9023866720756014e+04,4.2792987946630214e+00
5699,1.9023866720756014e+04,4.2792987946630214e+00
5798,1.9023866720756014e+04,4.2792987946630214e+00
5897,1.9023866720756014e+04,4.2792987946630214e+00
5996,1.9023866720756014e+04,4.2792987946630214e+00
6095,1.9023866720756014e+04,4.2792987946630214e+00
6194,1.9023866720756014e+04,4.2792987946630214e+00
6293,8.1951795491827252e+03,3.9135584730212312e+00
6392,8.1897634441153277e+03,3.9132713576335472e+00
6491,8.1897634441153277e+03,3.9132713576335472e+00
6590,8.1897634441153277e+03,3.9132713576335472e+00
6689,8.1882651316423562e+03,3.9131918964410133e+00
6788,8.1882651316423562e+03,3.9131918964410133e+00
6887,8.1882651316423562e+03,3.9131918964410133e+00
6986,8.1882651316423562e+03,3.9131918964410133e+00
7085,8.1041784339006836e+03,3.9087089945443938e+00
7184,8.1041784339006836e+03,3.9087089945443938e+00
7283,8.1041784339006836e+03,3.9087089945443938e+00
7382,8.1041784339006836e+03,3.9087089945443938e+00
7481,8.1041784339006836e+03,3.9087089945443938e+00
7580,8.1041784339006836e+03,3.9087089945443938e+00
7679,8.1041784339006836e+03,3.9087089945443938e+00
7778,8.1041784339006836e+03,3.9087089945443938e+00
7877,8.1041784339006836e+03,3.9087089945443938e+00
7976,8.1041784339006836e+03,3.9087089945443938e+00
8075,8.1041784339006836e+03,3.9087089945443938e+00
8174,8.1041784339006836e+03,3.9087089945443938e+00
8273,8.1041784339006836e+03,3.9087089945443938e+00
8372,8.1041784339006836e+03,3.9087089945443938e+00
8471,8.1032613373433296e+03,3.9086598455140376e+00
8570,8.1032613373433296e+03,3.9086598455140376e+00
8669,8.1032613373433296e+03,3.9086598455140376e+00
8768,8.1032613373433296e+03,3.9086598455140376e+00
8867,8.1032613373433296e+03,3.9086598455140376e+00
8966,8.1032613373433296e+03,3.9086598455140376e+00
9065,8.1032613373433296e+03,3.9086598455140376e+00
9164,8.1032613373433296e+03,3.9086598455140376e+00
9263,8.1032613373433296e+03,3.9086598455140376e+00
9362,8.1032613373433296e+03,3.9086598455140376e+00
9461,8.1032613373433296e+03,3.9086598455140376e+00
9560,8.1032613373433296e+03,3.9086598455140376e+00
9659,8.1032613373433296e+03,3.9086598455140376e+00
9758,5.6520167045448452e+03,3.7522034367364872e+00
9857,5.6489336387589046e+03,3.7519664728616409e+00
9956,5.6489336387589046e+03,3.7519664728616409e+00
10055,5.3313208148392296e+03,3.7268348171943013e+00
10154,5.3313208148392296e+03,3.7268348171943013e+00
10253,5.3313208148392296e+03,3.7268348171943013e+00
10352,5.3313208148392296e+03,3.7268348171943013e+00
10451,5.3259697807092243e+03,3.7263986979443673e+00
10550,5.3259697807092243e+03,3.7263986979443673e+00
10649,5.3259697807092243e+03,3.7263986979443673e+00
10748,5.3259697807092243e+03,3.7263986979443673e+00
10847,1.7765014761891500e+03,3.2495655727037795e+00
10946,1.6897567782912756e+03,3.2278241972481503e+00
11045,1.6897567782912756e+03,3.2278241972481503e+00
11144,1.6897567782912756e+03,3.2278241972481503e+00
11243,1.6897567782912756e+03,3.2278241972481503e+00
11342,1.6897567782912756e+03,3.2278241972481503e+00
11441,1.6897567782912756e+03,3.2278241972481503e+00
11540,1.6897567782912756e+03,3.2278241972481503e+00
11639,1.6897567782912756e+03,3.2278241972481503e+00
11738,1.3025387120538135e+03,3.1147906395965257e+00
11837,1.3025387120538135e+03,3.1147906395965257e+00
11936,1.3025387120538135e+03,3.1147906395965257e+00
12035,1.3025387120538135e+03,3.1147906395965257e+00
12134,1.3025134528039125e+03,3.1147822175365016e+00
12233,1.3025134528039125e+03,3.1147822175365016e+00
12332,1.3025134528039125e+03,3.1147822175365016e+00
12431,1.3025134528039125e+03,3.1147822175365016e+00
12530,1.3025134528039125e+03,3.1147822175365016e+00
12629,1.3025134528039125e+03,3.1147822175365016e+00
12728,1.3025134528039125e+03,3.1147822175365016e+00
12827,1.3025134528039125e+03,3.1147822175365016e+00
12926,1.3025134528039125e+03,3.1147822175365016e+00
13025,1.3025134528039125e+03,3.1147822175365016e+00
13124,1.3025134528039125e+03,3.1147822175365016e+00
13223,1.3025134528039125e+03,3.1147822175365016e+00
13322,1.2875150714211613e+03,3.1097523215165177e+00
13421,1.2875150714211613e+03,3.1097523215165177e+00
13520,1.2875150714211613e+03,3.1097523215165177e+00
13619,1.2875150714211613e+03,3.1097523215165177e+00
13718,1.2875150714211613e+03,3.1097523215165177e+00
13817,1.2875150714211613e+03,3.1097523215165177e+00
13916,1.2875150714211613e+03,3.1097523215165177e+00
14015,1.2874961091174473e+03,3.1097459252539079e+00
14114,1.2548077621305820e+03,3.0985771965415290e+00
14213,1.2548077621305820e+03,3.0985771965415290e+00
14312,1.2548077621305820e+03,3.0985771965415290e+00
14411,1.2497140291292530e+03,3.0968106451841813e+00
14510,1.2497140291292530e+03,3.0968106451841813e+00
14609,1.2497140291292530e+03,3.0968106451841813e+00
14708,8.9423135843925104e+02,2.9514498954116108e+00
14807,8.9423135843925104e+02,2.9514498954116108e+00
14906,8.9423135843925104e+02,2.9514498954116108e+00
15005,8.9423135843925104e+02,2.9514498954116108e+00
15104,8.9423135843925104e+02,2.9514498954116108e+00
15203,8.9423135843925104e+02,2.9514498954116108e+00
15302,8.9423135843925104e+02,2.9514498954116108e+00
15401,8.9423135843925104e+02,2.9514498954116108e+00
15500,8.9423135843925104e+02,2.9514498954116108e+00
15599,8.9423135843925104e+02,2.9514498954116108e+00
15698,8.9423135843925104e+02,2.9514498954116108e+00
15797,8.9423135843925104e+02,2.9514498954116108e+00
15896,8.9423135843925104e+02,2.9514498954116108e+00
15995,8.9423135843925104e+02,2.9514498954116108e+00
16093,8.9423135843925104e+02,2.9514498954116108e+00
16191,4.4579372292999398e+02,2.6491339490341725e+00
16289,4.4579372292999398e+02,2.6491339490341725e+00
