==============================================================================================================
DETAILED PER-RUN LOG   APGSK   CEC2020   D10
runs per function : 30
functions         : [1 2 3 4 5 6 7 8 9 10]
statistics basis  : error vs known optimum
generated         : 2026-07-28_06.38.20
==============================================================================================================

----- F1  D10  (30 runs)  optimum=100  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      32240721      1.0000000000927466e+02   0.0000000000000000e+00   519673        target_error_reached    5.6874    
2      33240758      1.0000000000860138e+02   0.0000000000000000e+00   515929        target_error_reached    5.8039    
3      34240795      1.0000000000992611e+02   0.0000000000000000e+00   516577        target_error_reached    5.8508    
4      35240832      1.0000000000977668e+02   0.0000000000000000e+00   519601        target_error_reached    5.7893    
5      36240869      1.0000000000720200e+02   0.0000000000000000e+00   515965        target_error_reached    5.6655    
6      37240906      1.0000000000608111e+02   0.0000000000000000e+00   515101        target_error_reached    5.7246    
7      38240943      1.0000000000494022e+02   0.0000000000000000e+00   510814        target_error_reached    5.4302    
8      39240980      1.0000000000954532e+02   0.0000000000000000e+00   520501        target_error_reached    5.6241    
9      40241017      1.0000000000940022e+02   0.0000000000000000e+00   516829        target_error_reached    5.7831    
10     41241054      1.0000000000927422e+02   0.0000000000000000e+00   519061        target_error_reached    5.8006    
11     42241091      1.0000000000914893e+02   0.0000000000000000e+00   518593        target_error_reached    5.9078    
12     43241128      1.0000000000851897e+02   0.0000000000000000e+00   516613        target_error_reached    5.5932    
13     44241165      1.0000000000966978e+02   0.0000000000000000e+00   512072        target_error_reached    5.4836    
14     45241202      1.0000000000851766e+02   0.0000000000000000e+00   519349        target_error_reached    5.7282    
15     46241239      1.0000000000718688e+02   0.0000000000000000e+00   517729        target_error_reached    6.5088    
16     47241276      1.0000000000959113e+02   0.0000000000000000e+00   515821        target_error_reached    6.3128    
17     48241313      1.0000000000949349e+02   0.0000000000000000e+00   515353        target_error_reached    6.3539    
18     49241350      1.0000000000963566e+02   0.0000000000000000e+00   516829        target_error_reached    6.2098    
19     50241387      1.0000000000723354e+02   0.0000000000000000e+00   513265        target_error_reached    6.7394    
20     51241424      1.0000000000680392e+02   0.0000000000000000e+00   512617        target_error_reached    6.5226    
21     52241461      1.0000000000773683e+02   0.0000000000000000e+00   517513        target_error_reached    6.4316    
22     53241498      1.0000000000898488e+02   0.0000000000000000e+00   514309        target_error_reached    6.5103    
23     54241535      1.0000000000932806e+02   0.0000000000000000e+00   516829        target_error_reached    6.4674    
24     55241572      1.0000000000955281e+02   0.0000000000000000e+00   521581        target_error_reached    6.5606    
25     56241609      1.0000000000625315e+02   0.0000000000000000e+00   514201        target_error_reached    6.3955    
26     57241646      1.0000000000430593e+02   0.0000000000000000e+00   520249        target_error_reached    6.5584    
27     58241683      1.0000000000970017e+02   0.0000000000000000e+00   517549        target_error_reached    6.5865    
28     59241720      1.0000000000832290e+02   0.0000000000000000e+00   521545        target_error_reached    6.4185    
29     60241757      1.0000000000931756e+02   0.0000000000000000e+00   513445        target_error_reached    3.2356    
30     61241794      1.0000000000929771e+02   0.0000000000000000e+00   521941        target_error_reached    3.2572    

----- F2  D10  (30 runs)  optimum=1100  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      33240754      1.1257429659634990e+03   2.5742965963499046e+01   1000000       max_evaluations         24.4639   
2      34240791      1.2262814768802718e+03   1.2628147688027184e+02   1000000       max_evaluations         23.9579   
3      35240828      1.1647349440447033e+03   6.4734944044703298e+01   1000000       max_evaluations         24.3627   
4      36240865      1.1388216006860293e+03   3.8821600686029342e+01   1000000       max_evaluations         24.1622   
5      37240902      1.2396577647826898e+03   1.3965776478268981e+02   1000000       max_evaluations         24.5365   
6      38240939      1.1256168527013442e+03   2.5616852701344214e+01   1000000       max_evaluations         24.4236   
7      39240976      1.1446367703945407e+03   4.4636770394540690e+01   1000000       max_evaluations         24.1057   
8      40241013      1.1544545777692692e+03   5.4454577769269235e+01   1000000       max_evaluations         24.2031   
9      41241050      1.1133843038285167e+03   1.3384303828516749e+01   1000000       max_evaluations         24.4174   
10     42241087      1.1197069625854792e+03   1.9706962585479232e+01   1000000       max_evaluations         23.9103   
11     43241124      1.1369982250481471e+03   3.6998225048147106e+01   1000000       max_evaluations         24.4713   
12     44241161      1.1154985318936151e+03   1.5498531893615109e+01   1000000       max_evaluations         23.6474   
13     45241198      1.1109013906966229e+03   1.0901390696622911e+01   1000000       max_evaluations         24.2048   
14     46241235      1.1091992546326646e+03   9.1992546326646334e+00   1000000       max_evaluations         24.1617   
15     47241272      1.1202055695342906e+03   2.0205569534290589e+01   1000000       max_evaluations         24.0949   
16     48241309      1.1320199872318171e+03   3.2019987231817140e+01   1000000       max_evaluations         24.0280   
17     49241346      1.1197726596193370e+03   1.9772659619336991e+01   1000000       max_evaluations         24.1275   
18     50241383      1.1360011730693932e+03   3.6001173069393190e+01   1000000       max_evaluations         24.0940   
19     51241420      1.1379558270263697e+03   3.7955827026369661e+01   1000000       max_evaluations         24.4474   
20     52241457      1.2972479986017315e+03   1.9724799860173152e+02   1000000       max_evaluations         24.1056   
21     53241494      1.2307729374584551e+03   1.3077293745845509e+02   1000000       max_evaluations         24.6086   
22     54241531      1.1057429575379247e+03   5.7429575379246671e+00   1000000       max_evaluations         24.4636   
23     55241568      1.2332742531952613e+03   1.3327425319526128e+02   1000000       max_evaluations         24.2162   
24     56241605      1.2274936377251806e+03   1.2749363772518063e+02   1000000       max_evaluations         24.1228   
25     57241642      1.1331616841791511e+03   3.3161684179151052e+01   1000000       max_evaluations         24.6011   
26     58241679      1.1110320535758201e+03   1.1032053575820100e+01   1000000       max_evaluations         24.3625   
27     59241716      1.1503252738764477e+03   5.0325273876447682e+01   1000000       max_evaluations         24.1750   
28     60241753      1.1276409059726393e+03   2.7640905972639302e+01   1000000       max_evaluations         24.2139   
29     61241790      1.1192009925157563e+03   1.9200992515756298e+01   1000000       max_evaluations         10.0164   
30     62241827      1.1054698542611241e+03   5.4698542611240555e+00   1000000       max_evaluations         9.8836    

----- F3  D10  (30 runs)  optimum=700  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      34240787      7.1265092099162075e+02   1.2650920991620751e+01   1000000       max_evaluations         26.4038   
2      35240824      7.1058026844654739e+02   1.0580268446547393e+01   1000000       max_evaluations         25.3692   
3      36240861      7.1382758891354092e+02   1.3827588913540922e+01   1000000       max_evaluations         26.2545   
4      37240898      7.1415829254858045e+02   1.4158292548580448e+01   1000000       max_evaluations         25.6670   
5      38240935      7.1656549268005176e+02   1.6565492680051761e+01   1000000       max_evaluations         25.5806   
6      39240972      7.1646620401466726e+02   1.6466204014667255e+01   1000000       max_evaluations         25.4168   
7      40241009      7.1596099280651151e+02   1.5960992806511513e+01   1000000       max_evaluations         25.7104   
8      41241046      7.1527180281684116e+02   1.5271802816841159e+01   1000000       max_evaluations         26.5592   
9      42241083      7.1417648692271257e+02   1.4176486922712570e+01   1000000       max_evaluations         25.4500   
10     43241120      7.0541214904560775e+02   5.4121490456077481e+00   1000000       max_evaluations         26.7648   
11     44241157      7.1437279767952350e+02   1.4372797679523501e+01   1000000       max_evaluations         25.6466   
12     45241194      7.1503843075621467e+02   1.5038430756214666e+01   1000000       max_evaluations         26.7836   
13     46241231      7.1184283862178302e+02   1.1842838621783017e+01   1000000       max_evaluations         26.7874   
14     47241268      7.0479613419974078e+02   4.7961341997407771e+00   1000000       max_evaluations         26.2423   
15     48241305      7.0658725646498590e+02   6.5872564649858987e+00   1000000       max_evaluations         25.8063   
16     49241342      7.1661850620433131e+02   1.6618506204331311e+01   1000000       max_evaluations         26.5977   
17     50241379      7.1289454991357354e+02   1.2894549913573542e+01   1000000       max_evaluations         26.0314   
18     51241416      7.1616436269067083e+02   1.6164362690670828e+01   1000000       max_evaluations         26.1856   
19     52241453      7.1433123435832033e+02   1.4331234358320330e+01   1000000       max_evaluations         26.2951   
20     53241490      7.0198991811418659e+02   1.9899181141865938e+00   1000000       max_evaluations         26.6118   
21     54241527      7.0624752435225230e+02   6.2475243522522987e+00   1000000       max_evaluations         26.5709   
22     55241564      7.1624215900097579e+02   1.6242159000975789e+01   1000000       max_evaluations         27.2634   
23     56241601      7.0942742101055910e+02   9.4274210105591010e+00   1000000       max_evaluations         26.8985   
24     57241638      7.1239326580260479e+02   1.2393265802604787e+01   1000000       max_evaluations         26.8406   
25     58241675      7.1407310795914555e+02   1.4073107959145545e+01   1000000       max_evaluations         26.9370   
26     59241712      7.1142376472784110e+02   1.1423764727841103e+01   1000000       max_evaluations         26.9578   
27     60241749      7.1265311093878108e+02   1.2653110938781083e+01   1000000       max_evaluations         26.6913   
28     61241786      7.0658194046467361e+02   6.5819404646736075e+00   1000000       max_evaluations         26.7361   
29     62241823      7.1399421073441317e+02   1.3994210734413173e+01   1000000       max_evaluations         11.0901   
30     63241860      7.1244888459858441e+02   1.2448884598584414e+01   1000000       max_evaluations         11.0260   

----- F4  D10  (30 runs)  optimum=1900  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      35240820      1.9000953019386548e+03   9.5301938654756668e-02   1000000       max_evaluations         22.8388   
2      36240857      1.9000542431091899e+03   5.4243109189883398e-02   1000000       max_evaluations         22.4778   
3      37240894      1.9001150306048125e+03   1.1503060481254579e-01   1000000       max_evaluations         22.7066   
4      38240931      1.9001049831275145e+03   1.0498312751451522e-01   1000000       max_evaluations         22.7895   
5      39240968      1.9000328114756981e+03   3.2811475698053982e-02   1000000       max_evaluations         22.8624   
6      40241005      1.9001250471614383e+03   1.2504716143826045e-01   1000000       max_evaluations         23.1943   
7      41241042      1.9001304477332126e+03   1.3044773321257708e-01   1000000       max_evaluations         23.2010   
8      42241079      1.9001132220887619e+03   1.1322208876185869e-01   1000000       max_evaluations         23.6167   
9      43241116      1.9001253414966443e+03   1.2534149664429606e-01   1000000       max_evaluations         23.6792   
10     44241153      1.9000616084835081e+03   6.1608483508052814e-02   1000000       max_evaluations         23.5016   
11     45241190      1.9001121317122404e+03   1.1213171224039797e-01   1000000       max_evaluations         23.5664   
12     46241227      1.9000851661919658e+03   8.5166191965754479e-02   1000000       max_evaluations         23.9404   
13     47241264      1.9001305680988842e+03   1.3056809888416865e-01   1000000       max_evaluations         22.6924   
14     48241301      1.9002608936479769e+03   2.6089364797689996e-01   1000000       max_evaluations         23.1367   
15     49241338      1.9000310618552701e+03   3.1061855270081651e-02   1000000       max_evaluations         23.3820   
16     50241375      1.9000606616673720e+03   6.0661667371959993e-02   1000000       max_evaluations         22.8215   
17     51241412      1.9001936220894174e+03   1.9362208941743120e-01   1000000       max_evaluations         23.2919   
18     52241449      1.9000866069991930e+03   8.6606999193008960e-02   1000000       max_evaluations         22.9384   
19     53241486      1.9000997945202612e+03   9.9794520261184516e-02   1000000       max_evaluations         23.1852   
20     54241523      1.9001005365802769e+03   1.0053658027686652e-01   1000000       max_evaluations         22.7430   
21     55241560      1.9001557781485717e+03   1.5577814857169869e-01   1000000       max_evaluations         22.9229   
22     56241597      1.9001715176801408e+03   1.7151768014082336e-01   1000000       max_evaluations         23.3264   
23     57241634      1.9000973138159507e+03   9.7313815950656135e-02   1000000       max_evaluations         23.2256   
