==============================================================================================================
DETAILED PER-RUN LOG   APGSK   CEC2020   D20
runs per function : 30
functions         : [1]
statistics basis  : error vs known optimum
generated         : 2026-07-28_07.31.10
==============================================================================================================

----- F1  D20  (30 runs)  optimum=100  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      42240751      1.0000000000985705e+02   0.0000000000000000e+00   479372        target_error_reached    3.2017    
2      43240788      1.0000000000977849e+02   0.0000000000000000e+00   644487        target_error_reached    4.9515    
3      44240825      1.0000000000928050e+02   0.0000000000000000e+00   419059        target_error_reached    2.6859    
4      45240862      1.0000000000928965e+02   0.0000000000000000e+00   521837        target_error_reached    3.5600    
5      46240899      1.0000000000732838e+02   0.0000000000000000e+00   410803        target_error_reached    2.6404    
6      47240936      1.0000000000993326e+02   0.0000000000000000e+00   441235        target_error_reached    2.8876    
7      48240973      1.0000000000812302e+02   0.0000000000000000e+00   555152        target_error_reached    3.8959    
8      49241010      1.0000000000902804e+02   0.0000000000000000e+00   502077        target_error_reached    3.1915    
9      50241047      1.0000000000975827e+02   0.0000000000000000e+00   460942        target_error_reached    3.1092    
10     51241084      1.0000000000857921e+02   0.0000000000000000e+00   437971        target_error_reached    2.8875    
11     52241121      1.0000000000887530e+02   0.0000000000000000e+00   573670        target_error_reached    4.0045    
12     53241158      1.0000000000984505e+02   0.0000000000000000e+00   420787        target_error_reached    2.5960    
13     54241195      1.0000000000930217e+02   0.0000000000000000e+00   440659        target_error_reached    2.7602    
14     55241232      1.0000000000994410e+02   0.0000000000000000e+00   472532        target_error_reached    3.0988    
15     56241269      1.0000000000935260e+02   0.0000000000000000e+00   436339        target_error_reached    4.2856    
16     57241306      1.0000000000915399e+02   0.0000000000000000e+00   514427        target_error_reached    4.9519    
17     58241343      1.0000000000999579e+02   0.0000000000000000e+00   443347        target_error_reached    4.4531    
18     59241380      1.0000000000833637e+02   0.0000000000000000e+00   543214        target_error_reached    5.1329    
19     60241417      1.0000000000992634e+02   0.0000000000000000e+00   449257        target_error_reached    4.6833    
20     61241454      1.0000000000995021e+02   0.0000000000000000e+00   428179        target_error_reached    4.4055    
21     62241491      1.0000000000949633e+02   0.0000000000000000e+00   431827        target_error_reached    4.0804    
22     63241528      1.0000000000989563e+02   0.0000000000000000e+00   442579        target_error_reached    4.5378    
23     64241565      1.0000000000944333e+02   0.0000000000000000e+00   466832        target_error_reached    4.7283    
24     65241602      1.0000000000782204e+02   0.0000000000000000e+00   429619        target_error_reached    4.2365    
25     66241639      1.0000000000946631e+02   0.0000000000000000e+00   489917        target_error_reached    4.6585    
26     67241676      1.0000000000995112e+02   0.0000000000000000e+00   477187        target_error_reached    4.4548    
27     68241713      1.0000000000993792e+02   0.0000000000000000e+00   499512        target_error_reached    4.5812    
28     69241750      1.0000000000974008e+02   0.0000000000000000e+00   438163        target_error_reached    3.7203    
29     70241787      1.0000000000966133e+02   0.0000000000000000e+00   630909        target_error_reached    3.4699    
30     71241824      1.0000000000996602e+02   0.0000000000000000e+00   445742        target_error_reached    2.5312    

