==============================================================================================================
DETAILED PER-RUN LOG   APGSK   CEC2020   D5
runs per function : 30
functions         : [1 2 3 4 5 8 9 10]
statistics basis  : error vs known optimum
generated         : 2026-07-28_06.38.20
==============================================================================================================

----- F1  D5  (30 runs)  optimum=100  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      27240706      1.0000000000901029e+02   0.0000000000000000e+00   35580         target_error_reached    0.3139    
2      28240743      1.0000000000434675e+02   0.0000000000000000e+00   35740         target_error_reached    0.3215    
3      29240780      1.0000000000410472e+02   0.0000000000000000e+00   35360         target_error_reached    0.3302    
4      30240817      1.0000000000381843e+02   0.0000000000000000e+00   35660         target_error_reached    0.2770    
5      31240854      1.0000000000418733e+02   0.0000000000000000e+00   35640         target_error_reached    0.3140    
6      32240891      1.0000000000605378e+02   0.0000000000000000e+00   34982         target_error_reached    0.3181    
7      33240928      1.0000000000923188e+02   0.0000000000000000e+00   35380         target_error_reached    0.2897    
8      34240965      1.0000000000557321e+02   0.0000000000000000e+00   35297         target_error_reached    0.3004    
9      35241002      1.0000000000763114e+02   0.0000000000000000e+00   35500         target_error_reached    0.2825    
10     36241039      1.0000000000966462e+02   0.0000000000000000e+00   35460         target_error_reached    0.3298    
11     37241076      1.0000000000995384e+02   0.0000000000000000e+00   35680         target_error_reached    0.2806    
12     38241113      1.0000000000776349e+02   0.0000000000000000e+00   35420         target_error_reached    0.2920    
13     39241150      1.0000000000726553e+02   0.0000000000000000e+00   35660         target_error_reached    0.3049    
14     40241187      1.0000000000417192e+02   0.0000000000000000e+00   35840         target_error_reached    0.3442    
15     41241224      1.0000000000595989e+02   0.0000000000000000e+00   35780         target_error_reached    0.3954    
16     42241261      1.0000000000832385e+02   0.0000000000000000e+00   35660         target_error_reached    0.3942    
17     43241298      1.0000000000235531e+02   0.0000000000000000e+00   35680         target_error_reached    0.3973    
18     44241335      1.0000000000742787e+02   0.0000000000000000e+00   35380         target_error_reached    0.4355    
19     45241372      1.0000000000650343e+02   0.0000000000000000e+00   35024         target_error_reached    0.4017    
20     46241409      1.0000000000836265e+02   0.0000000000000000e+00   35480         target_error_reached    0.3583    
21     47241446      1.0000000000453052e+02   0.0000000000000000e+00   34814         target_error_reached    0.3878    
22     48241483      1.0000000000911916e+02   0.0000000000000000e+00   35540         target_error_reached    0.4083    
23     49241520      1.0000000000722214e+02   0.0000000000000000e+00   35360         target_error_reached    0.4089    
24     50241557      1.0000000000876155e+02   0.0000000000000000e+00   35318         target_error_reached    0.3701    
25     51241594      1.0000000000941171e+02   0.0000000000000000e+00   35580         target_error_reached    0.4137    
26     52241631      1.0000000000645029e+02   0.0000000000000000e+00   35760         target_error_reached    0.3999    
27     53241668      1.0000000000850260e+02   0.0000000000000000e+00   35192         target_error_reached    0.3869    
28     54241705      1.0000000000922040e+02   0.0000000000000000e+00   36543         target_error_reached    0.4449    
29     55241742      1.0000000000918024e+02   0.0000000000000000e+00   35620         target_error_reached    0.3271    
30     56241779      1.0000000000756486e+02   0.0000000000000000e+00   35420         target_error_reached    0.3083    

----- F2  D5  (30 runs)  optimum=1100  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      28240739      1.1033416048773761e+03   3.3416048773760849e+00   50000         max_evaluations         0.9857    
2      29240776      1.1182344053102634e+03   1.8234405310263355e+01   50000         max_evaluations         0.9116    
3      30240813      1.1677830500558296e+03   6.7783050055829563e+01   50000         max_evaluations         0.9420    
4      31240850      1.1069542792048619e+03   6.9542792048619049e+00   50000         max_evaluations         0.9135    
5      32240887      1.1051928949806211e+03   5.1928949806210767e+00   50000         max_evaluations         0.9831    
6      33240924      1.1039440820871073e+03   3.9440820871072901e+00   50000         max_evaluations         0.9495    
7      34240961      1.1301118591277573e+03   3.0111859127757270e+01   50000         max_evaluations         0.9751    
8      35240998      1.2284332413608593e+03   1.2843324136085926e+02   50000         max_evaluations         0.9799    
9      36241035      1.1069542793947689e+03   6.9542793947689461e+00   50000         max_evaluations         0.9016    
10     37241072      1.1069461407571057e+03   6.9461407571056952e+00   50000         max_evaluations         0.9412    
11     38241109      1.1178068655293778e+03   1.7806865529377774e+01   50000         max_evaluations         0.9241    
12     39241146      1.1324082980013118e+03   3.2408298001311778e+01   50000         max_evaluations         0.9385    
13     40241183      1.1401347127224722e+03   4.0134712722472159e+01   50000         max_evaluations         0.9310    
14     41241220      1.1239528062907575e+03   2.3952806290757508e+01   50000         max_evaluations         0.9390    
15     42241257      1.1037067242221683e+03   3.7067242221683045e+00   50000         max_evaluations         1.1121    
16     43241294      1.1111927375115506e+03   1.1192737511550604e+01   50000         max_evaluations         1.0448    
17     44241331      1.1064417635653108e+03   6.4417635653107936e+00   50000         max_evaluations         1.0471    
18     45241368      1.1131174154418995e+03   1.3117415441899539e+01   50000         max_evaluations         1.0926    
19     46241405      1.1111682738665982e+03   1.1168273866598156e+01   50000         max_evaluations         1.0645    
20     47241442      1.1166387585754360e+03   1.6638758575435986e+01   50000         max_evaluations         1.1605    
21     48241479      1.2246863807664083e+03   1.2468638076640832e+02   50000         max_evaluations         1.1274    
22     49241516      1.1053837661961120e+03   5.3837661961119920e+00   50000         max_evaluations         1.0955    
23     50241553      1.1258956200776006e+03   2.5895620077600597e+01   50000         max_evaluations         1.1314    
24     51241590      1.1124617671845117e+03   1.2461767184511700e+01   50000         max_evaluations         1.0692    
25     52241627      1.1000000000095051e+03   0.0000000000000000e+00   49372         target_error_reached    1.0634    
26     53241664      1.2434926431381302e+03   1.4349264313813023e+02   50000         max_evaluations         1.1234    
27     54241701      1.1040787386547072e+03   4.0787386547071947e+00   50000         max_evaluations         1.0780    
28     55241738      1.1069542792048624e+03   6.9542792048623596e+00   50000         max_evaluations         1.0710    
29     56241775      1.1156037530273029e+03   1.5603753027302901e+01   50000         max_evaluations         0.7098    
30     57241812      1.1238582137560375e+03   2.3858213756037458e+01   50000         max_evaluations         0.7174    

----- F3  D5  (30 runs)  optimum=700  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      29240772      7.0253241945965101e+02   2.5324194596510097e+00   50000         max_evaluations         0.8877    
2      30240809      7.0558646691873730e+02   5.5864669187373011e+00   50000         max_evaluations         0.9541    
3      31240846      7.0543755972086410e+02   5.4375597208641011e+00   50000         max_evaluations         0.8860    
4      32240883      7.0257999936117460e+02   2.5799993611746004e+00   50000         max_evaluations         0.8793    
5      33240920      7.0160798624350377e+02   1.6079862435037739e+00   50000         max_evaluations         0.9636    
6      34240957      7.0000000000854573e+02   0.0000000000000000e+00   44038         target_error_reached    0.6496    
7      35240994      7.0154673857165778e+02   1.5467385716577837e+00   50000         max_evaluations         0.8957    
8      36241031      7.0000000000648811e+02   0.0000000000000000e+00   47308         target_error_reached    0.8427    
9      37241068      7.0101426523317173e+02   1.0142652331717272e+00   50000         max_evaluations         0.8681    
10     38241105      7.0283464876006360e+02   2.8346487600636010e+00   50000         max_evaluations         0.9116    
11     39241142      7.0590389842150387e+02   5.9038984215038681e+00   50000         max_evaluations         0.9431    
12     40241179      7.0564953843802482e+02   5.6495384380248197e+00   50000         max_evaluations         1.0081    
13     41241216      7.0099495905709330e+02   9.9495905709329691e-01   50000         max_evaluations         0.9708    
14     42241253      7.0305221113744130e+02   3.0522111374413043e+00   50000         max_evaluations         0.9015    
