Function,Best,Median,Mean,Worst,SD
1,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00
2,5.4698542611E+00,3.2590835705E+01,5.0431779576E+01,1.9724799860E+02,5.0186090160E+01
3,1.9899181142E+00,1.3361069414E+01,1.2173053926E+01,1.6618506204E+01,3.9935305998E+00
4,1.2013780830E-02,1.0016555027E-01,1.0323694033E-01,2.6089364798E-01,5.9381168200E-02
5,0.0000000000E+00,4.1628596929E-01,5.4742198137E-01,1.6193880110E+00,4.2301728491E-01
6,2.0890616871E-02,2.0693052579E-01,2.2492497939E-01,9.1960485819E-01,2.0653281322E-01
7,1.9016700000E-06,4.8889480310E-04,2.3064302609E-02,3.1309083269E-01,7.8837846286E-02
8,0.0000000000E+00,7.0120309158E+01,6.0776415787E+01,1.0040212219E+02,4.0788871717E+01
9,0.0000000000E+00,1.0000000000E+02,9.0016226950E+01,2.0048680850E+02,4.0303729165E+01
10,1.0000388613E+02,3.9774286947E+02,3.4811989660E+02,3.9774286947E+02,1.1285723596E+02
