Eval,BestError,Log10Error
100,3.5798262282800293e+11,1.1553861945657632e+01
200,3.5091694813273712e+11,1.1545204343714921e+01
300,3.5087309762293933e+11,1.1545150070974595e+01
400,3.1758536277983716e+11,1.1501860477979127e+01
500,3.1758535545665948e+11,1.1501860467964763e+01
600,2.8970863087032776e+11,1.1461961433704012e+01
700,2.8696064716465460e+11,1.1457822343106583e+01
800,2.6026381541468329e+11,1.1415413792165719e+01
900,2.2868459704759503e+11,1.1359236913874300e+01
1000,2.2601116450847153e+11,1.1354129892973342e+01
1100,2.2601105898576407e+11,1.1354129690204863e+01
1200,2.2359785764278186e+11,1.1349467638130417e+01
1300,2.1364791429919434e+11,1.1329698657449157e+01
1400,2.0339845205965662e+11,1.1308347643451487e+01
1500,2.0339845205965662e+11,1.1308347643451487e+01
1600,1.9170078685727933e+11,1.1282623895491902e+01
1700,1.9170078685727933e+11,1.1282623895491902e+01
1800,1.9170067838645337e+11,1.1282623649753242e+01
1900,1.9170053600559674e+11,1.1282623327191821e+01
2000,1.8525207029740561e+11,1.1267763070166696e+01
2100,1.8410139436680545e+11,1.1265057077822407e+01
2200,1.8121643453511703e+11,1.1258197581333384e+01
2300,1.7962630088064975e+11,1.1254369926379537e+01
2400,1.7962404479878995e+11,1.1254364471665774e+01
2500,1.7961566475548843e+11,1.1254344209949334e+01
2600,1.7936275486913449e+11,1.1253732265719650e+01
2700,1.7936275486913449e+11,1.1253732265719650e+01
2800,1.7654200587608643e+11,1.1246848056747563e+01
2900,1.7629863158017737e+11,1.1246248941343653e+01
3000,1.7181387132424683e+11,1.1235058223502140e+01
3100,1.7181387132424683e+11,1.1235058223502140e+01
3200,1.6881940815574893e+11,1.1227422373394019e+01
3300,1.6436653644970441e+11,1.1215813403748220e+01
3400,1.6430464583357663e+11,1.1215649843601589e+01
3500,1.6429865311519363e+11,1.1215634003197467e+01
3600,1.6429799122016702e+11,1.1215632253591300e+01
3700,1.6145354050946518e+11,1.1208047573087244e+01
3800,1.6102542262643292e+11,1.1206894447676337e+01
3900,1.6003284039863229e+11,1.1204209113533505e+01
4000,1.5962760350173032e+11,1.1203107993605625e+01
4100,1.5956990469742139e+11,1.1202950985659429e+01
4200,1.5949895924905588e+11,1.1202757853575854e+01
4300,1.5949881334027069e+11,1.1202757456285429e+01
4400,1.5944249824645532e+11,1.1202604090547862e+01
4500,1.5608679439185883e+11,1.1193366161452252e+01
4600,1.5608491028892239e+11,1.1193360919109679e+01
