Run,Seed,E30000,E60000,E90000,E150000,E300000,E600000,E900000,E1200000,E1500000,E1800000,E2100000,E2400000,E2700000,E3000000
1,1031243988,94702537.37107381,94702523.62834622,94687955.80208972,94668260.19554336,94627152.34148107,94290930.09883285,94278468.2755004,94085108.80298349,94084370.50331588,93566140.15476356,93565982.89105926,93565961.68896063,93198632.51255636,92944181.01931782
2,1032244025,94493083.25258525,94493069.34490086,94492502.41445988,94476674.13191356,94476411.86474174,94476204.25886934,94476203.01923205,94476121.41659944,93870041.36468445,93855034.32524486,93849259.74369274,93849258.60285431,93849230.56530261,93578801.25037034
3,1033244062,95073285.60381389,95072684.95407337,95057591.16518377,95057589.73602353,94678273.55877589,94297144.89731361,94292171.43881218,94292099.24939497,94282534.35514913,94282530.72387953,94282528.47748095,94220238.76476769,94200436.66195397,93501915.23697005
4,1034244099,94640283.82349595,94635198.31565428,94009866.53269699,93988916.92118609,93986562.95398895,93986156.69955374,93986075.62994936,93985659.98077163,93985657.14618698,93985497.26836655,93985491.56131957,93985086.46050115,93973201.72929785,93972179.05271746
5,1035244136,93995471.43454188,93975797.46693456,93975715.391156,93975334.62852708,93975330.95362486,93930992.91983163,93929743.80516697,93922559.19578843,93922311.22362189,93879834.19567324,93879578.36571638,93879469.86031502,93859447.59992848,93770731.68623157
6,1036244173,94921520.09239009,94905367.19253577,94901402.56247792,94901065.12790638,94270991.16795976,94261582.37750873,94260336.94156627,94259785.29103324,94192186.2033446,94191983.88461272,93900506.05433322,93298098.99935316,93292131.23802911,93025071.51904166
7,1037244210,95237754.44673716,94887458.39591739,94879835.86377034,94879711.10842282,94878882.09858686,93677973.03076509,93668864.95132054,93668798.32984641,93668651.97490796,93668651.24895957,93668083.52307153,93667890.26125269,93665221.78532816,93314945.74901645
8,1038244247,95320328.42715044,95075867.63474755,94741405.54130027,94732177.18944703,94711845.31432721,94551185.60703126,93889171.86686493,93877328.68434821,93433234.17043535,93363904.05894822,93357919.06976755,93357917.24110977,93327149.86267821,93325448.2100438
9,1039244284,95106374.21257964,94894955.73930395,94762208.55159871,94752971.50297835,94573074.34866382,94547287.35482547,94274193.79524301,94264852.51140049,94077242.79749455,93824479.89577162,93230217.68866099,93226188.53772011,93216013.3934111,93204079.26230064
10,1040244321,94546625.0878512,94546611.01137517,94544456.89670725,94544455.06771186,94541975.34588628,94425457.698926,94241237.36146575,94130676.28413841,93927667.80188805,93927352.56550781,93803789.80897094,93803787.46392624,93702228.33782652,93697348.86356378
11,1041244358,94885161.117974,94884577.32838106,94883453.81472248,94602615.52733664,94494765.2103353,94317783.24795337,94317696.76296799,94241325.87469798,94228965.65127011,93957376.51406235,93944373.75370513,93934663.69823174,93661044.23172878,93456049.07856315
12,1042244395,94828849.7998634,94828827.85006098,94815400.74242668,94815390.84107189,94766223.64765161,94334111.6994531,93886589.24411641,93876258.97876199,93876059.3684815,93875587.777758,93875577.10450637,93875544.07702646,93875232.9625753,93864282.54398355
13,1043244432,94815743.95608236,94815729.51079433,94514229.42246737,94498569.14216754,93775672.694309,93775096.24740849,93743764.12427033,93743753.26801409,93738548.02452973,93726930.28139764,93722775.90057108,93720585.72683449,93718315.4041348,93656198.47518237
