==============================================================================================================
DETAILED PER-RUN LOG   ATMALS-GSK   CEC2013LSGO   D1000
runs per function : 25
functions         : [1 2 3 4 5 6 7 8]
statistics basis  : raw objective
generated         : 2026-07-23_21.10.43
==============================================================================================================

----- F1  D1000  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      1022243691    1.0811935904775051e+04   nan                      3000000       max_evaluations         1869.8938 
2      1023243728    2.3265117110425792e+04   nan                      3000000       max_evaluations         1608.0828 
3      1024243765    2.5389796988425274e+04   nan                      3000000       max_evaluations         1591.5824 
4      1025243802    1.0115968922595284e+04   nan                      3000000       max_evaluations         1611.0852 
5      1026243839    2.5263144220701823e+04   nan                      3000000       max_evaluations         1615.2337 
6      1027243876    1.4951443809005266e+04   nan                      3000000       max_evaluations         1618.7473 
7      1028243913    2.4289466925285615e+04   nan                      3000000       max_evaluations         1625.8827 
8      1029243950    2.7885913171642878e+04   nan                      3000000       max_evaluations         1840.8908 
9      1030243987    2.2702054358688260e+04   nan                      3000000       max_evaluations         1861.5086 
10     1031244024    2.7909226868084697e+04   nan                      3000000       max_evaluations         1830.8445 
11     1032244061    1.3259496133532770e+04   nan                      3000000       max_evaluations         1832.0565 
12     1033244098    2.2696110738329109e+04   nan                      3000000       max_evaluations         1859.4011 
13     1034244135    3.8241915189185238e+04   nan                      3000000       max_evaluations         1854.7256 
14     1035244172    1.1395295019640271e+04   nan                      3000000       max_evaluations         1443.8822 
15     1036244209    2.0156671988916623e+04   nan                      3000000       max_evaluations         1441.9290 
16     1037244246    1.6011004819717942e+04   nan                      3000000       max_evaluations         1442.1839 
17     1038244283    3.0398227044492491e+04   nan                      3000000       max_evaluations         1452.4158 
18     1039244320    2.7334196651260929e+04   nan                      3000000       max_evaluations         1460.1750 
19     1040244357    1.8768440617996552e+04   nan                      3000000       max_evaluations         1462.0008 
20     1041244394    1.2645346308634606e+04   nan                      3000000       max_evaluations         1483.2901 
21     1042244431    1.7495420913858256e+04   nan                      3000000       max_evaluations         1489.0928 
22     1043244468    4.3028618277443697e+04   nan                      3000000       max_evaluations         1498.5167 
23     1044244505    2.1441857275111466e+04   nan                      3000000       max_evaluations         1500.8244 
24     1045244542    1.6670954786099108e+04   nan                      3000000       max_evaluations         1479.8011 
25     1046244579    1.8084881571120608e+04   nan                      3000000       max_evaluations         1491.7142 

----- F2  D1000  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      1023243724    4.2684311430529448e+02   nan                      3000000       max_evaluations         1981.1051 
2      1024243761    3.4818267412845080e+02   nan                      3000000       max_evaluations         1672.7193 
3      1025243798    4.0337616739195340e+02   nan                      3000000       max_evaluations         1684.7793 
4      1026243835    4.4082264424132563e+02   nan                      3000000       max_evaluations         1687.0779 
5      1027243872    4.5872563536724255e+02   nan                      3000000       max_evaluations         1701.0116 
6      1028243909    3.9286998395613580e+02   nan                      3000000       max_evaluations         1707.4334 
7      1029243946    3.4804271923302298e+02   nan                      3000000       max_evaluations         1699.8366 
8      1030243983    4.1179229804420373e+02   nan                      3000000       max_evaluations         1952.7423 
9      1031244020    4.4312922218299991e+02   nan                      3000000       max_evaluations         1966.4322 
10     1032244057    4.2661678295814681e+02   nan                      3000000       max_evaluations         1974.9419 
11     1033244094    4.0769019789116527e+02   nan                      3000000       max_evaluations         1965.5187 
12     1034244131    3.9984478760760391e+02   nan                      3000000       max_evaluations         2003.0566 
13     1035244168    3.8733623274457597e+02   nan                      3000000       max_evaluations         2012.3666 
14     1036244205    3.9760017380691767e+02   nan                      3000000       max_evaluations         1719.0589 
15     1037244242    4.1239860625790317e+02   nan                      3000000       max_evaluations         1735.7546 
16     1038244279    3.9339449428577933e+02   nan                      3000000       max_evaluations         1722.3794 
17     1039244316    4.3490050028367511e+02   nan                      3000000       max_evaluations         1744.7930 
18     1040244353    4.4054925232085566e+02   nan                      3000000       max_evaluations         1741.8162 
19     1041244390    4.6139849222867429e+02   nan                      3000000       max_evaluations         1739.1879 
20     1042244427    4.0685218363052746e+02   nan                      3000000       max_evaluations         1799.7468 
21     1043244464    4.4061179308164009e+02   nan                      3000000       max_evaluations         1806.7189 
22     1044244501    3.8354725421622851e+02   nan                      3000000       max_evaluations         1790.1656 
23     1045244538    3.7246108500136472e+02   nan                      3000000       max_evaluations         1792.3957 
24     1046244575    4.4724005688962870e+02   nan                      3000000       max_evaluations         1791.9586 
25     1047244612    3.9511620166652676e+02   nan                      3000000       max_evaluations         1791.7922 

----- F3  D1000  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      1024243757    2.0009708286938146e+01   nan                      3000000       max_evaluations         2014.9092 
2      1025243794    2.0007808026319001e+01   nan                      3000000       max_evaluations         1713.8388 
3      1026243831    2.0008207284602349e+01   nan                      3000000       max_evaluations         1723.1889 
4      1027243868    2.0007599512825710e+01   nan                      3000000       max_evaluations         1719.4849 
5      1028243905    2.0009257195444778e+01   nan                      3000000       max_evaluations         1742.0850 
6      1029243942    2.0008058322413405e+01   nan                      3000000       max_evaluations         1761.0413 
7      1030243979    2.0007512600714634e+01   nan                      3000000       max_evaluations         1748.5512 
8      1031244016    2.0007185884499091e+01   nan                      3000000       max_evaluations         1986.6134 
9      1032244053    2.0011384123198962e+01   nan                      3000000       max_evaluations         1974.1983 
10     1033244090    2.0008351598294468e+01   nan                      3000000       max_evaluations         2002.4714 
11     1034244127    2.0008533250302364e+01   nan                      3000000       max_evaluations         2005.0532 
12     1035244164    2.0008897719268930e+01   nan                      3000000       max_evaluations         2008.2527 
13     1036244201    2.0008478122540399e+01   nan                      3000000       max_evaluations         2022.7874 
14     1037244238    2.0009025052413673e+01   nan                      3000000       max_evaluations         1683.4984 
15     1038244275    2.0008793540821287e+01   nan                      3000000       max_evaluations         1685.6535 
16     1039244312    2.0008073780910500e+01   nan                      3000000       max_evaluations         1697.3558 
17     1040244349    2.0008607359090874e+01   nan                      3000000       max_evaluations         1707.5044 
18     1041244386    2.0008423176374226e+01   nan                      3000000       max_evaluations         1706.0999 
19     1042244423    2.0008666939331309e+01   nan                      3000000       max_evaluations         1702.7005 
20     1043244460    2.0009327724278855e+01   nan                      3000000       max_evaluations         1794.1307 
21     1044244497    2.0008010136687918e+01   nan                      3000000       max_evaluations         1789.8932 
