==============================================================================================================
DETAILED PER-RUN LOG   ATMALS-GSK   CEC2013LSGO   D1000
runs per function : 12
functions         : [8 9 10 11 12 15]
statistics basis  : raw objective
generated         : 2026-07-24_07.31.35
==============================================================================================================

----- F8  D1000  (12 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
14     1042244403    3.6227929427134547e+13   nan                      3000000       max_evaluations         2834.4124 
15     1043244440    2.2624714690271363e+13   nan                      3000000       max_evaluations         2793.4268 
16     1044244477    4.0060597634599125e+13   nan                      3000000       max_evaluations         2822.8042 
17     1045244514    3.4374235129025730e+13   nan                      3000000       max_evaluations         2822.6279 
18     1046244551    1.1094385347335731e+14   nan                      3000000       max_evaluations         2803.6729 
19     1047244588    2.5072379819120941e+13   nan                      3000000       max_evaluations         2771.5300 
20     1048244625    4.2847810256987484e+13   nan                      3000000       max_evaluations         2804.4848 
21     1049244662    3.9894760149167883e+13   nan                      3000000       max_evaluations         2840.8995 
22     1050244699    3.7399023487230547e+13   nan                      3000000       max_evaluations         2833.9593 
23     1051244736    4.1318666719202969e+13   nan                      3000000       max_evaluations         2820.4673 
24     1052244773    3.2621687909211598e+13   nan                      3000000       max_evaluations         2818.2486 
25     1053244810    3.8057964350345328e+13   nan                      3000000       max_evaluations         2813.6210 

----- F9  D1000  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      1030243955    3.8778519593900293e+08   nan                      3000000       max_evaluations         2958.4875 
2      1031243992    3.6266882703738487e+08   nan                      3000000       max_evaluations         2955.4805 
3      1032244029    4.5818926386868411e+08   nan                      3000000       max_evaluations         2985.2914 
4      1033244066    4.1149051784358674e+08   nan                      3000000       max_evaluations         2987.8506 
5      1034244103    2.3528708177383322e+08   nan                      3000000       max_evaluations         3212.9050 
6      1035244140    2.8382507903886712e+08   nan                      3000000       max_evaluations         3214.8520 
7      1036244177    3.0996241036065042e+08   nan                      3000000       max_evaluations         3245.2089 
8      1037244214    2.7832426883674985e+08   nan                      3000000       max_evaluations         3240.4587 
9      1038244251    3.2764673491722995e+08   nan                      3000000       max_evaluations         2977.4275 
10     1039244288    3.9529170895518821e+08   nan                      3000000       max_evaluations         3270.3648 
11     1040244325    3.4456506230064207e+08   nan                      3000000       max_evaluations         3010.3644 
12     1041244362    5.0168863805624008e+08   nan                      3000000       max_evaluations         3253.9897 
13     1042244399    3.4835185081314880e+08   nan                      3000000       max_evaluations         2947.3994 
14     1043244436    3.0921735872571653e+08   nan                      3000000       max_evaluations         2798.4560 
15     1044244473    2.5478026093048459e+08   nan                      3000000       max_evaluations         2779.5858 
16     1045244510    4.2813335777657884e+08   nan                      3000000       max_evaluations         2791.3366 
17     1046244547    3.3055755018177968e+08   nan                      3000000       max_evaluations         2794.3719 
18     1047244584    3.1988270935083246e+08   nan                      3000000       max_evaluations         2799.2229 
19     1048244621    4.6265623445684415e+08   nan                      3000000       max_evaluations         2792.1347 
20     1049244658    3.4565744339543557e+08   nan                      3000000       max_evaluations         2805.7062 
21     1050244695    3.3019543717376465e+08   nan                      3000000       max_evaluations         2914.1202 
22     1051244732    3.5980068443806922e+08   nan                      3000000       max_evaluations         2912.0765 
23     1052244769    2.9717322971063358e+08   nan                      3000000       max_evaluations         2887.1337 
24     1053244806    3.4982530580614787e+08   nan                      3000000       max_evaluations         2898.6288 
25     1054244843    2.7175197204036021e+08   nan                      3000000       max_evaluations         2899.0242 

----- F10  D1000  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      1031243988    9.2944181019317821e+07   nan                      3000000       max_evaluations         2761.3531 
2      1032244025    9.3578801250370339e+07   nan                      3000000       max_evaluations         2452.0933 
3      1033244062    9.3501915236970052e+07   nan                      3000000       max_evaluations         2454.5912 
4      1034244099    9.3972179052717462e+07   nan                      3000000       max_evaluations         2441.5724 
