==============================================================================================================
DETAILED PER-RUN LOG   ATMALS-GSK   CEC2013LSGO   D905
runs per function : 25
functions         : [13]
statistics basis  : raw objective
generated         : 2026-07-24_05.24.20
==============================================================================================================

----- F13  D905  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      939243802     1.7829636223939977e+09   nan                      3000000       max_evaluations         2317.9418 
2      940243839     1.8177481724956639e+09   nan                      3000000       max_evaluations         2006.2655 
3      941243876     2.8533972156505013e+09   nan                      3000000       max_evaluations         2037.5970 
4      942243913     4.4094709140564270e+09   nan                      3000000       max_evaluations         2027.5121 
5      943243950     2.0236012592165022e+09   nan                      3000000       max_evaluations         2013.5952 
6      944243987     2.9005505826689062e+09   nan                      3000000       max_evaluations         2019.7378 
7      945244024     2.6026297210525618e+09   nan                      3000000       max_evaluations         2018.7802 
8      946244061     2.1557167169047318e+09   nan                      3000000       max_evaluations         2068.7914 
9      947244098     2.2425747298871708e+09   nan                      3000000       max_evaluations         2265.0124 
10     948244135     1.4165416550197852e+09   nan                      3000000       max_evaluations         2267.6035 
11     949244172     4.2098296379461746e+09   nan                      3000000       max_evaluations         2266.2816 
12     950244209     1.8292324034211915e+09   nan                      3000000       max_evaluations         2265.4593 
13     951244246     5.3126855138048992e+09   nan                      3000000       max_evaluations         2304.9276 
14     952244283     1.9401150855148613e+09   nan                      3000000       max_evaluations         1839.5723 
15     953244320     1.8223920725294738e+09   nan                      3000000       max_evaluations         1864.8938 
16     954244357     1.3510764247908950e+09   nan                      3000000       max_evaluations         1856.0001 
17     955244394     5.5253178019752407e+09   nan                      3000000       max_evaluations         1845.8773 
18     956244431     2.7827118446333594e+09   nan                      3000000       max_evaluations         1854.6762 
19     957244468     2.7452878948149157e+09   nan                      3000000       max_evaluations         1874.6993 
20     958244505     2.5229587146273704e+09   nan                      3000000       max_evaluations         1876.8148 
21     959244542     2.9365975010930119e+09   nan                      3000000       max_evaluations         1876.2749 
22     960244579     2.6168847627309880e+09   nan                      3000000       max_evaluations         1871.6437 
23     961244616     1.9055699657774048e+09   nan                      3000000       max_evaluations         1876.3787 
24     962244653     3.8880965082080965e+09   nan                      3000000       max_evaluations         1877.0217 
25     963244690     2.0137338112609179e+09   nan                      3000000       max_evaluations         1865.3430 

