Eval,BestError,Log10Error
100,1.2820543512017694e+09,9.1079064369820699e+00
200,4.7025484658925128e+08,8.6723332802162947e+00
300,4.7025484658925128e+08,8.6723332802162947e+00
400,4.7025484658925128e+08,8.6723332802162947e+00
500,4.0530008513470352e+08,8.6077766949667804e+00
600,4.0530008513470352e+08,8.6077766949667804e+00
700,2.8917584037879735e+08,8.4611620063664006e+00
800,1.0421072368571374e+08,8.0179124118416158e+00
900,1.0421072368571374e+08,8.0179124118416158e+00
1000,1.0421072368571374e+08,8.0179124118416158e+00
1100,1.0421072368571374e+08,8.0179124118416158e+00
1200,2.1998276398443464e+07,7.3423886544599641e+00
1300,2.1998276398443464e+07,7.3423886544599641e+00
1400,2.1998276398443464e+07,7.3423886544599641e+00
1500,2.1998276398443464e+07,7.3423886544599641e+00
1600,2.1998276398443464e+07,7.3423886544599641e+00
1700,2.1998276398443464e+07,7.3423886544599641e+00
1800,2.1998276398443464e+07,7.3423886544599641e+00
1900,2.1998276398443464e+07,7.3423886544599641e+00
2000,1.5108320465713792e+07,7.1792161881633696e+00
2100,1.5108320465713792e+07,7.1792161881633696e+00
2200,1.5108320465713792e+07,7.1792161881633696e+00
2300,1.5108320465713792e+07,7.1792161881633696e+00
2400,1.5108320465713792e+07,7.1792161881633696e+00
2500,1.5108320465713792e+07,7.1792161881633696e+00
2600,1.5108320465713792e+07,7.1792161881633696e+00
2700,1.5108320465713792e+07,7.1792161881633696e+00
2800,1.2751563349918814e+07,7.1055634328186965e+00
2900,1.2751563349918814e+07,7.1055634328186965e+00
3000,1.0733096476506568e+07,7.0307250331176716e+00
3100,9.3312769052003957e+06,6.9699410772875305e+00
3200,9.3312769052003957e+06,6.9699410772875305e+00
3300,2.3985772891725609e+06,6.3799537172652663e+00
3400,2.3483001865041060e+06,6.3707536125965616e+00
3500,1.5552983722735862e+06,6.1918137174796186e+00
3600,1.5552983722735862e+06,6.1918137174796186e+00
3700,1.5552983722735862e+06,6.1918137174796186e+00
3800,1.5552983722735862e+06,6.1918137174796186e+00
3900,1.5552983722735862e+06,6.1918137174796186e+00
4000,1.0674294376079827e+06,6.0283391756217926e+00
4100,1.0674294376079827e+06,6.0283391756217926e+00
4200,1.0674294376079827e+06,6.0283391756217926e+00
4300,1.0674294376079827e+06,6.0283391756217926e+00
4400,1.0674294376079827e+06,6.0283391756217926e+00
4500,1.0674294376079827e+06,6.0283391756217926e+00
4600,5.4100987317821512e+05,5.7332051908509163e+00
4700,4.2948991987625940e+05,5.6329529754001140e+00
4800,3.4448891552231333e+05,5.5371752523541202e+00
4900,3.4448891552231333e+05,5.5371752523541202e+00
5000,2.0263123709544592e+05,5.3067063958735812e+00
5100,2.0263123709544592e+05,5.3067063958735812e+00
5200,2.0263123709544592e+05,5.3067063958735812e+00
5300,2.0263123709544592e+05,5.3067063958735812e+00
5400,2.0263123709544592e+05,5.3067063958735812e+00
5500,2.0263123709544592e+05,5.3067063958735812e+00
5600,2.0263123709544592e+05,5.3067063958735812e+00
5700,2.0263123709544592e+05,5.3067063958735812e+00
5800,2.0263123709544592e+05,5.3067063958735812e+00
5900,1.4360077703286667e+05,5.1571567899074875e+00
6000,1.4360077703286667e+05,5.1571567899074875e+00
6100,7.6529163653657146e+04,4.8838269671830217e+00
6200,7.6529163653657146e+04,4.8838269671830217e+00
6300,7.6529163653657146e+04,4.8838269671830217e+00
6400,7.6529163653657146e+04,4.8838269671830217e+00
6500,7.6529163653657146e+04,4.8838269671830217e+00
6600,4.9227035109991637e+04,4.6922036794829785e+00
6700,4.9227035109991637e+04,4.6922036794829785e+00
6800,4.9227035109991637e+04,4.6922036794829785e+00
6900,4.9227035109991637e+04,4.6922036794829785e+00
7000,4.6788203740918638e+04,4.6701363723906937e+00
7100,4.6788203740918638e+04,4.6701363723906937e+00
7200,4.2737180014330064e+04,4.6308058621279971e+00
7300,4.2737180014330064e+04,4.6308058621279971e+00
7400,4.2737180014330064e+04,4.6308058621279971e+00
7500,4.2737180014330064e+04,4.6308058621279971e+00
7600,3.9523232018790615e+04,4.5968524518703688e+00
7700,3.9523232018790615e+04,4.5968524518703688e+00
7800,3.5238417629382995e+04,4.5470163983138852e+00
7900,3.5238417629382995e+04,4.5470163983138852e+00
8000,1.4009987899861186e+04,4.1464377601947122e+00
8100,1.4009987899861186e+04,4.1464377601947122e+00
8200,1.4009987899861186e+04,4.1464377601947122e+00
8300,1.4009987899861186e+04,4.1464377601947122e+00
8400,1.4009987899861186e+04,4.1464377601947122e+00
8500,1.1954852192775776e+04,4.0775442109613129e+00
8600,1.1954852192775776e+04,4.0775442109613129e+00
8700,1.1954852192775776e+04,4.0775442109613129e+00
8800,1.1954852192775776e+04,4.0775442109613129e+00
8900,1.1954852192775776e+04,4.0775442109613129e+00
9000,1.1954852192775776e+04,4.0775442109613129e+00
9100,1.0000400687552337e+04,4.0000174012906733e+00
9200,1.0000400687552337e+04,4.0000174012906733e+00
9300,1.0000400687552337e+04,4.0000174012906733e+00
9400,6.7691890038115498e+03,3.8305366402852439e+00
9500,6.7691890038115498e+03,3.8305366402852439e+00
9600,3.4433014346371874e+03,3.5369750435206111e+00
9700,3.4433014346371874e+03,3.5369750435206111e+00
9800,3.4433014346371874e+03,3.5369750435206111e+00
9900,3.4433014346371874e+03,3.5369750435206111e+00
10000,1.3311263622066767e+03,3.1242192844786030e+00
10100,1.3311263622066767e+03,3.1242192844786030e+00
10200,1.3311263622066767e+03,3.1242192844786030e+00
10300,1.3311263622066767e+03,3.1242192844786030e+00
10400,1.3311263622066767e+03,3.1242192844786030e+00
10500,1.3311263622066767e+03,3.1242192844786030e+00
10600,1.3311263622066767e+03,3.1242192844786030e+00
10700,1.7192855970135531e+02,2.2353480249736446e+00
10800,1.7192855970135531e+02,2.2353480249736446e+00
10900,1.7192855970135531e+02,2.2353480249736446e+00
11000,1.7192855970135531e+02,2.2353480249736446e+00
11100,1.7192855970135531e+02,2.2353480249736446e+00
11200,1.7192855970135531e+02,2.2353480249736446e+00
11300,1.7192855970135531e+02,2.2353480249736446e+00
11400,1.7192855970135531e+02,2.2353480249736446e+00
11500,1.1156000461171250e+02,2.0475085235470534e+00
11600,1.1156000461171250e+02,2.0475085235470534e+00
11700,1.1156000461171250e+02,2.0475085235470534e+00
