==============================================================================================================
DETAILED PER-RUN LOG   ATMALS-GSK   CEC2020   D20
runs per function : 30
functions         : [1]
statistics basis  : error vs known optimum
generated         : 2026-07-28_16.59.36
==============================================================================================================

----- F1  D20  (30 runs)  optimum=100  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      42240751      1.0000000000000001e+02   0.0000000000000000e+00   10000000      max_evaluations         169.6417  
2      43240788      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         168.9931  
3      44240825      1.0000000000000001e+02   0.0000000000000000e+00   10000000      max_evaluations         166.7894  
4      45240862      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         168.7149  
5      46240899      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         168.7650  
6      47240936      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         172.0419  
7      48240973      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         170.0868  
8      49241010      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         170.2012  
9      50241047      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         171.2144  
10     51241084      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         172.6835  
11     52241121      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         169.0290  
12     53241158      1.0000000000000001e+02   0.0000000000000000e+00   10000000      max_evaluations         171.0484  
13     54241195      1.0000000000000001e+02   0.0000000000000000e+00   10000000      max_evaluations         168.8084  
14     55241232      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         166.7744  
15     56241269      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         174.3197  
16     57241306      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         173.1350  
17     58241343      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         174.9212  
18     59241380      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         174.0003  
19     60241417      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         173.6459  
20     61241454      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         173.6297  
21     62241491      1.0000000000000001e+02   0.0000000000000000e+00   10000000      max_evaluations         177.4866  
22     63241528      1.0000000000000001e+02   0.0000000000000000e+00   10000000      max_evaluations         173.7546  
23     64241565      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         177.0479  
24     65241602      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         175.9261  
25     66241639      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         177.1844  
26     67241676      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         176.1465  
27     68241713      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         176.1027  
28     69241750      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         174.9768  
29     70241787      1.0000000000000001e+02   0.0000000000000000e+00   10000000      max_evaluations         56.9979   
30     71241824      1.0000000000000001e+02   0.0000000000000000e+00   10000000      max_evaluations         56.4561   

