==============================================================================================================
DETAILED PER-RUN LOG   ATMALS-GSK   CEC2020   D20
runs per function : 30
functions         : [1 2 3 4 5 6 7 8 9 10]
statistics basis  : error vs known optimum
generated         : 2026-07-28_18.33.46
==============================================================================================================

----- F1  D20  (30 runs)  optimum=100  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      42240751      1.0000000000000001e+02   0.0000000000000000e+00   10000000      max_evaluations         169.6417  
2      43240788      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         168.9931  
3      44240825      1.0000000000000001e+02   0.0000000000000000e+00   10000000      max_evaluations         166.7894  
4      45240862      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         168.7149  
5      46240899      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         168.7650  
6      47240936      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         172.0419  
7      48240973      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         170.0868  
8      49241010      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         170.2012  
9      50241047      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         171.2144  
10     51241084      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         172.6835  
11     52241121      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         169.0290  
12     53241158      1.0000000000000001e+02   0.0000000000000000e+00   10000000      max_evaluations         171.0484  
13     54241195      1.0000000000000001e+02   0.0000000000000000e+00   10000000      max_evaluations         168.8084  
14     55241232      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         166.7744  
15     56241269      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         174.3197  
16     57241306      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         173.1350  
17     58241343      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         174.9212  
18     59241380      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         174.0003  
19     60241417      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         173.6459  
20     61241454      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         173.6297  
21     62241491      1.0000000000000001e+02   0.0000000000000000e+00   10000000      max_evaluations         177.4866  
22     63241528      1.0000000000000001e+02   0.0000000000000000e+00   10000000      max_evaluations         173.7546  
23     64241565      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         177.0479  
24     65241602      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         175.9261  
25     66241639      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         177.1844  
26     67241676      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         176.1465  
27     68241713      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         176.1027  
28     69241750      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         174.9768  
29     70241787      1.0000000000000001e+02   0.0000000000000000e+00   10000000      max_evaluations         56.9979   
30     71241824      1.0000000000000001e+02   0.0000000000000000e+00   10000000      max_evaluations         56.4561   

----- F2  D20  (30 runs)  optimum=1100  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      43240784      2.3024395583255382e+03   1.2024395583255380e+03   10000000      max_evaluations         182.4008  
2      44240821      1.9603062032548924e+03   8.6030620325489235e+02   10000000      max_evaluations         176.6026  
3      45240858      1.9524077260034965e+03   8.5240772600349646e+02   10000000      max_evaluations         182.6012  
4      46240895      1.6167315137825517e+03   5.1673151378255170e+02   10000000      max_evaluations         180.9228  
5      47240932      1.4739151536341142e+03   3.7391515363411418e+02   10000000      max_evaluations         180.0279  
6      48240969      1.3619943773284631e+03   2.6199437732846297e+02   10000000      max_evaluations         180.7441  
7      49241006      1.7182356459540970e+03   6.1823564595409698e+02   10000000      max_evaluations         180.9583  
8      50241043      1.7364418251841525e+03   6.3644182518415255e+02   10000000      max_evaluations         185.4255  
9      51241080      1.9642005909267591e+03   8.6420059092675899e+02   10000000      max_evaluations         186.5965  
10     52241117      1.8469899588859498e+03   7.4698995888594982e+02   10000000      max_evaluations         184.4095  
11     53241154      1.7284133999841442e+03   6.2841339998414423e+02   10000000      max_evaluations         183.2066  
12     54241191      2.4279545499100304e+03   1.3279545499100304e+03   10000000      max_evaluations         188.8871  
13     55241228      1.4824052947247919e+03   3.8240529472479199e+02   10000000      max_evaluations         175.0916  
14     56241265      1.7361078585004780e+03   6.3610785850047796e+02   10000000      max_evaluations         181.8008  
15     57241302      1.8947272426133441e+03   7.9472724261334395e+02   10000000      max_evaluations         183.3518  
16     58241339      1.7809484328605204e+03   6.8094843286052037e+02   10000000      max_evaluations         178.3641  
17     59241376      1.9521187729659250e+03   8.5211877296592502e+02   10000000      max_evaluations         183.3249  
18     60241413      1.4980669764026597e+03   3.9806697640265969e+02   10000000      max_evaluations         183.8924  
19     61241450      1.3478830817056069e+03   2.4788308170560691e+02   10000000      max_evaluations         179.1562  
20     62241487      1.7264826955298759e+03   6.2648269552987585e+02   10000000      max_evaluations         184.4204  
21     63241524      1.3582490280991442e+03   2.5824902809914420e+02   10000000      max_evaluations         179.7885  
22     64241561      1.8352153345531979e+03   7.3521533455319786e+02   10000000      max_evaluations         182.0513  
23     65241598      1.3511732638702897e+03   2.5117326387028970e+02   10000000      max_evaluations         177.3379  
24     66241635      1.7039284118807391e+03   6.0392841188073896e+02   10000000      max_evaluations         181.6942  
25     67241672      1.5915009099828903e+03   4.9150090998289028e+02   10000000      max_evaluations         182.6029  
26     68241709      1.7055918454038792e+03   6.0559184540387923e+02   10000000      max_evaluations         181.0567  
27     69241746      1.8388497126134398e+03   7.3884971261343981e+02   10000000      max_evaluations         181.0093  
28     70241783      1.2676622545101782e+03   1.6766225451017820e+02   10000000      max_evaluations         177.5673  
29     71241820      1.8146910944422552e+03   7.1469109444225523e+02   10000000      max_evaluations         65.1936   
30     72241857      1.6163072268045635e+03   5.1630722680456347e+02   10000000      max_evaluations         62.1548   

----- F3  D20  (30 runs)  optimum=700  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      44240817      7.3036163717025136e+02   3.0361637170251399e+01   10000000      max_evaluations         184.5345  
2      45240854      7.2579728471029784e+02   2.5797284710297799e+01   10000000      max_evaluations         187.3210  
3      46240891      7.3211430408184901e+02   3.2114304081848999e+01   10000000      max_evaluations         183.0942  
4      47240928      7.3603190727439937e+02   3.6031907274399401e+01   10000000      max_evaluations         188.5819  
5      48240965      7.2967698052675780e+02   2.9676980526757799e+01   10000000      max_evaluations         184.3744  
6      49241002      7.2750315972081694e+02   2.7503159720816900e+01   10000000      max_evaluations         186.8957  
7      50241039      7.3157157540821368e+02   3.1571575408213700e+01   10000000      max_evaluations         191.7492  
8      51241076      7.3633787761927886e+02   3.6337877619278899e+01   10000000      max_evaluations         190.9063  
9      52241113      7.2692954881417484e+02   2.6929548814174801e+01   10000000      max_evaluations         191.5638  
10     53241150      7.2383484959956786e+02   2.3834849599567900e+01   10000000      max_evaluations         190.4564  
11     54241187      7.2433296235456589e+02   2.4332962354565900e+01   10000000      max_evaluations         188.8669  
12     55241224      7.2633317853482424e+02   2.6333178534824199e+01   10000000      max_evaluations         186.7787  
13     56241261      7.2781777058802436e+02   2.7817770588024398e+01   10000000      max_evaluations         183.4732  
14     57241298      7.3214920156678784e+02   3.2149201566787802e+01   10000000      max_evaluations         188.1686  
15     58241335      7.2735804388958320e+02   2.7358043889583200e+01   10000000      max_evaluations         186.3796  
16     59241372      7.2238484570751871e+02   2.2384845707518700e+01   10000000      max_evaluations         186.8663  
17     60241409      7.2932128481754421e+02   2.9321284817544200e+01   10000000      max_evaluations         184.9631  
18     61241446      7.2589519198285495e+02   2.5895191982855000e+01   10000000      max_evaluations         187.5093  
19     62241483      7.3081050169491607e+02   3.0810501694916098e+01   10000000      max_evaluations         190.4531  
20     63241520      7.3274536783522740e+02   3.2745367835227398e+01   10000000      max_evaluations         191.7520  
21     64241557      7.2427467750664016e+02   2.4274677506640199e+01   10000000      max_evaluations         187.1989  
22     65241594      7.2484796637746410e+02   2.4847966377464100e+01   10000000      max_evaluations         187.4349  
23     66241631      7.3007464111331581e+02   3.0074641113315799e+01   10000000      max_evaluations         188.6476  
24     67241668      7.2542527867597755e+02   2.5425278675977601e+01   10000000      max_evaluations         191.0777  
25     68241705      7.2770349497775044e+02   2.7703494977750399e+01   10000000      max_evaluations         189.5017  
26     69241742      7.2459860578108623e+02   2.4598605781086199e+01   10000000      max_evaluations         189.4639  
27     70241779      7.3241952686829143e+02   3.2419526868291399e+01   10000000      max_evaluations         188.8472  
28     71241816      7.2786837735291954e+02   2.7868377352919499e+01   10000000      max_evaluations         189.0912  
29     72241853      7.3109364153148886e+02   3.1093641531488899e+01   10000000      max_evaluations         63.3769   
30     73241890      7.2782543452211371e+02   2.7825434522113699e+01   10000000      max_evaluations         63.0801   

----- F4  D20  (30 runs)  optimum=1900  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      45240850      1.9007832424342109e+03   7.8324243421100004e-01   10000000      max_evaluations         186.8296  
2      46240887      1.9005441949056678e+03   5.4419490566780004e-01   10000000      max_evaluations         188.4985  
3      47240924      1.9006008459747636e+03   6.0084597476360002e-01   10000000      max_evaluations         186.6968  
4      48240961      1.9009166710154234e+03   9.1667101542340002e-01   10000000      max_evaluations         188.4281  
5      49240998      1.9007293038091250e+03   7.2930380912500004e-01   10000000      max_evaluations         187.1757  
6      50241035      1.9007794253342042e+03   7.7942533420420002e-01   10000000      max_evaluations         185.1944  
7      51241072      1.9004350197105309e+03   4.3501971053100003e-01   10000000      max_evaluations         180.7232  
8      52241109      1.9007830832198770e+03   7.8308321987700003e-01   10000000      max_evaluations         183.1249  
9      53241146      1.9002868823488636e+03   2.8688234886359998e-01   10000000      max_evaluations         181.7841  
10     54241183      1.9003743283901263e+03   3.7432839012629998e-01   10000000      max_evaluations         183.1003  
11     55241220      1.9007717507791201e+03   7.7175077912000001e-01   10000000      max_evaluations         182.7492  
12     56241257      1.9004763871000512e+03   4.7638710005120000e-01   10000000      max_evaluations         182.1467  
13     57241294      1.9006269830560573e+03   6.2698305605729998e-01   10000000      max_evaluations         185.9862  
14     58241331      1.9005361708716052e+03   5.3617087160520005e-01   10000000      max_evaluations         186.8888  
15     59241368      1.9007404579405966e+03   7.4045794059659997e-01   10000000      max_evaluations         177.7104  
16     60241405      1.9005583402440527e+03   5.5834024405270000e-01   10000000      max_evaluations         182.3436  
