==============================================================================================================
DETAILED PER-RUN LOG   ATMALS-GSK   CEC2020   D5
runs per function : 30
functions         : [1 2 3 4 5 8 9 10]
statistics basis  : error vs known optimum
generated         : 2026-07-28_16.59.36
==============================================================================================================

----- F1  D5  (30 runs)  optimum=100  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      27240706      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.5024    
2      28240743      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.4484    
3      29240780      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.4839    
4      30240817      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.5032    
5      31240854      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.4524    
6      32240891      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.4827    
7      33240928      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.4718    
8      34240965      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.4735    
9      35241002      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.4916    
10     36241039      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.4387    
11     37241076      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.4703    
12     38241113      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.4859    
13     39241150      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.4933    
14     40241187      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.4389    
15     41241224      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.5885    
16     42241261      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.5830    
17     43241298      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.6134    
18     44241335      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.6521    
19     45241372      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.6089    
20     46241409      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.6497    
21     47241446      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.6274    
22     48241483      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.6409    
23     49241520      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.6005    
24     50241557      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.6246    
25     51241594      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.6345    
26     52241631      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.5932    
27     53241668      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.6030    
28     54241705      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.5953    
29     55241742      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.4410    
30     56241779      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.4498    

----- F2  D5  (30 runs)  optimum=1100  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      28240739      1.1238082151619401e+03   2.3808215161940002e+01   50000         max_evaluations         0.5553    
2      29240776      1.1005195876196181e+03   5.1958761961800004e-01   50000         max_evaluations         0.5610    
3      30240813      1.1240136380076374e+03   2.4013638007637400e+01   50000         max_evaluations         0.5517    
4      31240850      1.1305040095145532e+03   3.0504009514553200e+01   50000         max_evaluations         0.5527    
5      32240887      1.1070904305255735e+03   7.0904305255734998e+00   50000         max_evaluations         0.5393    
6      33240924      1.1068971199868638e+03   6.8971199868637996e+00   50000         max_evaluations         0.5250    
7      34240961      1.1073059841192735e+03   7.3059841192735000e+00   50000         max_evaluations         0.5065    
8      35240998      1.1854993406693634e+03   8.5499340669363406e+01   50000         max_evaluations         0.5433    
9      36241035      1.1003703647385405e+03   3.7036473854050000e-01   50000         max_evaluations         0.5677    
10     37241072      1.1138466230467016e+03   1.3846623046701600e+01   50000         max_evaluations         0.5815    
11     38241109      1.1001686924800783e+03   1.6869248007830001e-01   50000         max_evaluations         0.5882    
12     39241146      1.1070909258089605e+03   7.0909258089604998e+00   50000         max_evaluations         0.5797    
13     40241183      1.1005444928511406e+03   5.4449285114059998e-01   50000         max_evaluations         0.5702    
14     41241220      1.1304659147384896e+03   3.0465914738489602e+01   50000         max_evaluations         0.5673    
15     42241257      1.1237636677444925e+03   2.3763667744492501e+01   50000         max_evaluations         0.6297    
16     43241294      1.1070651214414938e+03   7.0651214414938002e+00   50000         max_evaluations         0.6809    
17     44241331      1.1305496781668676e+03   3.0549678166867601e+01   50000         max_evaluations         0.6233    
18     45241368      1.1236935806785023e+03   2.3693580678502300e+01   50000         max_evaluations         0.6033    
19     46241405      1.1240618074096392e+03   2.4061807409639201e+01   50000         max_evaluations         0.6769    
20     47241442      1.1235877425667836e+03   2.3587742566783600e+01   50000         max_evaluations         0.6773    
21     48241479      1.1071518074565965e+03   7.1518074565965000e+00   50000         max_evaluations         0.6349    
22     49241516      1.1068401022060029e+03   6.8401022060030003e+00   50000         max_evaluations         0.6842    
23     50241553      1.1006134582842133e+03   6.1345828421329995e-01   50000         max_evaluations         0.6996    
24     51241590      1.1303084711992956e+03   3.0308471199295600e+01   50000         max_evaluations         0.6829    
25     52241627      1.1852690472314102e+03   8.5269047231410198e+01   50000         max_evaluations         0.6503    
26     53241664      1.1136872123149760e+03   1.3687212314976000e+01   50000         max_evaluations         0.7090    
