Function,Best,Median,Mean,Worst,SD
1,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00
2,1.5250265765E+02,5.0255042010E+02,4.9684827728E+02,9.4482814745E+02,2.2560330811E+02
3,1.7148834311E+01,2.4977582515E+01,2.4754485439E+01,3.1126736116E+01,3.6758622759E+00
4,2.3503583216E-01,4.3883967023E-01,4.3636965517E-01,8.5964692240E-01,1.3439806096E-01
5,2.1460356600E+00,1.2540085963E+01,3.3280956589E+01,2.5335248231E+02,5.6888209324E+01
6,1.6212024746E-01,1.1171671667E+00,3.9141238877E+00,1.6784868578E+01,4.6002496672E+00
7,1.6930092362E-01,5.8693290439E-01,1.6813573541E+01,1.2994368012E+02,4.2117747956E+01
8,1.0000000000E+02,1.0000000000E+02,1.0028440028E+02,1.0111478730E+02,3.7490828781E-01
9,1.0000000000E+02,3.9187744007E+02,3.7725080275E+02,4.0258624006E+02,5.7580983499E+01
10,4.0000000000E+02,4.0000000000E+02,4.0000000000E+02,4.0000000000E+02,2.6745375881E-13
