optimizer,suite,function,dimension,run,seed,best_fitness,error,nfes,termination,runtime_seconds
atmals-gsk,cec2020,1,5,1,27240706,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.502435
atmals-gsk,cec2020,1,5,2,28240743,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.448375
atmals-gsk,cec2020,1,5,3,29240780,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.483946
atmals-gsk,cec2020,1,5,4,30240817,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.503206
atmals-gsk,cec2020,1,5,5,31240854,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.452437
atmals-gsk,cec2020,1,5,6,32240891,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.482670
atmals-gsk,cec2020,1,5,7,33240928,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.471781
atmals-gsk,cec2020,1,5,8,34240965,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.473462
atmals-gsk,cec2020,1,5,9,35241002,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.491578
atmals-gsk,cec2020,1,5,10,36241039,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.438684
atmals-gsk,cec2020,1,5,11,37241076,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.470255
atmals-gsk,cec2020,1,5,12,38241113,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.485888
atmals-gsk,cec2020,1,5,13,39241150,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.493336
atmals-gsk,cec2020,1,5,14,40241187,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.438853
atmals-gsk,cec2020,1,5,15,41241224,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.588466
atmals-gsk,cec2020,1,5,16,42241261,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.582952
atmals-gsk,cec2020,1,5,17,43241298,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.613373
atmals-gsk,cec2020,1,5,18,44241335,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.652097
atmals-gsk,cec2020,1,5,19,45241372,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.608892
atmals-gsk,cec2020,1,5,20,46241409,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.649716
atmals-gsk,cec2020,1,5,21,47241446,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.627364
atmals-gsk,cec2020,1,5,22,48241483,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.640949
atmals-gsk,cec2020,1,5,23,49241520,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.600466
atmals-gsk,cec2020,1,5,24,50241557,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.624567
atmals-gsk,cec2020,1,5,25,51241594,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.634465
atmals-gsk,cec2020,1,5,26,52241631,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.593216
atmals-gsk,cec2020,1,5,27,53241668,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.603043
atmals-gsk,cec2020,1,5,28,54241705,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.595274
atmals-gsk,cec2020,1,5,29,55241742,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.441046
atmals-gsk,cec2020,1,5,30,56241779,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.449832
atmals-gsk,cec2020,2,5,1,28240739,1.1238082152e+03,2.3808215162e+01,50000,max_evaluations,0.555283
atmals-gsk,cec2020,2,5,2,29240776,1.1005195876e+03,5.1958761962e-01,50000,max_evaluations,0.560992
atmals-gsk,cec2020,2,5,3,30240813,1.1240136380e+03,2.4013638008e+01,50000,max_evaluations,0.551697
atmals-gsk,cec2020,2,5,4,31240850,1.1305040095e+03,3.0504009515e+01,50000,max_evaluations,0.552678
atmals-gsk,cec2020,2,5,5,32240887,1.1070904305e+03,7.0904305256e+00,50000,max_evaluations,0.539328
atmals-gsk,cec2020,2,5,6,33240924,1.1068971200e+03,6.8971199869e+00,50000,max_evaluations,0.524976
