Eval,BestError,Log10Error
100,7.5646941846385777e+07,7.8787913756363341e+00
200,6.7571119318047598e+07,7.8297611130884395e+00
300,6.4494968717653997e+07,7.8095258364432327e+00
400,6.4494968717653997e+07,7.8095258364432327e+00
500,6.4494968717653997e+07,7.8095258364432327e+00
600,6.3202387111218780e+07,7.8007334815996616e+00
700,6.3202387111218780e+07,7.8007334815996616e+00
800,6.3202387111218780e+07,7.8007334815996616e+00
900,6.3202387111218780e+07,7.8007334815996616e+00
1000,6.3202387111218780e+07,7.8007334815996616e+00
1100,6.3202387111218780e+07,7.8007334815996616e+00
1200,6.3202387111218780e+07,7.8007334815996616e+00
1300,6.3202387111218780e+07,7.8007334815996616e+00
1400,6.3113491063872330e+07,7.8001222034332569e+00
1500,6.2787809437566832e+07,7.7978753315091804e+00
1600,6.2787809437566832e+07,7.7978753315091804e+00
1700,6.2574407942653678e+07,7.7963967491559316e+00
1800,6.2574407942653678e+07,7.7963967491559316e+00
1900,6.1937207155234300e+07,7.7919516184502760e+00
2000,6.1937207155234300e+07,7.7919516184502760e+00
2100,6.1937207155234300e+07,7.7919516184502760e+00
2200,6.1937207155234300e+07,7.7919516184502760e+00
2300,6.1654736135274947e+07,7.7899664434364029e+00
2400,6.1654736135274947e+07,7.7899664434364029e+00
2500,6.1654736135274947e+07,7.7899664434364029e+00
2600,6.1084669066632584e+07,7.7859322253780912e+00
2700,6.1084669066632584e+07,7.7859322253780912e+00
2800,6.1084669066632584e+07,7.7859322253780912e+00
2900,6.1084669066632584e+07,7.7859322253780912e+00
3000,6.1057215350651368e+07,7.7857369934539067e+00
3100,6.0559638319797486e+07,7.7821832727637270e+00
3200,6.0559638319797486e+07,7.7821832727637270e+00
3300,6.0536838572386108e+07,7.7820197369638313e+00
3400,6.0536838572386108e+07,7.7820197369638313e+00
3500,6.0536838572386108e+07,7.7820197369638313e+00
3600,6.0536838572386108e+07,7.7820197369638313e+00
3700,6.0536838572386108e+07,7.7820197369638313e+00
3800,6.0536838572386108e+07,7.7820197369638313e+00
3900,6.0536838572386108e+07,7.7820197369638313e+00
4000,6.0536838572386108e+07,7.7820197369638313e+00
4100,6.0536763175031714e+07,7.7820191960588856e+00
4200,6.0536763175031714e+07,7.7820191960588856e+00
4300,6.0536763175031714e+07,7.7820191960588856e+00
4400,6.0536763175031714e+07,7.7820191960588856e+00
4500,6.0324388322263151e+07,7.7804929269403322e+00
4600,6.0324388322263151e+07,7.7804929269403322e+00
4700,6.0324388295719288e+07,7.7804929267492344e+00
4800,6.0324368110825159e+07,7.7804927814317297e+00
4900,6.0324368110825159e+07,7.7804927814317297e+00
5000,6.0324368110825159e+07,7.7804927814317297e+00
5100,6.0323936014172494e+07,7.7804896706181417e+00
5200,6.0323907222969972e+07,7.7804894633395030e+00
5300,6.0323907222969972e+07,7.7804894633395030e+00
5400,6.0323696529739328e+07,7.7804879464770940e+00
5500,6.0323696529739328e+07,7.7804879464770940e+00
5600,6.0323696529739328e+07,7.7804879464770940e+00
5700,6.0323696478769839e+07,7.7804879461101439e+00
5800,5.9895065393376790e+07,7.7773910434125897e+00
5900,5.9895065393376790e+07,7.7773910434125897e+00
6000,5.9895065393376790e+07,7.7773910434125897e+00
6065,5.9895065393376790e+07,7.7773910434125897e+00
6165,5.9895065393376790e+07,7.7773910434125897e+00
6265,5.9895065393376790e+07,7.7773910434125897e+00
6365,5.9895065393376790e+07,7.7773910434125897e+00
6465,5.9895065393376790e+07,7.7773910434125897e+00
6565,5.9895065393376790e+07,7.7773910434125897e+00
6665,5.9895065393376790e+07,7.7773910434125897e+00
6765,5.9895065393376790e+07,7.7773910434125897e+00
6865,5.9895065393376790e+07,7.7773910434125897e+00
6965,5.9895065393376790e+07,7.7773910434125897e+00
7065,5.9895065393376790e+07,7.7773910434125897e+00
7165,5.9895065393376790e+07,7.7773910434125897e+00
7265,5.9895065393376790e+07,7.7773910434125897e+00
7365,5.9895065393376790e+07,7.7773910434125897e+00
7465,5.9895065393376790e+07,7.7773910434125897e+00
7565,5.9895065393376790e+07,7.7773910434125897e+00
7665,5.9895065393376790e+07,7.7773910434125897e+00
7765,5.9895065393376790e+07,7.7773910434125897e+00
7865,5.9895065393376790e+07,7.7773910434125897e+00
7965,5.9895065393376790e+07,7.7773910434125897e+00
8065,5.9895065393376790e+07,7.7773910434125897e+00
8265,5.9895065393376790e+07,7.7773910434125897e+00
8365,5.9895065393376790e+07,7.7773910434125897e+00
8465,5.9895065393376790e+07,7.7773910434125897e+00
8565,5.9895065393376790e+07,7.7773910434125897e+00
8765,5.9895065393376790e+07,7.7773910434125897e+00
8865,5.9895065393376790e+07,7.7773910434125897e+00
8965,5.9895065393376790e+07,7.7773910434125897e+00
9065,5.9895065393376790e+07,7.7773910434125897e+00
9265,5.9895065393376790e+07,7.7773910434125897e+00
9365,5.9895065393376790e+07,7.7773910434125897e+00
9565,5.9895065393376790e+07,7.7773910434125897e+00
9665,5.9895065393376790e+07,7.7773910434125897e+00
9765,5.9895065393376790e+07,7.7773910434125897e+00
9965,5.9895065393376790e+07,7.7773910434125897e+00
10065,5.9895065393376790e+07,7.7773910434125897e+00
10265,5.9895065393376790e+07,7.7773910434125897e+00
10365,5.9895065393376790e+07,7.7773910434125897e+00
10565,5.9895065393376790e+07,7.7773910434125897e+00
10665,5.9895065393376790e+07,7.7773910434125897e+00
10865,5.9895065393376790e+07,7.7773910434125897e+00
10965,5.9895065393376790e+07,7.7773910434125897e+00
11165,5.9895065393376790e+07,7.7773910434125897e+00
11365,5.9895065393376790e+07,7.7773910434125897e+00
11465,5.9895065393376790e+07,7.7773910434125897e+00
11665,5.9895065393376790e+07,7.7773910434125897e+00
11865,5.9895065393376790e+07,7.7773910434125897e+00
11965,5.9895065393376790e+07,7.7773910434125897e+00
12130,5.9895065393376790e+07,7.7773910434125897e+00
12330,5.9895065393376790e+07,7.7773910434125897e+00
12530,5.9895065393376790e+07,7.7773910434125897e+00
12730,5.9895065393376790e+07,7.7773910434125897e+00
12930,5.9895065393376790e+07,7.7773910434125897e+00
13130,5.9895065393376790e+07,7.7773910434125897e+00
13330,5.9895065393376790e+07,7.7773910434125897e+00
13530,5.9895065393376790e+07,7.7773910434125897e+00
13630,5.9895065393376790e+07,7.7773910434125897e+00
13830,5.9895065393376790e+07,7.7773910434125897e+00
14130,5.9895065393376790e+07,7.7773910434125897e+00
14330,5.9895065393376790e+07,7.7773910434125897e+00
14530,5.9895065393376790e+07,7.7773910434125897e+00
14730,5.9895065393376790e+07,7.7773910434125897e+00
14930,5.9895065393376790e+07,7.7773910434125897e+00
15130,5.9895065393376790e+07,7.7773910434125897e+00
15330,5.9895065393376790e+07,7.7773910434125897e+00
15630,5.9895065393376790e+07,7.7773910434125897e+00
15830,5.9895065393376790e+07,7.7773910434125897e+00
16030,5.9895065393376790e+07,7.7773910434125897e+00
16330,5.9895065393376790e+07,7.7773910434125897e+00
16530,5.9895065393376790e+07,7.7773910434125897e+00
16730,5.9895065393376790e+07,7.7773910434125897e+00
17030,5.9895065393376790e+07,7.7773910434125897e+00
17230,5.9895065393376790e+07,7.7773910434125897e+00
17530,5.9895065393376790e+07,7.7773910434125897e+00
17730,5.9895065393376790e+07,7.7773910434125897e+00
17995,5.9895065393376790e+07,7.7773910434125897e+00
18295,5.7212542499798775e+07,7.7574912480470442e+00
18595,5.6266791016306452e+07,7.7502521473620840e+00
18795,5.6266791016306452e+07,7.7502521473620840e+00
19095,5.5062229496361896e+07,7.7408537922074112e+00
19395,5.5062229496361896e+07,7.7408537922074112e+00
19695,5.5056914400847241e+07,7.7408118682226634e+00
19995,5.4562142549163736e+07,7.7368914158824653e+00
20295,5.3838636962223753e+07,7.7310940562813339e+00
20595,5.3838636962223753e+07,7.7310940562813339e+00
20895,5.3578384699269772e+07,7.7289896162007379e+00
21195,5.3172019878553405e+07,7.7256831584418419e+00
21495,5.2989106451480187e+07,7.7241865961238148e+00
21795,5.2989105517683171e+07,7.7241865884704888e+00
22095,5.2410971248469949e+07,7.7194222078602479e+00
22395,5.2402682441355571e+07,7.7193535186566544e+00
22795,5.2400083039773308e+07,7.7193319752220235e+00
23095,5.2400080379021786e+07,7.7193319531695828e+00
23395,5.2343776367784508e+07,7.7188650518255990e+00
23795,5.2343776367784508e+07,7.7188650518255990e+00
24160,4.9577977790312700e+07,7.6952888085871249e+00
24460,4.9080786274923623e+07,7.6909115115147335e+00
24860,4.8234916360095412e+07,7.6833615297892672e+00
25160,4.6270569300965637e+07,7.6653048429783261e+00
25560,4.6270569300965637e+07,7.6653048429783261e+00
25960,4.5831870403981172e+07,7.6611675812149498e+00
26360,4.5831870403981172e+07,7.6611675812149498e+00
26660,4.5831870403981172e+07,7.6611675812149498e+00
27060,4.5417948489444532e+07,7.6572275134188184e+00
27460,4.5417948489444532e+07,7.6572275134188184e+00
27860,4.5417948489444532e+07,7.6572275134188184e+00
28260,4.5417948489444532e+07,7.6572275134188184e+00
28760,4.5385666457062893e+07,7.6569187171417790e+00
29160,4.5301639614199877e+07,7.6561139208321061e+00
29560,4.5299951137631066e+07,7.6560977335654004e+00
30025,4.4702852922478274e+07,7.6503352405581602e+00
30425,4.4698074490996212e+07,7.6502888149452088e+00
30925,4.4250921622001208e+07,7.6459223202582827e+00
31325,4.4250921622001208e+07,7.6459223202582827e+00
31825,4.4009390872758746e+07,7.6435453576011101e+00
32225,4.4007445348790444e+07,7.6435261583124223e+00
32725,4.3530810079030126e+07,7.6387967491601358e+00
33225,4.3523875738913447e+07,7.6387275617148793e+00
33725,4.3522035845302097e+07,7.6387092023082568e+00
34225,4.3522035845302097e+07,7.6387092023082568e+00
34725,4.3522026842658997e+07,7.6387091124733359e+00
35225,4.3520850612902954e+07,7.6386973750375464e+00
35725,4.3520829332127415e+07,7.6386971626766780e+00
36290,4.2798342941087998e+07,7.6314269543993127e+00
36790,4.1564134671863370e+07,7.6187187433090608e+00
37290,4.1380782479558945e+07,7.6167986985902694e+00
37890,4.1296325439039856e+07,7.6159114097061451e+00
38390,4.0688886835460186e+07,7.6094758086089991e+00
38990,4.0688886835460186e+07,7.6094758086089991e+00
39590,4.0688884165455170e+07,7.6094757801105910e+00
40090,4.0685655479851969e+07,7.6094413172344115e+00
40690,4.0684838670651399e+07,7.6094325982083735e+00
41290,4.0684838670651399e+07,7.6094325982083735e+00
41955,3.4562267220594078e+07,7.5386022236534194e+00
42555,3.1946410613019578e+07,7.5044220694262105e+00
43155,3.1946410613019578e+07,7.5044220694262105e+00
43755,3.1792332691998128e+07,7.5023223944795978e+00
44455,3.1623789108044382e+07,7.5000139051320938e+00
45055,3.1328528604250979e+07,7.4959399980077652e+00
45755,3.1316533295854598e+07,7.4957736801480346e+00
46455,3.0745964687261518e+07,7.4877881240445712e+00
47155,3.0595540754850153e+07,7.4856581334526577e+00
47755,3.0540764111543830e+07,7.4848798986429852e+00
48520,2.8575515487934858e+07,7.4559940735921240e+00
49220,2.8575515487934858e+07,7.4559940735921240e+00
49920,2.7624993434034791e+07,7.4413021834691744e+00
50620,2.7479903439393628e+07,7.4390152023390339e+00
51420,2.7477771417181939e+07,7.4389815063908449e+00
52120,2.7005733413020201e+07,7.4314559762071957e+00
52920,2.7002052993389834e+07,7.4313967852628746e+00
53720,2.7001424243043561e+07,7.4313866724768145e+00
54485,2.7001424243043561e+07,7.4313866724768145e+00
55285,2.7001424243043561e+07,7.4313866724768145e+00
56085,2.7001424243043561e+07,7.4313866724768145e+00
56885,2.7001424243043561e+07,7.4313866724768145e+00
57785,2.7001424243043561e+07,7.4313866724768145e+00
58585,2.7001424243043561e+07,7.4313866724768145e+00
59485,2.7001424243043561e+07,7.4313866724768145e+00
60350,2.7001424243043561e+07,7.4313866724768145e+00
61250,2.7001424243043561e+07,7.4313866724768145e+00
62150,2.7001424243043561e+07,7.4313866724768145e+00
63050,2.7001424243043561e+07,7.4313866724768145e+00
63950,2.7001424243043561e+07,7.4313866724768145e+00
64950,2.7001424243043561e+07,7.4313866724768145e+00
65850,2.7001424243043561e+07,7.4313866724768145e+00
66815,2.7001424243043561e+07,7.4313866724768145e+00
67815,2.7001424243043561e+07,7.4313866724768145e+00
68815,2.7001424243043561e+07,7.4313866724768145e+00
69815,2.7001424243043561e+07,7.4313866724768145e+00
70815,2.7001424243043561e+07,7.4313866724768145e+00
71915,2.7001424243043561e+07,7.4313866724768145e+00
72880,2.7001424243043561e+07,7.4313866724768145e+00
73980,2.7001424243043561e+07,7.4313866724768145e+00
75080,2.7001424243043561e+07,7.4313866724768145e+00
76180,2.7001424243043561e+07,7.4313866724768145e+00
77280,2.6957510578823011e+07,7.4306797843099295e+00
78445,2.6928406247905817e+07,7.4302106505439935e+00
79545,2.6928406247905817e+07,7.4302106505439935e+00
80745,2.6928406247905817e+07,7.4302106505439935e+00
81945,2.6928406247905817e+07,7.4302106505439935e+00
83145,2.6928406247905817e+07,7.4302106505439935e+00
84410,2.1321321420735963e+07,7.3288141172377346e+00
85610,2.1159190391199138e+07,7.3254990463800960e+00
86810,2.1158789834933359e+07,7.3254908248451835e+00
88110,2.0553285013580736e+07,7.3128812446672633e+00
89410,2.0552829272720188e+07,7.3128716146769630e+00
90775,2.0292384629698705e+07,7.3073330855087919e+00
92075,2.0292384629698705e+07,7.3073330855087919e+00
93375,2.0292384629698705e+07,7.3073330855087919e+00
94775,2.0292384629698705e+07,7.3073330855087919e+00
96140,2.0292384629698705e+07,7.3073330855087919e+00
97640,2.0292384629698705e+07,7.3073330855087919e+00
99040,2.0292384629698705e+07,7.3073330855087919e+00
100440,2.0292384629698705e+07,7.3073330855087919e+00
102005,2.0292384629698705e+07,7.3073330855087919e+00
103505,2.0292384629698705e+07,7.3073330855087919e+00
105005,2.0292384629698705e+07,7.3073330855087919e+00
106505,2.0292384629698705e+07,7.3073330855087919e+00
108070,2.0292384629698705e+07,7.3073330855087919e+00
109670,2.0292384629698705e+07,7.3073330855087919e+00
111270,2.0292384629698705e+07,7.3073330855087919e+00
112870,2.0292384629698705e+07,7.3073330855087919e+00
114535,2.0292384629698705e+07,7.3073330855087919e+00
116235,2.0292384629698705e+07,7.3073330855087919e+00
117935,2.0292384629698705e+07,7.3073330855087919e+00
119700,2.0292384629698705e+07,7.3073330855087919e+00
121400,2.0292384629698705e+07,7.3073330855087919e+00
123200,2.0292384629698705e+07,7.3073330855087919e+00
125000,2.0292384629698705e+07,7.3073330855087919e+00
126865,2.0292384629698705e+07,7.3073330855087919e+00
128765,2.0292384629698705e+07,7.3073330855087919e+00
130665,2.0292384629698705e+07,7.3073330855087919e+00
132530,2.0292384629698705e+07,7.3073330855087919e+00
134530,2.0292384629698705e+07,7.3073330855087919e+00
136430,2.0292384629698705e+07,7.3073330855087919e+00
138495,1.9831733593566254e+07,7.2973606797732167e+00
140495,1.9441912333846014e+07,7.2887389805074463e+00
142595,1.9381160950839780e+07,7.2873797881658451e+00
