Run,Seed,E30000,E60000,E90000,E150000,E300000,E600000,E900000,E1200000,E1500000,E1800000,E2100000,E2400000,E2700000,E3000000
1,1026243823,49766721.25220102,32961599.25071172,30265443.77750755,27579759.21705845,16234669.25550294,12192555.83532796,10922737.83783087,10922737.83783087,10922737.83783087,10718965.46341653,10718965.46341653,10718965.46341653,10718965.46341653,10718965.46341653
2,1027243860,42539679.37230283,25169461.1318766,22359831.7325052,18132585.38067742,14432311.55264913,11799242.6190112,11207419.04841583,10826587.42037942,10826587.42037942,10826587.42037942,10826587.42037942,10826587.42037942,10826587.42037942,10826587.42037942
3,1028243897,56286456.66005489,31613347.45739162,24710490.13304249,22101213.08888711,15925452.41738899,12956722.58504649,11530914.85602775,10626087.56937716,10626087.56937716,10626087.56937716,9646484.958829258,9646484.958829258,9646484.958829258,9646484.958829258
4,1029243934,58215578.20903898,30338777.31971383,25065643.62722129,17523342.61795995,14308692.48425934,12332113.02185279,11385971.87791181,11385971.87791181,11385971.87791181,11385971.87791181,11385971.87791181,11385971.87791181,11252458.9402609,10751944.76320976
5,1030243971,59273043.7742625,26171410.35847073,23535607.0768198,17466202.01427697,14800421.28131367,11708361.43202535,11389487.81562722,10841328.19204514,10841328.19204514,10841328.19204514,10841328.19204514,10165419.03733788,10165419.03733788,10165419.03733788
6,1031244008,46788718.87089334,27755795.8337688,24461773.01862516,18387304.22355244,13902516.82012851,12158940.809029,12158940.809029,12158940.809029,11722033.60925962,11569073.51849422,11569073.51849422,11569073.51849422,11291059.93295905,10892997.74071607
7,1032244045,59355531.09355456,34958644.07153936,28867913.65106422,24444253.3115043,14632812.10665813,11211202.90637455,10525534.34392074,10525534.34392074,10525534.34392074,10525534.34392074,10525534.34392074,10525534.34392074,10525534.34392074,10525534.34392074
8,1033244082,56369566.94860616,28767448.64127485,25380870.92812882,18804376.44350867,13957849.74924638,12159763.48562895,11622411.03201941,11498120.65194945,11498120.65194945,11443538.27352919,11372205.69402544,10909735.03370861,10909735.03370861,10909735.03370861
9,1034244119,34186433.01462919,30548599.21723143,24177373.30799777,21104804.67649462,14388535.34136777,11094114.16773041,11094114.16773041,11094114.16773041,11078605.68801119,11078605.68801119,10840174.08367819,10791059.05159774,10791059.05159774,10791059.05159774
10,1035244156,60073443.3389293,36601764.97846691,29805896.95497091,20990456.08714589,16828099.33170557,11390089.542386,10365831.63432287,10365831.63432287,10365831.63432287,10365831.63432287,10365831.63432287,10365831.63432287,10365831.63432287,10365831.63432287
11,1036244193,60243646.12962476,29496424.18527131,22432395.51724436,17577262.91997973,14642581.49120756,11641844.12305263,11641844.12305263,11021153.90003736,11021153.90003736,11021153.90003736,11021153.90003736,11021153.90003736,11021153.90003736,10976308.07882119
