==============================================================================================================
DETAILED PER-RUN LOG   DECC-G   CEC2013LSGO   D1000
runs per function : 25
functions         : [2 3 4 5 6 7 8 9 10 11 12 15]
statistics basis  : raw objective
generated         : 2026-07-27_09.36.20
==============================================================================================================

----- F2  D1000  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      1023243724    1.7616561493032168e-01   nan                      3000000       max_evaluations         601.5477  
2      1024243761    1.3576032711168273e-01   nan                      3000000       max_evaluations         598.0283  
3      1025243798    1.3773247898305874e-01   nan                      3000000       max_evaluations         597.3235  
4      1026243835    1.8353986645502052e-01   nan                      3000000       max_evaluations         597.0863  
5      1027243872    1.4308723012726143e-01   nan                      3000000       max_evaluations         598.5183  
6      1028243909    1.4267184705897873e-01   nan                      3000000       max_evaluations         599.2482  
7      1029243946    1.5460729895988368e-01   nan                      3000000       max_evaluations         597.7701  
8      1030243983    1.3060975432608135e-01   nan                      3000000       max_evaluations         598.3844  
9      1031244020    1.4253262829088120e-01   nan                      3000000       max_evaluations         603.9050  
10     1032244057    1.2543260459930172e-01   nan                      3000000       max_evaluations         603.3662  
11     1033244094    1.5601634639184825e-01   nan                      3000000       max_evaluations         601.4992  
12     1034244131    1.4949869061667598e-01   nan                      3000000       max_evaluations         603.1299  
13     1035244168    1.3851620443533141e-01   nan                      3000000       max_evaluations         600.0763  
14     1036244205    1.2061311066077389e+00   nan                      3000000       max_evaluations         566.6799  
15     1037244242    1.5513860940085755e-01   nan                      3000000       max_evaluations         568.1961  
16     1038244279    1.1681133965841128e+00   nan                      3000000       max_evaluations         568.8627  
17     1039244316    1.1642238601430661e+00   nan                      3000000       max_evaluations         566.0728  
18     1040244353    1.6188511040593978e-01   nan                      3000000       max_evaluations         566.9426  
19     1041244390    1.3553966063452183e-01   nan                      3000000       max_evaluations         567.7650  
20     1042244427    2.0848383699179545e+00   nan                      3000000       max_evaluations         568.2701  
21     1043244464    1.1723193328152792e-01   nan                      3000000       max_evaluations         567.7367  
22     1044244501    1.1689715487880199e+00   nan                      3000000       max_evaluations         566.7703  
23     1045244538    1.4913502060312989e-01   nan                      3000000       max_evaluations         567.7152  
24     1046244575    1.4463035421186632e-01   nan                      3000000       max_evaluations         567.7072  
25     1047244612    1.5290060534938910e-01   nan                      3000000       max_evaluations         566.6246  

----- F3  D1000  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      1024243757    2.0075761322058593e+01   nan                      3000000       max_evaluations         626.5528  
2      1025243794    2.0074900504205395e+01   nan                      3000000       max_evaluations         624.8265  
3      1026243831    2.0075824108508382e+01   nan                      3000000       max_evaluations         624.2336  
4      1027243868    2.0074064811038486e+01   nan                      3000000       max_evaluations         622.7181  
5      1028243905    2.0074756097472285e+01   nan                      3000000       max_evaluations         622.5384  
6      1029243942    2.0072128356209717e+01   nan                      3000000       max_evaluations         624.6862  
7      1030243979    2.0071044078829786e+01   nan                      3000000       max_evaluations         623.5787  
8      1031244016    2.0070152717228424e+01   nan                      3000000       max_evaluations         644.3015  
9      1032244053    2.0073277451168352e+01   nan                      3000000       max_evaluations         624.4698  
10     1033244090    2.0072287229909644e+01   nan                      3000000       max_evaluations         622.5797  
11     1034244127    2.0075395405729481e+01   nan                      3000000       max_evaluations         622.8213  
12     1035244164    2.0073155847657539e+01   nan                      3000000       max_evaluations         624.4005  
13     1036244201    2.0071514195787344e+01   nan                      3000000       max_evaluations         625.9571  
14     1037244238    2.0073104747430317e+01   nan                      3000000       max_evaluations         605.8645  
15     1038244275    2.0072689491806511e+01   nan                      3000000       max_evaluations         607.5984  
16     1039244312    2.0071513370466516e+01   nan                      3000000       max_evaluations         607.2581  
17     1040244349    2.0075072051260232e+01   nan                      3000000       max_evaluations         606.8287  
18     1041244386    2.0073218075130583e+01   nan                      3000000       max_evaluations         605.1882  
19     1042244423    2.0073578727498450e+01   nan                      3000000       max_evaluations         604.5502  
20     1043244460    2.0074955089489006e+01   nan                      3000000       max_evaluations         607.0945  
21     1044244497    2.0076342263763653e+01   nan                      3000000       max_evaluations         606.2071  
22     1045244534    2.0071762785746017e+01   nan                      3000000       max_evaluations         605.6934  
23     1046244571    2.0077147046463676e+01   nan                      3000000       max_evaluations         604.1441  
24     1047244608    2.0076258337105472e+01   nan                      3000000       max_evaluations         606.7733  
25     1048244645    2.0074329412204690e+01   nan                      3000000       max_evaluations         605.5202  

----- F4  D1000  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      1025243790    2.7679956477927490e+11   nan                      3000000       max_evaluations         565.5751  
2      1026243827    4.4994403227475653e+11   nan                      3000000       max_evaluations         562.8447  
3      1027243864    5.0208355506666016e+11   nan                      3000000       max_evaluations         561.9733  
4      1028243901    2.3828098038994690e+11   nan                      3000000       max_evaluations         563.9974  
5      1029243938    2.1763117731869672e+11   nan                      3000000       max_evaluations         563.6748  
6      1030243975    5.5071625196825818e+11   nan                      3000000       max_evaluations         563.5586  
7      1031244012    4.5769821285333582e+11   nan                      3000000       max_evaluations         562.8603  
8      1032244049    2.0350708974023007e+11   nan                      3000000       max_evaluations         565.1201  
9      1033244086    2.1328103758319707e+12   nan                      3000000       max_evaluations         565.0978  
10     1034244123    2.9769273249803088e+11   nan                      3000000       max_evaluations         563.4329  
11     1035244160    3.1590128981470380e+11   nan                      3000000       max_evaluations         565.7164  
12     1036244197    5.9014399128742297e+11   nan                      3000000       max_evaluations         565.1642  
13     1037244234    2.4082922029597690e+11   nan                      3000000       max_evaluations         565.2716  
14     1038244271    4.3973259431358826e+11   nan                      3000000       max_evaluations         541.1966  
15     1039244308    6.9139171211770218e+10   nan                      3000000       max_evaluations         542.5682  
16     1040244345    3.3018968632813721e+11   nan                      3000000       max_evaluations         541.7489  
17     1041244382    1.4664378578850519e+11   nan                      3000000       max_evaluations         541.3195  
18     1042244419    3.8279197957334076e+11   nan                      3000000       max_evaluations         541.8574  
19     1043244456    6.8383828308664331e+11   nan                      3000000       max_evaluations         541.7407  
20     1044244493    8.2287533799971375e+11   nan                      3000000       max_evaluations         541.4684  
21     1045244530    5.7728565294462097e+11   nan                      3000000       max_evaluations         543.3884  
22     1046244567    3.1632859410504797e+11   nan                      3000000       max_evaluations         542.1834  
23     1047244604    2.0527103019629370e+12   nan                      3000000       max_evaluations         542.5911  
24     1048244641    4.9322654092409888e+11   nan                      3000000       max_evaluations         542.7658  
25     1049244678    4.2295600183431207e+11   nan                      3000000       max_evaluations         541.5213  

----- F5  D1000  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      1026243823    1.0718965463416532e+07   nan                      3000000       max_evaluations         757.8805  
2      1027243860    1.0826587420379423e+07   nan                      3000000       max_evaluations         754.4509  
3      1028243897    9.6464849588292576e+06   nan                      3000000       max_evaluations         753.9611  
4      1029243934    1.0751944763209764e+07   nan                      3000000       max_evaluations         754.6249  
5      1030243971    1.0165419037337881e+07   nan                      3000000       max_evaluations         754.5563  
6      1031244008    1.0892997740716066e+07   nan                      3000000       max_evaluations         751.2387  
7      1032244045    1.0525534343920745e+07   nan                      3000000       max_evaluations         754.7801  
8      1033244082    1.0909735033708612e+07   nan                      3000000       max_evaluations         752.8770  
9      1034244119    1.0791059051597742e+07   nan                      3000000       max_evaluations         756.8676  
10     1035244156    1.0365831634322874e+07   nan                      3000000       max_evaluations         758.1652  
11     1036244193    1.0976308078821192e+07   nan                      3000000       max_evaluations         756.7428  
12     1037244230    1.0342739387383282e+07   nan                      3000000       max_evaluations         757.6926  
13     1038244267    1.0352048700427372e+07   nan                      3000000       max_evaluations         754.5551  
14     1039244304    1.0153043299584519e+07   nan                      3000000       max_evaluations         726.8471  
15     1040244341    9.9401329304454420e+06   nan                      3000000       max_evaluations         725.2033  
16     1041244378    1.0709721700762041e+07   nan                      3000000       max_evaluations         726.6112  
17     1042244415    1.0356234908903418e+07   nan                      3000000       max_evaluations         723.4372  
18     1043244452    1.0501359859227074e+07   nan                      3000000       max_evaluations         725.1432  
19     1044244489    1.0209123075378614e+07   nan                      3000000       max_evaluations         726.9179  
20     1045244526    1.0472888667887313e+07   nan                      3000000       max_evaluations         728.1738  
21     1046244563    1.0798035675664566e+07   nan                      3000000       max_evaluations         726.5187  
22     1047244600    1.0370929779601490e+07   nan                      3000000       max_evaluations         727.5872  
23     1048244637    1.0186654333779903e+07   nan                      3000000       max_evaluations         726.3175  
24     1049244674    1.0291392631100906e+07   nan                      3000000       max_evaluations         727.7104  
25     1050244711    1.0918492671094181e+07   nan                      3000000       max_evaluations         725.4755  

----- F6  D1000  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      1027243856    1.0602237650950113e+06   nan                      3000000       max_evaluations         766.4911  
2      1028243893    1.0581801803478366e+06   nan                      3000000       max_evaluations         765.4837  
3      1029243930    1.0614991807156655e+06   nan                      3000000       max_evaluations         764.4654  
4      1030243967    1.0615088122135610e+06   nan                      3000000       max_evaluations         767.7750  
5      1031244004    1.0619410374456495e+06   nan                      3000000       max_evaluations         763.0010  
