Function,Best,Median,Mean,Worst,SD
1,1.5422628287E-02,1.8917164629E-02,1.8626743594E-02,2.0337637514E-02,1.3383714017E-03
2,1.1723193328E-01,1.4949869062E-01,3.8899641873E-01,2.0848383699E+00,5.2199600249E-01
3,2.0070152717E+01,2.0073578727E+01,2.0073769341E+01,2.0077147046E+01,1.8594297415E-03
4,6.9139171212E+10,4.2295600183E+11,5.2847025617E+11,2.1328103758E+12,5.0166805583E+11
5,9.6464849588E+06,1.0472888668E+07,1.0486946606E+07,1.0976308079E+07,3.3909151614E+05
6,1.0581801803E+06,1.0614991807E+06,1.0609549343E+06,1.0632892962E+06,1.2946497005E+03
7,1.1998955207E+10,1.8835586287E+10,1.9120060268E+10,2.4859517577E+10,3.2326485853E+09
8,5.5753390614E+15,3.7880357126E+16,6.8820883801E+16,3.7078448127E+17,8.3032927900E+16
9,7.2628276016E+08,7.6194984464E+08,7.6841040327E+08,8.1318624408E+08,2.5576253506E+07
10,9.3697823748E+07,9.4345781272E+07,9.4315183605E+07,9.4800278702E+07,2.7286515127E+05
11,6.8050717836E+12,1.4178904645E+13,1.4318915618E+13,2.5220080751E+13,4.8809980616E+12
12,2.0942008130E+03,2.3529986694E+03,2.3691043041E+03,2.9124934061E+03,1.9447594742E+02
15,5.8118151301E+08,8.0937581229E+08,8.3067084524E+08,1.0883600652E+09,1.3952863761E+08
