optimizer,suite,function,dimension,run,seed,best_fitness,error,nfes,termination,runtime_seconds
decc-g,cec2013lsgo,1,1000,1,1022243691,2.0337637514e-02,NaN,3000000,max_evaluations,387.022748
decc-g,cec2013lsgo,1,1000,2,1023243728,1.7839813188e-02,NaN,3000000,max_evaluations,386.764640
decc-g,cec2013lsgo,1,1000,3,1024243765,1.9440907486e-02,NaN,3000000,max_evaluations,371.569416
decc-g,cec2013lsgo,1,1000,4,1025243802,1.8011985866e-02,NaN,3000000,max_evaluations,388.199263
decc-g,cec2013lsgo,1,1000,5,1026243839,1.9515422763e-02,NaN,3000000,max_evaluations,370.869683
decc-g,cec2013lsgo,1,1000,6,1027243876,1.9238173678e-02,NaN,3000000,max_evaluations,371.173467
decc-g,cec2013lsgo,1,1000,7,1028243913,1.5422628287e-02,NaN,3000000,max_evaluations,369.249665
decc-g,cec2013lsgo,1,1000,8,1029243950,1.9219162275e-02,NaN,3000000,max_evaluations,386.326458
decc-g,cec2013lsgo,1,1000,9,1030243987,1.9298461260e-02,NaN,3000000,max_evaluations,388.474318
decc-g,cec2013lsgo,1,1000,10,1031244024,1.5456609431e-02,NaN,3000000,max_evaluations,388.908211
decc-g,cec2013lsgo,1,1000,11,1032244061,1.9727647085e-02,NaN,3000000,max_evaluations,386.496144
decc-g,cec2013lsgo,1,1000,12,1033244098,1.8917164629e-02,NaN,3000000,max_evaluations,370.358866
decc-g,cec2013lsgo,1,1000,13,1034244135,1.8778517845e-02,NaN,3000000,max_evaluations,370.880634
decc-g,cec2013lsgo,1,1000,14,1035244172,1.7120622832e-02,NaN,3000000,max_evaluations,364.640047
decc-g,cec2013lsgo,1,1000,15,1036244209,1.9441191066e-02,NaN,3000000,max_evaluations,365.357961
decc-g,cec2013lsgo,1,1000,16,1037244246,1.8737632883e-02,NaN,3000000,max_evaluations,367.569997
decc-g,cec2013lsgo,1,1000,17,1038244283,2.0089910907e-02,NaN,3000000,max_evaluations,365.037835
decc-g,cec2013lsgo,1,1000,18,1039244320,1.8701337812e-02,NaN,3000000,max_evaluations,364.656137
decc-g,cec2013lsgo,1,1000,19,1040244357,1.8625300543e-02,NaN,3000000,max_evaluations,365.225196
decc-g,cec2013lsgo,1,1000,20,1041244394,1.9241946544e-02,NaN,3000000,max_evaluations,370.178443
decc-g,cec2013lsgo,1,1000,21,1042244431,1.7954919226e-02,NaN,3000000,max_evaluations,370.355877
decc-g,cec2013lsgo,1,1000,22,1043244468,2.0245446965e-02,NaN,3000000,max_evaluations,370.767123
decc-g,cec2013lsgo,1,1000,23,1044244505,1.9296290743e-02,NaN,3000000,max_evaluations,371.179372
decc-g,cec2013lsgo,1,1000,24,1045244542,1.6221268156e-02,NaN,3000000,max_evaluations,372.505465
decc-g,cec2013lsgo,1,1000,25,1046244579,1.8788590867e-02,NaN,3000000,max_evaluations,370.890980
decc-g,cec2013lsgo,2,1000,1,1023243724,1.7616561493e-01,NaN,3000000,max_evaluations,601.547711
decc-g,cec2013lsgo,2,1000,2,1024243761,1.3576032711e-01,NaN,3000000,max_evaluations,598.028284
decc-g,cec2013lsgo,2,1000,3,1025243798,1.3773247898e-01,NaN,3000000,max_evaluations,597.323497
decc-g,cec2013lsgo,2,1000,4,1026243835,1.8353986646e-01,NaN,3000000,max_evaluations,597.086291
decc-g,cec2013lsgo,2,1000,5,1027243872,1.4308723013e-01,NaN,3000000,max_evaluations,598.518338
decc-g,cec2013lsgo,2,1000,6,1028243909,1.4267184706e-01,NaN,3000000,max_evaluations,599.248218
decc-g,cec2013lsgo,2,1000,7,1029243946,1.5460729896e-01,NaN,3000000,max_evaluations,597.770143
decc-g,cec2013lsgo,2,1000,8,1030243983,1.3060975433e-01,NaN,3000000,max_evaluations,598.384386
decc-g,cec2013lsgo,2,1000,9,1031244020,1.4253262829e-01,NaN,3000000,max_evaluations,603.904989
decc-g,cec2013lsgo,2,1000,10,1032244057,1.2543260460e-01,NaN,3000000,max_evaluations,603.366238
decc-g,cec2013lsgo,2,1000,11,1033244094,1.5601634639e-01,NaN,3000000,max_evaluations,601.499164
decc-g,cec2013lsgo,2,1000,12,1034244131,1.4949869062e-01,NaN,3000000,max_evaluations,603.129948
decc-g,cec2013lsgo,2,1000,13,1035244168,1.3851620444e-01,NaN,3000000,max_evaluations,600.076318
decc-g,cec2013lsgo,2,1000,14,1036244205,1.2061311066e+00,NaN,3000000,max_evaluations,566.679862
decc-g,cec2013lsgo,2,1000,15,1037244242,1.5513860940e-01,NaN,3000000,max_evaluations,568.196095
decc-g,cec2013lsgo,2,1000,16,1038244279,1.1681133966e+00,NaN,3000000,max_evaluations,568.862737
decc-g,cec2013lsgo,2,1000,17,1039244316,1.1642238601e+00,NaN,3000000,max_evaluations,566.072752
decc-g,cec2013lsgo,2,1000,18,1040244353,1.6188511041e-01,NaN,3000000,max_evaluations,566.942587
decc-g,cec2013lsgo,2,1000,19,1041244390,1.3553966063e-01,NaN,3000000,max_evaluations,567.764996
decc-g,cec2013lsgo,2,1000,20,1042244427,2.0848383699e+00,NaN,3000000,max_evaluations,568.270102
decc-g,cec2013lsgo,2,1000,21,1043244464,1.1723193328e-01,NaN,3000000,max_evaluations,567.736726
decc-g,cec2013lsgo,2,1000,22,1044244501,1.1689715488e+00,NaN,3000000,max_evaluations,566.770250
decc-g,cec2013lsgo,2,1000,23,1045244538,1.4913502060e-01,NaN,3000000,max_evaluations,567.715228
decc-g,cec2013lsgo,2,1000,24,1046244575,1.4463035421e-01,NaN,3000000,max_evaluations,567.707236
decc-g,cec2013lsgo,2,1000,25,1047244612,1.5290060535e-01,NaN,3000000,max_evaluations,566.624639
decc-g,cec2013lsgo,3,1000,1,1024243757,2.0075761322e+01,NaN,3000000,max_evaluations,626.552751
decc-g,cec2013lsgo,3,1000,2,1025243794,2.0074900504e+01,NaN,3000000,max_evaluations,624.826487
decc-g,cec2013lsgo,3,1000,3,1026243831,2.0075824109e+01,NaN,3000000,max_evaluations,624.233582
