Dim,Function,Run,Seed
1000,1,1,1022243691
1000,1,2,1023243728
1000,1,3,1024243765
1000,1,4,1025243802
1000,1,5,1026243839
1000,1,6,1027243876
1000,1,7,1028243913
1000,1,8,1029243950
1000,1,9,1030243987
1000,1,10,1031244024
1000,1,11,1032244061
1000,1,12,1033244098
1000,1,13,1034244135
1000,1,14,1035244172
1000,1,15,1036244209
1000,1,16,1037244246
1000,1,17,1038244283
1000,1,18,1039244320
1000,1,19,1040244357
1000,1,20,1041244394
1000,1,21,1042244431
1000,1,22,1043244468
1000,1,23,1044244505
1000,1,24,1045244542
1000,1,25,1046244579
1000,2,1,1023243724
1000,2,2,1024243761
1000,2,3,1025243798
1000,2,4,1026243835
1000,2,5,1027243872
1000,2,6,1028243909
1000,2,7,1029243946
1000,2,8,1030243983
1000,2,9,1031244020
1000,2,10,1032244057
1000,2,11,1033244094
1000,2,12,1034244131
1000,2,13,1035244168
1000,2,14,1036244205
1000,2,15,1037244242
1000,2,16,1038244279
1000,2,17,1039244316
1000,2,18,1040244353
1000,2,19,1041244390
1000,2,20,1042244427
1000,2,21,1043244464
1000,2,22,1044244501
1000,2,23,1045244538
1000,2,24,1046244575
1000,2,25,1047244612
1000,3,1,1024243757
1000,3,2,1025243794
1000,3,3,1026243831
1000,3,4,1027243868
1000,3,5,1028243905
1000,3,6,1029243942
1000,3,7,1030243979
1000,3,8,1031244016
1000,3,9,1032244053
1000,3,10,1033244090
1000,3,11,1034244127
1000,3,12,1035244164
1000,3,13,1036244201
1000,3,14,1037244238
1000,3,15,1038244275
1000,3,16,1039244312
1000,3,17,1040244349
1000,3,18,1041244386
1000,3,19,1042244423
1000,3,20,1043244460
1000,3,21,1044244497
1000,3,22,1045244534
1000,3,23,1046244571
1000,3,24,1047244608
1000,3,25,1048244645
1000,4,1,1025243790
1000,4,2,1026243827
1000,4,3,1027243864
1000,4,4,1028243901
1000,4,5,1029243938
1000,4,6,1030243975
1000,4,7,1031244012
1000,4,8,1032244049
1000,4,9,1033244086
1000,4,10,1034244123
1000,4,11,1035244160
1000,4,12,1036244197
1000,4,13,1037244234
1000,4,14,1038244271
1000,4,15,1039244308
1000,4,16,1040244345
1000,4,17,1041244382
1000,4,18,1042244419
1000,4,19,1043244456
1000,4,20,1044244493
1000,4,21,1045244530
1000,4,22,1046244567
1000,4,23,1047244604
1000,4,24,1048244641
1000,4,25,1049244678
1000,5,1,1026243823
1000,5,2,1027243860
1000,5,3,1028243897
1000,5,4,1029243934
1000,5,5,1030243971
1000,5,6,1031244008
1000,5,7,1032244045
1000,5,8,1033244082
1000,5,9,1034244119
1000,5,10,1035244156
1000,5,11,1036244193
1000,5,12,1037244230
1000,5,13,1038244267
1000,5,14,1039244304
1000,5,15,1040244341
1000,5,16,1041244378
1000,5,17,1042244415
1000,5,18,1043244452
1000,5,19,1044244489
1000,5,20,1045244526
1000,5,21,1046244563
1000,5,22,1047244600
1000,5,23,1048244637
1000,5,24,1049244674
1000,5,25,1050244711
1000,6,1,1027243856
1000,6,2,1028243893
1000,6,3,1029243930
1000,6,4,1030243967
1000,6,5,1031244004
1000,6,6,1032244041
1000,6,7,1033244078
1000,6,8,1034244115
1000,6,9,1035244152
1000,6,10,1036244189
1000,6,11,1037244226
1000,6,12,1038244263
1000,6,13,1039244300
1000,6,14,1040244337
1000,6,15,1041244374
1000,6,16,1042244411
1000,6,17,1043244448
1000,6,18,1044244485
1000,6,19,1045244522
1000,6,20,1046244559
1000,6,21,1047244596
1000,6,22,1048244633
1000,6,23,1049244670
1000,6,24,1050244707
1000,6,25,1051244744
1000,7,1,1028243889
1000,7,2,1029243926
1000,7,3,1030243963
1000,7,4,1031244000
1000,7,5,1032244037
1000,7,6,1033244074
1000,7,7,1034244111
1000,7,8,1035244148
1000,7,9,1036244185
1000,7,10,1037244222
1000,7,11,1038244259
1000,7,12,1039244296
1000,7,13,1040244333
1000,7,14,1041244370
1000,7,15,1042244407
1000,7,16,1043244444
1000,7,17,1044244481
1000,7,18,1045244518
1000,7,19,1046244555
1000,7,20,1047244592
1000,7,21,1048244629
1000,7,22,1049244666
1000,7,23,1050244703
1000,7,24,1051244740
1000,7,25,1052244777
1000,8,1,1029243922
1000,8,2,1030243959
1000,8,3,1031243996
1000,8,4,1032244033
1000,8,5,1033244070
1000,8,6,1034244107
1000,8,7,1035244144
1000,8,8,1036244181
1000,8,9,1037244218
1000,8,10,1038244255
1000,8,11,1039244292
1000,8,12,1040244329
1000,8,13,1041244366
1000,8,14,1042244403
1000,8,15,1043244440
1000,8,16,1044244477
1000,8,17,1045244514
1000,8,18,1046244551
1000,8,19,1047244588
1000,8,20,1048244625
1000,8,21,1049244662
1000,8,22,1050244699
1000,8,23,1051244736
1000,8,24,1052244773
1000,8,25,1053244810
1000,9,1,1030243955
1000,9,2,1031243992
1000,9,3,1032244029
1000,9,4,1033244066
1000,9,5,1034244103
1000,9,6,1035244140
1000,9,7,1036244177
1000,9,8,1037244214
1000,9,9,1038244251
1000,9,10,1039244288
1000,9,11,1040244325
1000,9,12,1041244362
1000,9,13,1042244399
1000,9,14,1043244436
1000,9,15,1044244473
1000,9,16,1045244510
1000,9,17,1046244547
1000,9,18,1047244584
1000,9,19,1048244621
1000,9,20,1049244658
1000,9,21,1050244695
1000,9,22,1051244732
1000,9,23,1052244769
1000,9,24,1053244806
1000,9,25,1054244843
1000,10,1,1031243988
1000,10,2,1032244025
1000,10,3,1033244062
1000,10,4,1034244099
1000,10,5,1035244136
1000,10,6,1036244173
1000,10,7,1037244210
1000,10,8,1038244247
1000,10,9,1039244284
1000,10,10,1040244321
1000,10,11,1041244358
1000,10,12,1042244395
1000,10,13,1043244432
1000,10,14,1044244469
1000,10,15,1045244506
1000,10,16,1046244543
1000,10,17,1047244580
1000,10,18,1048244617
1000,10,19,1049244654
1000,10,20,1050244691
1000,10,21,1051244728
1000,10,22,1052244765
1000,10,23,1053244802
1000,10,24,1054244839
1000,10,25,1055244876
1000,11,1,1032244021
1000,11,2,1033244058
1000,11,3,1034244095
1000,11,4,1035244132
1000,11,5,1036244169
1000,11,6,1037244206
1000,11,7,1038244243
1000,11,8,1039244280
1000,11,9,1040244317
1000,11,10,1041244354
1000,11,11,1042244391
1000,11,12,1043244428
1000,11,13,1044244465
1000,11,14,1045244502
1000,11,15,1046244539
1000,11,16,1047244576
1000,11,17,1048244613
1000,11,18,1049244650
1000,11,19,1050244687
1000,11,20,1051244724
1000,11,21,1052244761
1000,11,22,1053244798
1000,11,23,1054244835
1000,11,24,1055244872
1000,11,25,1056244909
1000,12,1,1033244054
1000,12,2,1034244091
1000,12,3,1035244128
1000,12,4,1036244165
1000,12,5,1037244202
1000,12,6,1038244239
1000,12,7,1039244276
1000,12,8,1040244313
1000,12,9,1041244350
1000,12,10,1042244387
1000,12,11,1043244424
1000,12,12,1044244461
1000,12,13,1045244498
1000,12,14,1046244535
1000,12,15,1047244572
1000,12,16,1048244609
1000,12,17,1049244646
1000,12,18,1050244683
1000,12,19,1051244720
1000,12,20,1052244757
1000,12,21,1053244794
1000,12,22,1054244831
1000,12,23,1055244868
1000,12,24,1056244905
1000,12,25,1057244942
905,13,1,939243802
905,13,2,940243839
905,13,3,941243876
905,13,4,942243913
905,13,5,943243950
905,13,6,944243987
905,13,7,945244024
905,13,8,946244061
905,13,9,947244098
905,13,10,948244135
905,13,11,949244172
905,13,12,950244209
905,13,13,951244246
905,13,14,952244283
905,13,15,953244320
905,13,16,954244357
905,13,17,955244394
905,13,18,956244431
905,13,19,957244468
905,13,20,958244505
905,13,21,959244542
905,13,22,960244579
905,13,23,961244616
905,13,24,962244653
905,13,25,963244690
905,14,1,940243835
905,14,2,941243872
905,14,3,942243909
905,14,4,943243946
905,14,5,944243983
905,14,6,945244020
905,14,7,946244057
905,14,8,947244094
905,14,9,948244131
905,14,10,949244168
905,14,11,950244205
905,14,12,951244242
905,14,13,952244279
905,14,14,953244316
905,14,15,954244353
905,14,16,955244390
905,14,17,956244427
905,14,18,957244464
905,14,19,958244501
905,14,20,959244538
905,14,21,960244575
905,14,22,961244612
905,14,23,962244649
905,14,24,963244686
905,14,25,964244723
1000,15,1,1036244153
1000,15,2,1037244190
1000,15,3,1038244227
1000,15,4,1039244264
1000,15,5,1040244301
1000,15,6,1041244338
1000,15,7,1042244375
1000,15,8,1043244412
1000,15,9,1044244449
1000,15,10,1045244486
1000,15,11,1046244523
1000,15,12,1047244560
1000,15,13,1048244597
1000,15,14,1049244634
1000,15,15,1050244671
1000,15,16,1051244708
1000,15,17,1052244745
1000,15,18,1053244782
1000,15,19,1054244819
1000,15,20,1055244856
1000,15,21,1056244893
1000,15,22,1057244930
1000,15,23,1058244967
1000,15,24,1059245004
1000,15,25,1060245041
