Eval,BestError,Log10Error
9992,1.0666919751929194e+06,6.0280390278717162e+00
14975,1.0666919751929194e+06,6.0280390278717162e+00
19950,1.0666919751929194e+06,6.0280390278717162e+00
24916,1.0666919751929194e+06,6.0280390278717162e+00
29874,1.0633664419248549e+06,6.0266829505833659e+00
34823,1.0633664419248549e+06,6.0266829505833659e+00
39763,1.0633664419248549e+06,6.0266829505833659e+00
44694,1.0633664419248549e+06,6.0266829505833659e+00
49616,1.0633664419248549e+06,6.0266829505833659e+00
54529,1.0633664418146266e+06,6.0266829505383477e+00
59433,1.0633664418146266e+06,6.0266829505383477e+00
64328,1.0633664418146266e+06,6.0266829505383477e+00
69214,1.0633664418146266e+06,6.0266829505383477e+00
74090,1.0597405503915185e+06,6.0251995526937936e+00
78957,1.0597405503915185e+06,6.0251995526937936e+00
83815,1.0597405503915185e+06,6.0251995526937936e+00
88663,1.0597405503915185e+06,6.0251995526937936e+00
93502,1.0597405503915185e+06,6.0251995526937936e+00
98331,1.0597405503915185e+06,6.0251995526937936e+00
103151,1.0597405503915185e+06,6.0251995526937936e+00
107961,1.0597405503915185e+06,6.0251995526937936e+00
112762,1.0597405503915185e+06,6.0251995526937936e+00
117553,1.0597405503915185e+06,6.0251995526937936e+00
122335,1.0597405503915185e+06,6.0251995526937936e+00
127107,1.0597405503915185e+06,6.0251995526937936e+00
131869,1.0597405503915185e+06,6.0251995526937936e+00
136621,1.0597405503915185e+06,6.0251995526937936e+00
141364,1.0597405503915185e+06,6.0251995526937936e+00
146097,1.0597405503915185e+06,6.0251995526937936e+00
150820,1.0597405503915185e+06,6.0251995526937936e+00
155533,1.0597405503915185e+06,6.0251995526937936e+00
160236,1.0597405503915185e+06,6.0251995526937936e+00
164929,1.0597405503915185e+06,6.0251995526937936e+00
169612,1.0597405503915185e+06,6.0251995526937936e+00
174285,1.0597405503915185e+06,6.0251995526937936e+00
178948,1.0597405503915185e+06,6.0251995526937936e+00
183601,1.0597405503915185e+06,6.0251995526937936e+00
188244,1.0597405503915185e+06,6.0251995526937936e+00
192877,1.0597405503915185e+06,6.0251995526937936e+00
197500,1.0597405503915185e+06,6.0251995526937936e+00
202113,1.0597405503915185e+06,6.0251995526937936e+00
206716,1.0597405503915185e+06,6.0251995526937936e+00
211309,1.0597405503915185e+06,6.0251995526937936e+00
215892,1.0597405503915185e+06,6.0251995526937936e+00
220465,1.0597405503915185e+06,6.0251995526937936e+00
225028,1.0597405503915185e+06,6.0251995526937936e+00
229581,1.0597405503915185e+06,6.0251995526937936e+00
234124,1.0597405503915185e+06,6.0251995526937936e+00
238656,1.0597405503915185e+06,6.0251995526937936e+00
243178,1.0597405503915185e+06,6.0251995526937936e+00
247690,1.0597405503915185e+06,6.0251995526937936e+00
252192,1.0597405503915185e+06,6.0251995526937936e+00
256684,1.0597405503915185e+06,6.0251995526937936e+00
261166,1.0597405503915185e+06,6.0251995526937936e+00
265637,1.0597405503915185e+06,6.0251995526937936e+00
270098,1.0597405503915185e+06,6.0251995526937936e+00
274549,1.0597405503915185e+06,6.0251995526937936e+00
278990,1.0597405503915185e+06,6.0251995526937936e+00
283421,1.0597405503915185e+06,6.0251995526937936e+00
287841,1.0597405503915185e+06,6.0251995526937936e+00
292251,1.0597405503915185e+06,6.0251995526937936e+00
296651,1.0597405503915185e+06,6.0251995526937936e+00
301041,1.0597405503915185e+06,6.0251995526937936e+00
305420,1.0597405503915185e+06,6.0251995526937936e+00
309789,1.0597405503915185e+06,6.0251995526937936e+00
314148,1.0597405503915185e+06,6.0251995526937936e+00
318497,1.0595246797805508e+06,6.0251110772975682e+00
322836,1.0595246797805508e+06,6.0251110772975682e+00
327164,1.0595246797805508e+06,6.0251110772975682e+00
331482,1.0595246797805508e+06,6.0251110772975682e+00
335790,1.0595246797805508e+06,6.0251110772975682e+00
340088,1.0595246797805508e+06,6.0251110772975682e+00
344376,1.0595246797805508e+06,6.0251110772975682e+00
348653,1.0595246797805508e+06,6.0251110772975682e+00
352920,1.0595246797805508e+06,6.0251110772975682e+00
357177,1.0595246797805508e+06,6.0251110772975682e+00
361424,1.0595246797805508e+06,6.0251110772975682e+00
365661,1.0595246797805508e+06,6.0251110772975682e+00
369888,1.0595246797805508e+06,6.0251110772975682e+00
374104,1.0595246797805508e+06,6.0251110772975682e+00
378310,1.0595246797805508e+06,6.0251110772975682e+00
382506,1.0595246797805508e+06,6.0251110772975682e+00
386692,1.0595246797805508e+06,6.0251110772975682e+00
390868,1.0595246797805508e+06,6.0251110772975682e+00
395034,1.0595246797805508e+06,6.0251110772975682e+00
399190,1.0595246797805508e+06,6.0251110772975682e+00
403336,1.0595246797805508e+06,6.0251110772975682e+00
407471,1.0595246797805508e+06,6.0251110772975682e+00
411596,1.0595246797805508e+06,6.0251110772975682e+00
415711,1.0595246797805508e+06,6.0251110772975682e+00
419816,1.0595246797805508e+06,6.0251110772975682e+00
423911,1.0595246797805508e+06,6.0251110772975682e+00
427996,1.0595246797805508e+06,6.0251110772975682e+00
432071,1.0595246797805508e+06,6.0251110772975682e+00
436136,1.0595246797805508e+06,6.0251110772975682e+00
440191,1.0595246797805508e+06,6.0251110772975682e+00
444236,1.0595246797805508e+06,6.0251110772975682e+00
448271,1.0595246797805508e+06,6.0251110772975682e+00
452296,1.0595246797805508e+06,6.0251110772975682e+00
456311,1.0595246797805508e+06,6.0251110772975682e+00
460316,1.0595246797805508e+06,6.0251110772975682e+00
464312,1.0595246797805508e+06,6.0251110772975682e+00
468298,1.0595246797805508e+06,6.0251110772975682e+00
472274,1.0595246797805508e+06,6.0251110772975682e+00
476240,1.0595246797805508e+06,6.0251110772975682e+00
480196,1.0595246797805508e+06,6.0251110772975682e+00
484142,1.0595246797805508e+06,6.0251110772975682e+00
488078,1.0595246797805508e+06,6.0251110772975682e+00
492005,1.0595246797805508e+06,6.0251110772975682e+00
495922,1.0595246797805508e+06,6.0251110772975682e+00
499829,1.0595246797805508e+06,6.0251110772975682e+00
503726,1.0595246797805508e+06,6.0251110772975682e+00
507614,1.0595246797805508e+06,6.0251110772975682e+00
511492,1.0595246797805508e+06,6.0251110772975682e+00
515360,1.0595246797805508e+06,6.0251110772975682e+00
519218,1.0595246797805508e+06,6.0251110772975682e+00
523067,1.0595246797805508e+06,6.0251110772975682e+00
526906,1.0595246797805508e+06,6.0251110772975682e+00
530736,1.0595246797805508e+06,6.0251110772975682e+00
534556,1.0595246797805508e+06,6.0251110772975682e+00
538366,1.0595246797805508e+06,6.0251110772975682e+00
542167,1.0595246797805508e+06,6.0251110772975682e+00
545958,1.0595246797805508e+06,6.0251110772975682e+00
549740,1.0595246789147183e+06,6.0251110769426672e+00
553512,1.0595246789147183e+06,6.0251110769426672e+00
557275,1.0595246789147183e+06,6.0251110769426672e+00
561028,1.0595246789147183e+06,6.0251110769426672e+00
564772,1.0595246789147183e+06,6.0251110769426672e+00
568506,1.0595246789147183e+06,6.0251110769426672e+00
572231,1.0595246789147183e+06,6.0251110769426672e+00
575946,1.0595246789147183e+06,6.0251110769426672e+00
579652,1.0595246789147183e+06,6.0251110769426672e+00
583349,1.0595246789147183e+06,6.0251110769426672e+00
587036,1.0595246789147183e+06,6.0251110769426672e+00
590714,1.0595246789147183e+06,6.0251110769426672e+00
594383,1.0595246789147183e+06,6.0251110769426672e+00
598042,1.0595246789147183e+06,6.0251110769426672e+00
601692,1.0595246789147183e+06,6.0251110769426672e+00
605333,1.0595246789147183e+06,6.0251110769426672e+00
608965,1.0595246789147183e+06,6.0251110769426672e+00
612587,1.0595246789147183e+06,6.0251110769426672e+00
616200,1.0595246789147183e+06,6.0251110769426672e+00
619804,1.0595246789147183e+06,6.0251110769426672e+00
623399,1.0595246789147183e+06,6.0251110769426672e+00
626985,1.0595246789147183e+06,6.0251110769426672e+00
630562,1.0595246789147183e+06,6.0251110769426672e+00
634130,1.0595246789147183e+06,6.0251110769426672e+00
637689,1.0595246789147183e+06,6.0251110769426672e+00
641238,1.0595246789147183e+06,6.0251110769426672e+00
644778,1.0595246789147183e+06,6.0251110769426672e+00
648309,1.0595246789147183e+06,6.0251110769426672e+00
651832,1.0595246789147183e+06,6.0251110769426672e+00
655346,1.0595246789147183e+06,6.0251110769426672e+00
658851,1.0595246789147183e+06,6.0251110769426672e+00
662347,1.0595246789147183e+06,6.0251110769426672e+00
665834,1.0595246789147183e+06,6.0251110769426672e+00
669312,1.0595246789147183e+06,6.0251110769426672e+00
672781,1.0595246789147183e+06,6.0251110769426672e+00
676241,1.0595246789147183e+06,6.0251110769426672e+00
679693,1.0595246789147183e+06,6.0251110769426672e+00
683136,1.0595246789147183e+06,6.0251110769426672e+00
686570,1.0595246789147183e+06,6.0251110769426672e+00
689995,1.0595246789147183e+06,6.0251110769426672e+00
693412,1.0595246789147183e+06,6.0251110769426672e+00
696820,1.0595246789147183e+06,6.0251110769426672e+00
700219,1.0595246789147183e+06,6.0251110769426672e+00
703610,1.0595246789147183e+06,6.0251110769426672e+00
706992,1.0595246789147183e+06,6.0251110769426672e+00
710365,1.0595246789147183e+06,6.0251110769426672e+00
713730,1.0595246789147183e+06,6.0251110769426672e+00
717086,1.0595246789147183e+06,6.0251110769426672e+00
720434,1.0595246789147183e+06,6.0251110769426672e+00
723773,1.0595246789147183e+06,6.0251110769426672e+00
727104,1.0595246789147183e+06,6.0251110769426672e+00
730426,1.0595246789147183e+06,6.0251110769426672e+00
733740,1.0595246789147183e+06,6.0251110769426672e+00
737045,1.0595246789147183e+06,6.0251110769426672e+00
740342,1.0595246789147183e+06,6.0251110769426672e+00
743631,1.0595246789147183e+06,6.0251110769426672e+00
746911,1.0595246765074434e+06,6.0251110759559356e+00
750183,1.0595246765074434e+06,6.0251110759559356e+00
753447,1.0595246765074434e+06,6.0251110759559356e+00
756702,1.0595246765074434e+06,6.0251110759559356e+00
759949,1.0595246765074434e+06,6.0251110759559356e+00
763188,1.0595246765074434e+06,6.0251110759559356e+00
766419,1.0595246765074434e+06,6.0251110759559356e+00
769641,1.0595246765074434e+06,6.0251110759559356e+00
772855,1.0595246765074434e+06,6.0251110759559356e+00
776061,1.0595246765074434e+06,6.0251110759559356e+00
779259,1.0595246765074434e+06,6.0251110759559356e+00
782449,1.0595246765074434e+06,6.0251110759559356e+00
785631,1.0595246765074434e+06,6.0251110759559356e+00
788805,1.0595246765074434e+06,6.0251110759559356e+00
791971,1.0595246765074434e+06,6.0251110759559356e+00
795129,1.0595246765074434e+06,6.0251110759559356e+00
