Run,Seed,E30000,E60000,E90000,E150000,E300000,E600000,E900000,E1200000,E1500000,E1800000,E2100000,E2400000,E2700000,E3000000
1,1032244021,2.361202963205728e+16,9227124179182570,9227124179182570,2554193053758721,582430814684996,40177002110711.59,5573358515177.765,534717964714.6625,136842797496.5332,41110501886.15739,15142087314.07606,2766869904.777476,690404799.6425111,442459472.3238737
2,1033244058,2.773575900896981e+16,1.618902368454442e+16,8029891422738862,2093091777654096,1106217737298313,23899544857555.02,5505671968327.264,569013899038.2965,128426198404.3027,38585110502.00877,9030623419.430817,2606550009.852424,667899935.4097252,417924163.7020502
3,1034244095,3.92400757074513e+16,1.350509172054883e+16,5929156305701658,2677738819088990,529273406445642.8,31197007342101.25,4638636656824.157,617107112639.3705,144906498303.1486,42259525833.44494,11548966967.25523,3172743136.570626,714566302.1740632,436406081.1253449
4,1035244132,3.236795786756452e+16,1.879036647265412e+16,5449507625287957,3166165993575104,693166420361029.8,30878443799337.25,5270966707910.485,521893723860.3488,113506084768.7933,29997711083.90149,9482562482.377722,2947470378.170716,483310885.8574652,314229311.174755
5,1036244169,1.954147918102351e+16,7582083313325355,5670062280447734,3009166536481990,639151188928740.2,33351410818868.24,5058250104668.614,506484069375.5654,173315518681.2853,47600402887.78387,11143476162.51185,2352980113.671084,658499080.4241196,509063957.0594857
6,1037244206,1.3623037119992e+16,1.213932715262158e+16,9227785383435690,2181536449406410,722400565083312.5,34822859561267.69,5282623080780.535,821636460380.2946,137176188676.8016,43123987508.02775,12946175904.41515,3528862378.663533,948035977.260428,617977325.95112
7,1038244243,3.137749838670256e+16,1.102426750329462e+16,6021814878745803,2293674097571110,576554108416391.1,29783923856651.38,5301173963418.49,754281651535.4554,140805544092.3821,35809317488.13277,9122238481.518585,2557933565.365579,607619605.9625092,376158587.5462511
8,1039244280,3.588636523122677e+16,1.089216364953541e+16,9637678036557658,3154064200769026,772876468940628.1,36226379565996.98,5912013305514.789,719467611522.3191,155669471091.867,39817338419.21046,8066896633.708557,1817810279.103492,492595342.0328365,340135821.567864
9,1040244317,3.38855683515402e+16,1.109601542450002e+16,6295167647965526,2702437987485268,596000116401947,32464324269043.67,3763355049578.081,702246982896.3014,187915688783.6211,48146699970.54464,9394667151.254873,1998804114.397978,574251609.7151349,414588308.2370765
10,1041244354,1.456592596917881e+16,8993198876259577,4445926758869610,2574249917748360,591919130212439.6,34361914094235.98,3216015808529.551,537202165423.5453,143049787979.3821,39763580072.15879,11149151921.13108,2783170677.331,633637180.5938808,471882723.3623319
