==============================================================================================================
DETAILED PER-RUN LOG   DT-GSK   CEC2013LSGO   D1000
runs per function : 25
functions         : [5 6 7 8 9 10 11 12 15]
statistics basis  : raw objective
generated         : 2026-07-26_10.14.51
==============================================================================================================

----- F5  D1000  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      1026243823    2.8881003995723845e+06   nan                      3000000       max_evaluations         1986.3971 
2      1027243860    2.4764084394326331e+06   nan                      3000000       max_evaluations         1976.3561 
3      1028243897    2.7303437080883244e+06   nan                      3000000       max_evaluations         1977.9789 
4      1029243934    2.9053300681155147e+06   nan                      3000000       max_evaluations         1986.2077 
5      1030243971    2.7326484143292438e+06   nan                      3000000       max_evaluations         2069.9736 
6      1031244008    2.6898155893189642e+06   nan                      3000000       max_evaluations         2072.5614 
7      1032244045    3.0874119094035239e+06   nan                      3000000       max_evaluations         2066.1257 
8      1033244082    3.0014824600786339e+06   nan                      3000000       max_evaluations         1975.6674 
9      1034244119    2.3189142089268342e+06   nan                      3000000       max_evaluations         1982.1257 
10     1035244156    2.5627183886169703e+06   nan                      3000000       max_evaluations         1976.1123 
11     1036244193    2.2891870238900669e+06   nan                      3000000       max_evaluations         2073.4160 
12     1037244230    2.6490436913942471e+06   nan                      3000000       max_evaluations         2070.5186 
13     1038244267    2.4238432324544322e+06   nan                      3000000       max_evaluations         2071.4838 
14     1039244304    2.4631062655598097e+06   nan                      3000000       max_evaluations         1662.9500 
15     1040244341    2.8558320399477188e+06   nan                      3000000       max_evaluations         1660.7186 
16     1041244378    3.3139012852326552e+06   nan                      3000000       max_evaluations         1668.1897 
17     1042244415    2.4429939984425586e+06   nan                      3000000       max_evaluations         1670.2850 
18     1043244452    3.1102804569222885e+06   nan                      3000000       max_evaluations         1660.4953 
19     1044244489    2.9083846158702243e+06   nan                      3000000       max_evaluations         1671.0553 
20     1045244526    2.7556618833588660e+06   nan                      3000000       max_evaluations         1663.9289 
21     1046244563    2.5131079133452908e+06   nan                      3000000       max_evaluations         1690.6687 
22     1047244600    2.9039718908176133e+06   nan                      3000000       max_evaluations         1687.9750 
23     1048244637    2.4852526990657728e+06   nan                      3000000       max_evaluations         1688.1031 
24     1049244674    2.6253453103784192e+06   nan                      3000000       max_evaluations         1690.7149 
25     1050244711    2.7245623988787755e+06   nan                      3000000       max_evaluations         1686.2193 

----- F6  D1000  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      1027243856    1.0557776419238816e+06   nan                      3000000       max_evaluations         1523.2076 
2      1028243893    1.0579139943944304e+06   nan                      3000000       max_evaluations         1432.8824 
3      1029243930    1.0503973827172350e+06   nan                      3000000       max_evaluations         1430.3340 
4      1030243967    1.0567997684005583e+06   nan                      3000000       max_evaluations         1429.5998 
5      1031244004    1.0557223443151000e+06   nan                      3000000       max_evaluations         1434.9656 
6      1032244041    1.0465757685804386e+06   nan                      3000000       max_evaluations         1426.4355 
7      1033244078    1.0510683403973340e+06   nan                      3000000       max_evaluations         1410.7947 
8      1034244115    1.0555957811229390e+06   nan                      3000000       max_evaluations         1429.6884 
9      1035244152    1.0444393510946907e+06   nan                      3000000       max_evaluations         1554.4559 
10     1036244189    1.0511504967407796e+06   nan                      3000000       max_evaluations         1552.6071 
11     1037244226    1.0510501571675285e+06   nan                      3000000       max_evaluations         1564.2032 
12     1038244263    1.0580129192896369e+06   nan                      3000000       max_evaluations         1535.3216 
13     1039244300    1.0559537346948155e+06   nan                      3000000       max_evaluations         1518.2611 
14     1040244337    1.0548587932762529e+06   nan                      3000000       max_evaluations         1581.6015 
15     1041244374    1.0606630242228205e+06   nan                      3000000       max_evaluations         1559.6945 
16     1042244411    1.0564990036735062e+06   nan                      3000000       max_evaluations         1608.4811 
17     1043244448    1.0522830066508546e+06   nan                      3000000       max_evaluations         1592.7174 
18     1044244485    1.0547169107023620e+06   nan                      3000000       max_evaluations         1562.7648 
19     1045244522    1.0524742581033190e+06   nan                      3000000       max_evaluations         1582.1912 
20     1046244559    1.0596344959987123e+06   nan                      3000000       max_evaluations         1587.0122 
21     1047244596    1.0575641081495124e+06   nan                      3000000       max_evaluations         1615.5530 
22     1048244633    1.0512475690609710e+06   nan                      3000000       max_evaluations         1605.9304 
23     1049244670    1.0553843992952686e+06   nan                      3000000       max_evaluations         1576.5868 
24     1050244707    1.0578005803317975e+06   nan                      3000000       max_evaluations         1572.3123 
25     1051244744    1.0516589584502417e+06   nan                      3000000       max_evaluations         1602.6344 

----- F7  D1000  (25 runs)  optimum=nan  target_error=nan -----
