==============================================================================================================
DETAILED PER-RUN LOG   DT-GSK   CEC2013LSGO   D905
runs per function : 25
functions         : [13]
statistics basis  : raw objective
generated         : 2026-07-26_08.06.21
==============================================================================================================

----- F13  D905  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      939243802     1.9572734855840015e+09   nan                      3000000       max_evaluations         1939.6508 
2      940243839     2.2521831613690572e+09   nan                      3000000       max_evaluations         1781.2517 
3      941243876     2.1106537749415913e+09   nan                      3000000       max_evaluations         1787.6383 
4      942243913     4.2626468316600256e+09   nan                      3000000       max_evaluations         1796.0572 
5      943243950     2.1860624787466979e+09   nan                      3000000       max_evaluations         1782.3939 
6      944243987     3.0375906034604263e+09   nan                      3000000       max_evaluations         1930.6822 
7      945244024     2.4644037687685795e+09   nan                      3000000       max_evaluations         1783.5744 
8      946244061     2.4777299892636957e+09   nan                      3000000       max_evaluations         1913.1396 
9      947244098     3.1362012347565126e+09   nan                      3000000       max_evaluations         1778.2326 
10     948244135     1.6865015344995842e+09   nan                      3000000       max_evaluations         1936.7962 
11     949244172     2.9287845989315777e+09   nan                      3000000       max_evaluations         1940.9965 
12     950244209     3.1747005545019298e+09   nan                      3000000       max_evaluations         1794.5264 
13     951244246     1.6753512104517870e+09   nan                      3000000       max_evaluations         1965.0860 
14     952244283     2.3483889995270519e+09   nan                      3000000       max_evaluations         1753.7660 
15     953244320     1.7891029779918714e+09   nan                      3000000       max_evaluations         1755.4135 
16     954244357     1.9805402446070437e+09   nan                      3000000       max_evaluations         1782.7775 
17     955244394     2.0764009630827217e+09   nan                      3000000       max_evaluations         1780.2965 
18     956244431     2.5611500733385391e+09   nan                      3000000       max_evaluations         1771.1581 
19     957244468     3.1933334860884776e+09   nan                      3000000       max_evaluations         1768.0570 
20     958244505     2.7620511130974398e+09   nan                      3000000       max_evaluations         1765.9190 
21     959244542     2.5509252170959673e+09   nan                      3000000       max_evaluations         1794.2318 
22     960244579     2.0297449089766674e+09   nan                      3000000       max_evaluations         1802.3937 
23     961244616     2.7879930590841160e+09   nan                      3000000       max_evaluations         1799.3423 
24     962244653     2.5979221640309730e+09   nan                      3000000       max_evaluations         1801.7199 
25     963244690     2.1832256262360172e+09   nan                      3000000       max_evaluations         1790.0813 

