==============================================================================================================
DETAILED PER-RUN LOG   DT-GSK   CEC2013LSGO   D905
runs per function : 25
functions         : [13 14]
statistics basis  : raw objective
generated         : 2026-07-26_10.14.51
==============================================================================================================

----- F13  D905  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      939243802     1.9572734855840015e+09   nan                      3000000       max_evaluations         1939.6508 
2      940243839     2.2521831613690572e+09   nan                      3000000       max_evaluations         1781.2517 
3      941243876     2.1106537749415913e+09   nan                      3000000       max_evaluations         1787.6383 
4      942243913     4.2626468316600256e+09   nan                      3000000       max_evaluations         1796.0572 
5      943243950     2.1860624787466979e+09   nan                      3000000       max_evaluations         1782.3939 
6      944243987     3.0375906034604263e+09   nan                      3000000       max_evaluations         1930.6822 
7      945244024     2.4644037687685795e+09   nan                      3000000       max_evaluations         1783.5744 
8      946244061     2.4777299892636957e+09   nan                      3000000       max_evaluations         1913.1396 
9      947244098     3.1362012347565126e+09   nan                      3000000       max_evaluations         1778.2326 
10     948244135     1.6865015344995842e+09   nan                      3000000       max_evaluations         1936.7962 
11     949244172     2.9287845989315777e+09   nan                      3000000       max_evaluations         1940.9965 
12     950244209     3.1747005545019298e+09   nan                      3000000       max_evaluations         1794.5264 
13     951244246     1.6753512104517870e+09   nan                      3000000       max_evaluations         1965.0860 
14     952244283     2.3483889995270519e+09   nan                      3000000       max_evaluations         1753.7660 
15     953244320     1.7891029779918714e+09   nan                      3000000       max_evaluations         1755.4135 
16     954244357     1.9805402446070437e+09   nan                      3000000       max_evaluations         1782.7775 
17     955244394     2.0764009630827217e+09   nan                      3000000       max_evaluations         1780.2965 
18     956244431     2.5611500733385391e+09   nan                      3000000       max_evaluations         1771.1581 
19     957244468     3.1933334860884776e+09   nan                      3000000       max_evaluations         1768.0570 
20     958244505     2.7620511130974398e+09   nan                      3000000       max_evaluations         1765.9190 
21     959244542     2.5509252170959673e+09   nan                      3000000       max_evaluations         1794.2318 
22     960244579     2.0297449089766674e+09   nan                      3000000       max_evaluations         1802.3937 
23     961244616     2.7879930590841160e+09   nan                      3000000       max_evaluations         1799.3423 
24     962244653     2.5979221640309730e+09   nan                      3000000       max_evaluations         1801.7199 
25     963244690     2.1832256262360172e+09   nan                      3000000       max_evaluations         1790.0813 

----- F14  D905  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      940243835     3.9086384154287237e+08   nan                      3000000       max_evaluations         2372.9637 
2      941243872     3.8893285861646801e+08   nan                      3000000       max_evaluations         2304.3719 
3      942243909     3.9977108891166228e+08   nan                      3000000       max_evaluations         2315.1326 
4      943243946     1.6176879088187244e+09   nan                      3000000       max_evaluations         2230.4097 
5      944243983     1.5441174214989555e+09   nan                      3000000       max_evaluations         2268.8794 
6      945244020     1.5171564336481760e+09   nan                      3000000       max_evaluations         2290.9384 
7      946244057     4.3869187973268086e+08   nan                      3000000       max_evaluations         2275.4008 
8      947244094     5.3063914112567830e+08   nan                      3000000       max_evaluations         2254.6056 
9      948244131     1.2327473362061136e+09   nan                      3000000       max_evaluations         2388.7580 
10     949244168     7.8808608237069440e+08   nan                      3000000       max_evaluations         2338.3130 
11     950244205     8.7262138475685108e+08   nan                      3000000       max_evaluations         2367.6404 
12     951244242     2.5552565840191767e+08   nan                      3000000       max_evaluations         2407.8281 
13     952244279     7.2631968894664049e+08   nan                      3000000       max_evaluations         2355.5973 
14     953244316     2.4571645735856670e+08   nan                      3000000       max_evaluations         1871.0779 
15     954244353     4.6943872424776846e+08   nan                      3000000       max_evaluations         1872.3711 
16     955244390     2.6518293251728523e+08   nan                      3000000       max_evaluations         1923.7507 
17     956244427     5.9246112170716274e+08   nan                      3000000       max_evaluations         1899.8382 
18     957244464     6.3478772373538446e+08   nan                      3000000       max_evaluations         1943.1938 
19     958244501     3.4421956908105999e+08   nan                      3000000       max_evaluations         1885.3168 
20     959244538     8.7616536650708163e+08   nan                      3000000       max_evaluations         1918.9864 
21     960244575     5.1861539048730880e+08   nan                      3000000       max_evaluations         1958.5518 
22     961244612     5.0140103066725951e+08   nan                      3000000       max_evaluations         1969.8044 
23     962244649     4.0951637667800868e+08   nan                      3000000       max_evaluations         1963.6819 
24     963244686     1.2516202447670364e+09   nan                      3000000       max_evaluations         1972.6224 
25     964244723     2.9724584145078206e+08   nan                      3000000       max_evaluations         1975.3405 

