Function,Best,Median,Mean,Worst,SD
1,4.3853458940E+06,6.2584498249E+06,6.6389896123E+06,9.7641779334E+06,1.6287880416E+06
2,9.0751505871E+03,9.7934677561E+03,9.7019835137E+03,1.0140086872E+04,3.1119309016E+02
3,2.0479628026E+01,2.0524038049E+01,2.0522500208E+01,2.0558524129E+01,2.2888616067E-02
4,1.0474137274E+09,1.3604022275E+09,1.4074097354E+09,1.9051539138E+09,2.3728205120E+08
5,2.2891870239E+06,2.7245623989E+06,2.7143059317E+06,3.3139012852E+06,2.6174062937E+05
6,1.0444393511E+06,1.0553843993E+06,1.0542097116E+06,1.0606630242E+06,3.9083682094E+03
7,1.1062552031E+08,1.6725283098E+08,1.7610495973E+08,3.2908504839E+08,4.4062553743E+07
8,2.3723367225E+10,3.4310560537E+10,3.4197526197E+10,4.5102579387E+10,5.5060116955E+09
9,2.3612454332E+08,2.6899040911E+08,2.6810304330E+08,3.0499070126E+08,1.6802368489E+07
10,9.1550479432E+07,9.3068034553E+07,9.2892994436E+07,9.3659975622E+07,5.3610083727E+05
11,3.1422931117E+08,4.3640608113E+08,4.5139669059E+08,6.9290831706E+08,8.9603882000E+07
12,2.2152981951E+05,3.2983517981E+05,3.3360092559E+05,5.0548648849E+05,7.2584298030E+04
15,8.1918578268E+06,1.8652493175E+07,1.8451210695E+07,2.5071197648E+07,3.7879409433E+06
