optimizer,suite,function,dimension,run,seed,reason,traceback
dt-gsk,cec2013lsgo,1,1000,1,1022243691,"MemoryError: Unable to allocate 1.10 MiB for an array with shape (144, 1000) and data type float64 | at File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\optimizers\_dt_core.py"", line 3408, in dt_gsk_optimize","
""""""
Traceback (most recent call last):
  File ""C:\AI\Python\Python310\lib\concurrent\futures\process.py"", line 246, in _process_worker
    r = call_item.fn(*call_item.args, **call_item.kwargs)
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\runners\run_experiment.py"", line 1208, in _process_run_task
    return _run_one(
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\runners\run_experiment.py"", line 339, in _run_one
    result = OPTIMIZER_FUNCTIONS[optimizer](problem, options)
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\optimizers\dt_gsk.py"", line 281, in optimize
    result = dt_gsk_optimize(objective=objective, config=config, curve_callback=curve_callback)
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\optimizers\_dt_core.py"", line 3408, in dt_gsk_optimize
    accepted_displacements = ui[idx_imp, :] - pop[idx_imp, :]  # before replacement
numpy._core._exceptions._ArrayMemoryError: Unable to allocate 1.10 MiB for an array with shape (144, 1000) and data type float64
"""""""
dt-gsk,cec2013lsgo,1,1000,2,1023243728,"MemoryError: Unable to allocate 7.63 MiB for an array with shape (1000, 1000) and data type float64 | at File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\optimizers\_dt_subsystems\interaction_graph.py"", line 346, in ig_update_from_accepted","
""""""
Traceback (most recent call last):
  File ""C:\AI\Python\Python310\lib\concurrent\futures\process.py"", line 246, in _process_worker
    r = call_item.fn(*call_item.args, **call_item.kwargs)
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\runners\run_experiment.py"", line 1208, in _process_run_task
    return _run_one(
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\runners\run_experiment.py"", line 339, in _run_one
    result = OPTIMIZER_FUNCTIONS[optimizer](problem, options)
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\optimizers\dt_gsk.py"", line 281, in optimize
    result = dt_gsk_optimize(objective=objective, config=config, curve_callback=curve_callback)
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\optimizers\_dt_core.py"", line 4654, in dt_gsk_optimize
    ig_update_from_accepted(
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\optimizers\_dt_subsystems\interaction_graph.py"", line 346, in ig_update_from_accepted
    state.matrix += lr_f * agg
numpy._core._exceptions._ArrayMemoryError: Unable to allocate 7.63 MiB for an array with shape (1000, 1000) and data type float64
"""""""
dt-gsk,cec2013lsgo,1,1000,3,1024243765,"MemoryError: Unable to allocate 7.63 MiB for an array with shape (1000, 1000) and data type float64 | at File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\optimizers\_dt_subsystems\interaction_graph.py"", line 346, in ig_update_from_accepted","
""""""
Traceback (most recent call last):
  File ""C:\AI\Python\Python310\lib\concurrent\futures\process.py"", line 246, in _process_worker
    r = call_item.fn(*call_item.args, **call_item.kwargs)
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\runners\run_experiment.py"", line 1208, in _process_run_task
    return _run_one(
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\runners\run_experiment.py"", line 339, in _run_one
    result = OPTIMIZER_FUNCTIONS[optimizer](problem, options)
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\optimizers\dt_gsk.py"", line 281, in optimize
    result = dt_gsk_optimize(objective=objective, config=config, curve_callback=curve_callback)
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\optimizers\_dt_core.py"", line 4654, in dt_gsk_optimize
    ig_update_from_accepted(
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\optimizers\_dt_subsystems\interaction_graph.py"", line 346, in ig_update_from_accepted
    state.matrix += lr_f * agg
numpy._core._exceptions._ArrayMemoryError: Unable to allocate 7.63 MiB for an array with shape (1000, 1000) and data type float64
"""""""
dt-gsk,cec2013lsgo,1,1000,4,1025243802,"MemoryError: Unable to allocate 2.84 MiB for an array with shape (372, 1000) and data type float64 | at File ""C:\AI\Python\Python310\lib\site-packages\numpy\_core\_methods.py"", line 191, in _var","
""""""
Traceback (most recent call last):
  File ""C:\AI\Python\Python310\lib\concurrent\futures\process.py"", line 246, in _process_worker
    r = call_item.fn(*call_item.args, **call_item.kwargs)
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\runners\run_experiment.py"", line 1208, in _process_run_task
    return _run_one(
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\runners\run_experiment.py"", line 339, in _run_one
    result = OPTIMIZER_FUNCTIONS[optimizer](problem, options)
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\optimizers\dt_gsk.py"", line 281, in optimize
    result = dt_gsk_optimize(objective=objective, config=config, curve_callback=curve_callback)
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\optimizers\_dt_core.py"", line 4500, in dt_gsk_optimize
    coord_scale = np.std(pop, axis=0, dtype=np.float64)
  File ""C:\AI\Python\Python310\lib\site-packages\numpy\_core\fromnumeric.py"", line 4064, in std
    return _methods._std(a, axis=axis, dtype=dtype, out=out, ddof=ddof,
  File ""C:\AI\Python\Python310\lib\site-packages\numpy\_core\_methods.py"", line 223, in _std
    ret = _var(a, axis=axis, dtype=dtype, out=out, ddof=ddof,
  File ""C:\AI\Python\Python310\lib\site-packages\numpy\_core\_methods.py"", line 191, in _var
    x = asanyarray(arr - arrmean)
numpy._core._exceptions._ArrayMemoryError: Unable to allocate 2.84 MiB for an array with shape (372, 1000) and data type float64
"""""""
dt-gsk,cec2013lsgo,1,1000,5,1026243839,"MemoryError: Unable to allocate 7.63 MiB for an array with shape (1000, 1000) and data type float64 | at File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\optimizers\_dt_subsystems\interaction_graph.py"", line 346, in ig_update_from_accepted","
""""""
Traceback (most recent call last):
  File ""C:\AI\Python\Python310\lib\concurrent\futures\process.py"", line 246, in _process_worker
    r = call_item.fn(*call_item.args, **call_item.kwargs)
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\runners\run_experiment.py"", line 1208, in _process_run_task
    return _run_one(
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\runners\run_experiment.py"", line 339, in _run_one
    result = OPTIMIZER_FUNCTIONS[optimizer](problem, options)
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\optimizers\dt_gsk.py"", line 281, in optimize
    result = dt_gsk_optimize(objective=objective, config=config, curve_callback=curve_callback)
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\optimizers\_dt_core.py"", line 3502, in dt_gsk_optimize
    ig_update_from_accepted(
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\optimizers\_dt_subsystems\interaction_graph.py"", line 346, in ig_update_from_accepted
    state.matrix += lr_f * agg
numpy._core._exceptions._ArrayMemoryError: Unable to allocate 7.63 MiB for an array with shape (1000, 1000) and data type float64
"""""""
dt-gsk,cec2013lsgo,1,1000,6,1027243876,"MemoryError: Unable to allocate 7.63 MiB for an array with shape (1000, 1000) and data type float64 | at File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\optimizers\_dt_subsystems\interaction_graph.py"", line 346, in ig_update_from_accepted","
""""""
Traceback (most recent call last):
  File ""C:\AI\Python\Python310\lib\concurrent\futures\process.py"", line 246, in _process_worker
    r = call_item.fn(*call_item.args, **call_item.kwargs)
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\runners\run_experiment.py"", line 1208, in _process_run_task
    return _run_one(
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\runners\run_experiment.py"", line 339, in _run_one
    result = OPTIMIZER_FUNCTIONS[optimizer](problem, options)
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\optimizers\dt_gsk.py"", line 281, in optimize
    result = dt_gsk_optimize(objective=objective, config=config, curve_callback=curve_callback)
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\optimizers\_dt_core.py"", line 4654, in dt_gsk_optimize
    ig_update_from_accepted(
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\optimizers\_dt_subsystems\interaction_graph.py"", line 346, in ig_update_from_accepted
    state.matrix += lr_f * agg
numpy._core._exceptions._ArrayMemoryError: Unable to allocate 7.63 MiB for an array with shape (1000, 1000) and data type float64
"""""""
dt-gsk,cec2013lsgo,1,1000,7,1028243913,"MemoryError: Unable to allocate 1.57 MiB for an array with shape (206, 1000) and data type float64 | at File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\optimizers\_dt_core.py"", line 3408, in dt_gsk_optimize","
""""""
Traceback (most recent call last):
  File ""C:\AI\Python\Python310\lib\concurrent\futures\process.py"", line 246, in _process_worker
    r = call_item.fn(*call_item.args, **call_item.kwargs)
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\runners\run_experiment.py"", line 1208, in _process_run_task
    return _run_one(
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\runners\run_experiment.py"", line 339, in _run_one
    result = OPTIMIZER_FUNCTIONS[optimizer](problem, options)
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\optimizers\dt_gsk.py"", line 281, in optimize
    result = dt_gsk_optimize(objective=objective, config=config, curve_callback=curve_callback)
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\optimizers\_dt_core.py"", line 3408, in dt_gsk_optimize
    accepted_displacements = ui[idx_imp, :] - pop[idx_imp, :]  # before replacement
numpy._core._exceptions._ArrayMemoryError: Unable to allocate 1.57 MiB for an array with shape (206, 1000) and data type float64
"""""""
dt-gsk,cec2013lsgo,1,1000,8,1029243950,"MemoryError: Unable to allocate 7.63 MiB for an array with shape (1000, 1000) and data type float64 | at File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\optimizers\_dt_subsystems\interaction_graph.py"", line 346, in ig_update_from_accepted","
""""""
Traceback (most recent call last):
  File ""C:\AI\Python\Python310\lib\concurrent\futures\process.py"", line 246, in _process_worker
    r = call_item.fn(*call_item.args, **call_item.kwargs)
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\runners\run_experiment.py"", line 1208, in _process_run_task
    return _run_one(
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\runners\run_experiment.py"", line 339, in _run_one
    result = OPTIMIZER_FUNCTIONS[optimizer](problem, options)
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\optimizers\dt_gsk.py"", line 281, in optimize
    result = dt_gsk_optimize(objective=objective, config=config, curve_callback=curve_callback)
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\optimizers\_dt_core.py"", line 4654, in dt_gsk_optimize
    ig_update_from_accepted(
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\optimizers\_dt_subsystems\interaction_graph.py"", line 346, in ig_update_from_accepted
    state.matrix += lr_f * agg
numpy._core._exceptions._ArrayMemoryError: Unable to allocate 7.63 MiB for an array with shape (1000, 1000) and data type float64
"""""""
dt-gsk,cec2013lsgo,1,1000,9,1030243987,"MemoryError: Unable to allocate 7.63 MiB for an array with shape (1000, 1000) and data type float64 | at File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\optimizers\_dt_subsystems\interaction_graph.py"", line 346, in ig_update_from_accepted","
""""""
Traceback (most recent call last):
  File ""C:\AI\Python\Python310\lib\concurrent\futures\process.py"", line 246, in _process_worker
    r = call_item.fn(*call_item.args, **call_item.kwargs)
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\runners\run_experiment.py"", line 1208, in _process_run_task
    return _run_one(
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\runners\run_experiment.py"", line 339, in _run_one
    result = OPTIMIZER_FUNCTIONS[optimizer](problem, options)
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\optimizers\dt_gsk.py"", line 281, in optimize
    result = dt_gsk_optimize(objective=objective, config=config, curve_callback=curve_callback)
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\optimizers\_dt_core.py"", line 3502, in dt_gsk_optimize
    ig_update_from_accepted(
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\optimizers\_dt_subsystems\interaction_graph.py"", line 346, in ig_update_from_accepted
    state.matrix += lr_f * agg
numpy._core._exceptions._ArrayMemoryError: Unable to allocate 7.63 MiB for an array with shape (1000, 1000) and data type float64
"""""""
dt-gsk,cec2013lsgo,1,1000,10,1031244024,"MemoryError: Unable to allocate 7.63 MiB for an array with shape (1000, 1000) and data type float64 | at File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\optimizers\_dt_subsystems\interaction_graph.py"", line 346, in ig_update_from_accepted","
""""""
Traceback (most recent call last):
  File ""C:\AI\Python\Python310\lib\concurrent\futures\process.py"", line 246, in _process_worker
    r = call_item.fn(*call_item.args, **call_item.kwargs)
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\runners\run_experiment.py"", line 1208, in _process_run_task
    return _run_one(
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\runners\run_experiment.py"", line 339, in _run_one
    result = OPTIMIZER_FUNCTIONS[optimizer](problem, options)
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\optimizers\dt_gsk.py"", line 281, in optimize
    result = dt_gsk_optimize(objective=objective, config=config, curve_callback=curve_callback)
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\optimizers\_dt_core.py"", line 3502, in dt_gsk_optimize
    ig_update_from_accepted(
  File ""D:\AI\PhD-Projects\00-GSK-Family\02-GSK_Family_Python_v1.1\src\gsk_family\optimizers\_dt_subsystems\interaction_graph.py"", line 346, in ig_update_from_accepted
    state.matrix += lr_f * agg
numpy._core._exceptions._ArrayMemoryError: Unable to allocate 7.63 MiB for an array with shape (1000, 1000) and data type float64
"""""""
