Eval,BestError,Log10Error
50,4.4159747690957101e+02,2.6450265833638484e+00
75,4.2506210128748899e+02,2.6284523848178694e+00
100,4.2506210128748899e+02,2.6284523848178694e+00
125,4.1979600857901801e+02,2.6230383049935275e+00
150,3.7895828226488669e+02,2.5785914031623434e+00
175,3.7895828226488669e+02,2.5785914031623434e+00
200,3.7895828226488669e+02,2.5785914031623434e+00
225,3.7895828226488669e+02,2.5785914031623434e+00
250,3.7895828226488669e+02,2.5785914031623434e+00
275,3.7895828226488669e+02,2.5785914031623434e+00
300,3.7895828226488669e+02,2.5785914031623434e+00
325,3.7626436193917738e+02,2.5754930858561034e+00
350,3.5859003562557399e+02,2.5545982173707444e+00
375,3.5859003562557399e+02,2.5545982173707444e+00
400,3.5859003562557399e+02,2.5545982173707444e+00
425,3.5859003562557399e+02,2.5545982173707444e+00
450,3.5859003562557399e+02,2.5545982173707444e+00
475,3.5836557077542830e+02,2.5543262790579280e+00
500,3.5657443079399599e+02,2.5521501976076832e+00
525,3.5585478933265631e+02,2.5512728152289768e+00
550,3.5015372178572898e+02,2.5442587468268485e+00
575,3.5015372178572898e+02,2.5442587468268485e+00
600,3.5015372178572898e+02,2.5442587468268485e+00
625,3.5015372178572898e+02,2.5442587468268485e+00
650,3.5015372178572898e+02,2.5442587468268485e+00
675,3.5015372178572898e+02,2.5442587468268485e+00
700,3.5015372178572898e+02,2.5442587468268485e+00
725,3.5015372178572898e+02,2.5442587468268485e+00
750,3.5015372178572898e+02,2.5442587468268485e+00
775,3.5001759700207049e+02,2.5440898788896691e+00
800,3.5001759700207049e+02,2.5440898788896691e+00
825,3.5001759700207049e+02,2.5440898788896691e+00
850,3.5001759700207049e+02,2.5440898788896691e+00
875,3.4903176114986348e+02,2.5428649486339858e+00
900,3.4903176114986348e+02,2.5428649486339858e+00
925,3.4903176114986348e+02,2.5428649486339858e+00
950,3.4903176114986348e+02,2.5428649486339858e+00
975,3.4897858234526439e+02,2.5427987740804090e+00
1000,3.4812948021377298e+02,2.5417408016584839e+00
1025,3.4812948021377298e+02,2.5417408016584839e+00
1050,3.4812948021377298e+02,2.5417408016584839e+00
1075,3.4812948021377298e+02,2.5417408016584839e+00
1100,3.4812948021377298e+02,2.5417408016584839e+00
1125,3.4808157680316339e+02,2.5416810376351600e+00
1150,3.4808157680316339e+02,2.5416810376351600e+00
1175,3.4808157680316339e+02,2.5416810376351600e+00
1200,3.4808157680316339e+02,2.5416810376351600e+00
1225,3.4808157680316339e+02,2.5416810376351600e+00
1250,3.4808157680316339e+02,2.5416810376351600e+00
1275,3.4808157680316339e+02,2.5416810376351600e+00
1300,3.4799892536431338e+02,2.5415779028285654e+00
1325,3.4768426921713700e+02,2.5411850417136255e+00
1350,3.4768426921713700e+02,2.5411850417136255e+00
1375,3.4768426921713700e+02,2.5411850417136255e+00
1400,3.4768426921713700e+02,2.5411850417136255e+00
1425,3.4768426921713700e+02,2.5411850417136255e+00
1450,3.4756490942320119e+02,2.5410359230897730e+00
1475,3.4756490942320119e+02,2.5410359230897730e+00
1500,3.4756490942320119e+02,2.5410359230897730e+00
1525,3.4756017049081453e+02,2.5410300015880312e+00
1550,3.4755127208840440e+02,2.5410188824297841e+00
1575,3.4755127208840440e+02,2.5410188824297841e+00
1600,3.4755127208840440e+02,2.5410188824297841e+00
1625,3.4755127208840440e+02,2.5410188824297841e+00
1650,3.4751920168556131e+02,2.5409788059209335e+00
1675,3.4751920168556131e+02,2.5409788059209335e+00
1700,3.4745589256512449e+02,2.5408996813538423e+00
1725,3.4745589256512449e+02,2.5408996813538423e+00
1749,3.4745589256512449e+02,2.5408996813538423e+00
1773,3.4745589256512449e+02,2.5408996813538423e+00
1797,3.4745589256512449e+02,2.5408996813538423e+00
1821,3.4745589256512449e+02,2.5408996813538423e+00
1845,3.4745589256512449e+02,2.5408996813538423e+00
1869,3.4745589256512449e+02,2.5408996813538423e+00
1893,3.4745589256512449e+02,2.5408996813538423e+00
1917,3.4745589256512449e+02,2.5408996813538423e+00
1941,3.4745589256512449e+02,2.5408996813538423e+00
1965,3.4745589256512449e+02,2.5408996813538423e+00
1989,3.4745589256512449e+02,2.5408996813538423e+00
2013,3.4745589256512449e+02,2.5408996813538423e+00
2037,3.4743835299057099e+02,2.5408777576136647e+00
2061,3.4743835299057099e+02,2.5408777576136647e+00
2085,3.4743835299057099e+02,2.5408777576136647e+00
2109,3.4743835299057099e+02,2.5408777576136647e+00
2133,3.4743835299057099e+02,2.5408777576136647e+00
2157,3.4743835299057099e+02,2.5408777576136647e+00
2181,3.4743835299057099e+02,2.5408777576136647e+00
2205,3.4743835299057099e+02,2.5408777576136647e+00
2229,3.4743835299057099e+02,2.5408777576136647e+00
2253,3.4743835299057099e+02,2.5408777576136647e+00
2277,3.4743835299057099e+02,2.5408777576136647e+00
2301,3.4743835299057099e+02,2.5408777576136647e+00
2325,3.4743835299057099e+02,2.5408777576136647e+00
2349,3.4743835299057099e+02,2.5408777576136647e+00
2373,3.4743835299057099e+02,2.5408777576136647e+00
2397,3.4743835299057099e+02,2.5408777576136647e+00
2421,3.4743835299057099e+02,2.5408777576136647e+00
2445,3.4743835299057099e+02,2.5408777576136647e+00
2469,3.4743539831812359e+02,2.5408740642868199e+00
2493,3.4743539831812359e+02,2.5408740642868199e+00
2517,3.4743539831812359e+02,2.5408740642868199e+00
2541,3.4742123648460938e+02,2.5408563616245967e+00
2565,3.4742123648460938e+02,2.5408563616245967e+00
2589,3.4742123648460938e+02,2.5408563616245967e+00
2613,3.4742123648460938e+02,2.5408563616245967e+00
2637,3.4742123648460938e+02,2.5408563616245967e+00
2661,3.4742123648460938e+02,2.5408563616245967e+00
2685,3.4741170381888151e+02,2.5408444451368095e+00
2709,3.4741170381888151e+02,2.5408444451368095e+00
2733,3.4741170381888151e+02,2.5408444451368095e+00
2757,3.4741170381888151e+02,2.5408444451368095e+00
2781,3.4741130960898272e+02,2.5408439523402828e+00
2805,3.4741130960898272e+02,2.5408439523402828e+00
2829,3.4741130960898272e+02,2.5408439523402828e+00
2853,3.4741130960898272e+02,2.5408439523402828e+00
2877,3.4741130960898272e+02,2.5408439523402828e+00
2901,3.4741130960898272e+02,2.5408439523402828e+00
2925,3.4741130960898272e+02,2.5408439523402828e+00
2949,3.4741130960898272e+02,2.5408439523402828e+00
2973,3.4741130960898272e+02,2.5408439523402828e+00
2997,3.4741130960898272e+02,2.5408439523402828e+00
3021,3.4741130960898272e+02,2.5408439523402828e+00
3045,3.4741130960898272e+02,2.5408439523402828e+00
3069,3.4741130960898272e+02,2.5408439523402828e+00
3093,3.4741130960898272e+02,2.5408439523402828e+00
3117,3.4741130960898272e+02,2.5408439523402828e+00
3141,3.4741130960898272e+02,2.5408439523402828e+00
3165,3.4740690895474842e+02,2.5408384511032698e+00
3189,3.4740690895474842e+02,2.5408384511032698e+00
3213,3.4740690895474842e+02,2.5408384511032698e+00
3237,3.4740690895474842e+02,2.5408384511032698e+00
3261,3.4740690895474842e+02,2.5408384511032698e+00
3285,3.4740690895474842e+02,2.5408384511032698e+00
3309,3.4740690895474842e+02,2.5408384511032698e+00
3333,3.4740690895474842e+02,2.5408384511032698e+00
3357,3.4740690895474842e+02,2.5408384511032698e+00
3381,3.4740690895474842e+02,2.5408384511032698e+00
3405,3.4740136347380701e+02,2.5408315186245760e+00
3429,3.4740136347380701e+02,2.5408315186245760e+00
3453,3.4740136347380701e+02,2.5408315186245760e+00
3477,3.4740136347380701e+02,2.5408315186245760e+00
3501,3.4740136347380701e+02,2.5408315186245760e+00
3525,3.4740136347380701e+02,2.5408315186245760e+00
3549,3.4740136347380701e+02,2.5408315186245760e+00
3573,3.4740136347380701e+02,2.5408315186245760e+00
3597,3.4740136347380701e+02,2.5408315186245760e+00
3621,3.4740136347380701e+02,2.5408315186245760e+00
3645,3.4740136347380701e+02,2.5408315186245760e+00
3669,3.4740136347380701e+02,2.5408315186245760e+00
3693,3.4740136347380701e+02,2.5408315186245760e+00
3717,3.4740136347380701e+02,2.5408315186245760e+00
3741,3.4740136347380701e+02,2.5408315186245760e+00
3765,3.4740136347380701e+02,2.5408315186245760e+00
3789,3.4740136347380701e+02,2.5408315186245760e+00
3813,3.4740136347380701e+02,2.5408315186245760e+00
3837,3.4740136347380701e+02,2.5408315186245760e+00
3861,3.4740136347380701e+02,2.5408315186245760e+00
3885,3.4740136347380701e+02,2.5408315186245760e+00
3909,3.4740136347380701e+02,2.5408315186245760e+00
3933,3.4737646964258869e+02,2.5408003971551771e+00
3957,3.4737646964258869e+02,2.5408003971551771e+00
3981,3.4737646964258869e+02,2.5408003971551771e+00
4005,3.4737646964258869e+02,2.5408003971551771e+00
4029,3.4737646964258869e+02,2.5408003971551771e+00
4053,3.4737646964258869e+02,2.5408003971551771e+00
4077,3.4737646964258869e+02,2.5408003971551771e+00
4101,3.4737646964258869e+02,2.5408003971551771e+00
4125,3.4737646964258869e+02,2.5408003971551771e+00
4149,3.4737646964258869e+02,2.5408003971551771e+00
4173,3.4737646964258869e+02,2.5408003971551771e+00
4197,3.4737646964258869e+02,2.5408003971551771e+00
4221,3.4737646964258869e+02,2.5408003971551771e+00
4245,3.4737646964258869e+02,2.5408003971551771e+00
4269,3.4737646964258869e+02,2.5408003971551771e+00
4293,3.4737646964258869e+02,2.5408003971551771e+00
4317,3.4737646964258869e+02,2.5408003971551771e+00
4341,3.4737646964258869e+02,2.5408003971551771e+00
4365,3.4737646964258869e+02,2.5408003971551771e+00
4389,3.4737584197300203e+02,2.5407996124339651e+00
4413,3.4737584197300203e+02,2.5407996124339651e+00
4437,3.4737584197300203e+02,2.5407996124339651e+00
4461,3.4737584197300203e+02,2.5407996124339651e+00
4485,3.4737584197300203e+02,2.5407996124339651e+00
4509,3.4737584197300203e+02,2.5407996124339651e+00
4533,3.4737584197300203e+02,2.5407996124339651e+00
4557,3.4737584197300203e+02,2.5407996124339651e+00
4581,3.4737584197300203e+02,2.5407996124339651e+00
4605,3.4737584197300203e+02,2.5407996124339651e+00
4629,3.4737584197300203e+02,2.5407996124339651e+00
4652,3.4737584197300203e+02,2.5407996124339651e+00
4675,3.4737584197300203e+02,2.5407996124339651e+00
4698,3.4737584197300203e+02,2.5407996124339651e+00
4721,3.4737584197300203e+02,2.5407996124339651e+00
4744,3.4737584197300203e+02,2.5407996124339651e+00
4767,3.4737584197300203e+02,2.5407996124339651e+00
4790,3.4737584197300203e+02,2.5407996124339651e+00
4813,3.4737584197300203e+02,2.5407996124339651e+00
4836,3.4737584197300203e+02,2.5407996124339651e+00
