Run,Seed,E30000,E60000,E90000,E150000,E300000,E600000,E900000,E1200000,E1500000,E1800000,E2100000,E2400000,E2700000,E3000000
1,46241033,405.539548272109,400.000003662065,400.0000000000127,400.000000000001,400.000000000001,400.000000000001,400.000000000001,400.000000000001,400.000000000001,400.000000000001,400.000000000001,400.000000000001,400.000000000001,400.000000000001
2,47241070,400.110876676922,400.0000020160314,400.0000000000045,400.000000000001,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005
3,48241107,401.4198905244775,400.000003394428,400.0000000000314,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005
4,49241144,400.57052196637,400.0000015533187,400.000000000009,400.000000000001,400.000000000001,400.000000000001,400.000000000001,400.000000000001,400.000000000001,400.000000000001,400.000000000001,400.000000000001,400.000000000001,400.000000000001
5,50241181,400.4286539924456,400.0000050357808,400.00000000001,400.000000000001,400.000000000001,400.000000000001,400.000000000001,400.000000000001,400.000000000001,400.000000000001,400.000000000001,400.000000000001,400.000000000001,400.000000000001
6,51241218,400.169143212399,400.0000028988293,400.0000000000127,400.000000000001,400.000000000001,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005
7,52241255,465.792663944919,400.0001048113945,400.000000000695,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005
8,53241292,400.0977796734833,400.000001075551,400.000000000001,400.0000000000005,400.0000000000005,400,400,400,400,400,400,400,400,400
9,54241329,400.1844639222686,400.0000002150364,400.0000000000014,400.000000000001,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005
10,55241366,400.4122817876623,400.000001007782,400.0000000000077,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005,400.0000000000005
