==============================================================================================================
DETAILED PER-RUN LOG   DT-GSK   CEC2020   D10
runs per function : 30
functions         : [1 2 3 4 5 6 7 8 9 10]
statistics basis  : error vs known optimum
generated         : 2026-07-29_00.58.11
==============================================================================================================

----- F1  D10  (30 runs)  optimum=100  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      32240721      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         67.5681   
2      33240758      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         67.0905   
3      34240795      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         67.0065   
4      35240832      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         65.4015   
5      36240869      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         66.0894   
6      37240906      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         67.5321   
7      38240943      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         66.5244   
8      39240980      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         66.5953   
9      40241017      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         67.7554   
10     41241054      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         66.0517   
11     42241091      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         65.3820   
12     43241128      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         67.1476   
13     44241165      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         65.8023   
14     45241202      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         66.6926   
15     46241239      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         69.7378   
16     47241276      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         67.3413   
17     48241313      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         70.2285   
18     49241350      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         69.6569   
19     50241387      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         68.3573   
20     51241424      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         69.8653   
21     52241461      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         69.1672   
22     53241498      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         69.0987   
23     54241535      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         68.2740   
24     55241572      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         69.2706   
25     56241609      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         67.7321   
26     57241646      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         68.5818   
27     58241683      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         69.1008   
28     59241720      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         69.2259   
29     60241757      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         24.4712   
30     61241794      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         23.0978   

----- F2  D10  (30 runs)  optimum=1100  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      33240754      1.1140426352881768e+03   1.4042635288176800e+01   1000000       max_evaluations         69.8516   
2      34240791      1.1137062360011851e+03   1.3706236001184999e+01   1000000       max_evaluations         74.8060   
3      35240828      1.1101199731809993e+03   1.0119973180999301e+01   1000000       max_evaluations         80.7389   
4      36240865      1.1159386737174500e+03   1.5938673717450000e+01   1000000       max_evaluations         73.1995   
5      37240902      1.1139737724994238e+03   1.3973772499423800e+01   1000000       max_evaluations         73.1812   
6      38240939      1.1310396124929048e+03   3.1039612492904801e+01   1000000       max_evaluations         71.2808   
7      39240976      1.1008009952055427e+03   8.0099520554269998e-01   1000000       max_evaluations         71.9428   
8      40241013      1.1071902966803709e+03   7.1902966803709996e+00   1000000       max_evaluations         80.1054   
9      41241050      1.1251770957248336e+03   2.5177095724833599e+01   1000000       max_evaluations         82.3090   
