==============================================================================================================
DETAILED PER-RUN LOG   DT-GSK   CEC2020   D15
runs per function : 30
functions         : [1]
statistics basis  : error vs known optimum
generated         : 2026-07-28_22.54.33
==============================================================================================================

----- F1  D15  (30 runs)  optimum=100  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      37240736      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         171.4401  
2      38240773      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         172.4804  
3      39240810      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         171.2170  
4      40240847      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         170.8498  
5      41240884      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         176.9726  
6      42240921      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         176.5451  
7      43240958      1.0000000000000001e+02   0.0000000000000000e+00   3000000       max_evaluations         175.4466  
8      44240995      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         177.8177  
9      45241032      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         171.4954  
10     46241069      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         174.3741  
11     47241106      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         174.9098  
12     48241143      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         175.2660  
13     49241180      1.0000000000000001e+02   0.0000000000000000e+00   3000000       max_evaluations         169.9069  
14     50241217      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         170.4265  
15     51241254      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         169.7385  
16     52241291      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         167.9615  
17     53241328      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         167.2637  
18     54241365      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         170.0530  
19     55241402      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         170.4681  
20     56241439      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         167.6874  
21     57241476      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         170.2314  
22     58241513      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         172.1184  
23     59241550      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         171.6360  
24     60241587      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         172.1108  
25     61241624      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         171.1035  
26     62241661      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         170.7222  
27     63241698      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         170.7049  
28     64241735      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         169.9800  
29     65241772      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         71.9374   
30     66241809      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         71.7088   

