==============================================================================================================
DETAILED PER-RUN LOG   DT-GSK   CEC2020   D20
runs per function : 30
functions         : [2 3 4 5 6 7 8 9 10]
statistics basis  : error vs known optimum
generated         : 2026-07-29_07.59.26
==============================================================================================================

----- F2  D20  (30 runs)  optimum=1100  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      43240784      1.1177741475531293e+03   1.7774147553129300e+01   10000000      max_evaluations         613.5518  
2      44240821      1.3281773103251435e+03   2.2817731032514351e+02   10000000      max_evaluations         631.4873  
3      45240858      1.1153075467927411e+03   1.5307546792741000e+01   10000000      max_evaluations         638.2108  
4      46240895      1.1178053760109688e+03   1.7805376010968800e+01   10000000      max_evaluations         629.1341  
5      47240932      1.1144839653884501e+03   1.4483965388450001e+01   10000000      max_evaluations         619.0914  
6      48240969      1.1169214094172457e+03   1.6921409417245702e+01   10000000      max_evaluations         626.3883  
7      49241006      1.2653558141929407e+03   1.6535581419294070e+02   10000000      max_evaluations         613.6271  
8      50241043      1.1217942257485920e+03   2.1794225748592002e+01   10000000      max_evaluations         648.4085  
9      51241080      1.2404199311100638e+03   1.4041993111006380e+02   10000000      max_evaluations         624.8488  
10     52241117      1.3451938194817621e+03   2.4519381948176209e+02   10000000      max_evaluations         627.2564  
11     53241154      1.3356495922308086e+03   2.3564959223080859e+02   10000000      max_evaluations         628.5432  
12     54241191      1.3452875048552796e+03   2.4528750485527959e+02   10000000      max_evaluations         614.6825  
13     55241228      1.3250744989074938e+03   2.2507449890749379e+02   10000000      max_evaluations         637.4168  
14     56241265      1.1160353710972722e+03   1.6035371097272201e+01   10000000      max_evaluations         634.2601  
15     57241302      1.2278621129245057e+03   1.2786211292450569e+02   10000000      max_evaluations         580.4661  
16     58241339      1.1118903790704553e+03   1.1890379070455300e+01   10000000      max_evaluations         590.2655  
17     59241376      1.4294992461934144e+03   3.2949924619341442e+02   10000000      max_evaluations         592.9046  
18     60241413      1.1094550067679065e+03   9.4550067679065002e+00   10000000      max_evaluations         580.2835  
19     61241450      1.1177741475531311e+03   1.7774147553131101e+01   10000000      max_evaluations         579.8534  
20     62241487      1.4705305382822662e+03   3.7053053828226621e+02   10000000      max_evaluations         562.3401  
21     63241524      1.1202428200397662e+03   2.0242820039766201e+01   10000000      max_evaluations         574.7336  
22     64241561      1.7426911302402596e+03   6.4269113024025955e+02   10000000      max_evaluations         584.5458  
23     65241598      1.4088206742332686e+03   3.0882067423326862e+02   10000000      max_evaluations         579.2749  
24     66241635      1.3257086378385075e+03   2.2570863783850751e+02   10000000      max_evaluations         571.1027  
25     67241672      1.4740657605405795e+03   3.7406576054057950e+02   10000000      max_evaluations         576.4566  
26     68241709      1.1169526378750834e+03   1.6952637875083401e+01   10000000      max_evaluations         575.9271  
27     69241746      1.6896298312781873e+03   5.8962983127818734e+02   10000000      max_evaluations         573.8446  
28     70241783      1.1128701027639454e+03   1.2870102763945400e+01   10000000      max_evaluations         572.9862  
29     71241820      1.1136291555263142e+03   1.3629155526314200e+01   10000000      max_evaluations         299.4105  
30     72241857      1.2356171752549744e+03   1.3561717525497440e+02   10000000      max_evaluations         315.9966  

----- F3  D20  (30 runs)  optimum=700  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      44240817      7.2820660329025395e+02   2.8206603290254002e+01   10000000      max_evaluations         715.7844  
2      45240854      7.3070627930224214e+02   3.0706279302242098e+01   10000000      max_evaluations         736.3114  
3      46240891      7.2629144822050250e+02   2.6291448220502499e+01   10000000      max_evaluations         710.7786  
4      47240928      7.2828249293345652e+02   2.8282492933456499e+01   10000000      max_evaluations         781.8706  
5      48240965      7.2740048395637484e+02   2.7400483956374799e+01   10000000      max_evaluations         763.1352  
6      49241002      7.3025221179724042e+02   3.0252211797240399e+01   10000000      max_evaluations         750.4013  
7      50241039      7.2648256128908497e+02   2.6482561289085002e+01   10000000      max_evaluations         760.2170  
8      51241076      7.2673715111260447e+02   2.6737151112604501e+01   10000000      max_evaluations         715.8684  
9      52241113      7.3030320089450515e+02   3.0303200894505199e+01   10000000      max_evaluations         714.0942  
10     53241150      7.2760721647299363e+02   2.7607216472993599e+01   10000000      max_evaluations         751.3032  
11     54241187      7.2895685971869193e+02   2.8956859718691899e+01   10000000      max_evaluations         721.2147  
12     55241224      7.3137627901328176e+02   3.1376279013281799e+01   10000000      max_evaluations         717.4800  
13     56241261      7.2631101489205014e+02   2.6311014892050100e+01   10000000      max_evaluations         732.6305  
14     57241298      7.3005923983807952e+02   3.0059239838079499e+01   10000000      max_evaluations         752.7327  
15     58241335      7.2433706581639137e+02   2.4337065816391402e+01   10000000      max_evaluations         700.8305  
16     59241372      7.2343514516846653e+02   2.3435145168466502e+01   10000000      max_evaluations         705.2609  
17     60241409      7.2673135629712726e+02   2.6731356297127299e+01   10000000      max_evaluations         701.9452  
18     61241446      7.2553572671111260e+02   2.5535726711112599e+01   10000000      max_evaluations         718.0144  
19     62241483      7.2444116216134603e+02   2.4441162161346000e+01   10000000      max_evaluations         699.5863  
20     63241520      7.2548560155949690e+02   2.5485601559496899e+01   10000000      max_evaluations         696.1562  
21     64241557      7.2395283645186657e+02   2.3952836451866599e+01   10000000      max_evaluations         698.9092  
22     65241594      7.2738276675504358e+02   2.7382766755043601e+01   10000000      max_evaluations         759.8788  
23     66241631      7.2484239939201143e+02   2.4842399392011401e+01   10000000      max_evaluations         732.8490  
24     67241668      7.2829288685441929e+02   2.8292886854419301e+01   10000000      max_evaluations         749.2321  
25     68241705      7.2582073545654862e+02   2.5820735456548601e+01   10000000      max_evaluations         735.9951  
26     69241742      7.2407422889947031e+02   2.4074228899470299e+01   10000000      max_evaluations         735.9512  
27     70241779      7.2510890455199410e+02   2.5108904551994101e+01   10000000      max_evaluations         727.6331  
28     71241816      7.2835787758655079e+02   2.8357877586550799e+01   10000000      max_evaluations         740.7304  
29     72241853      7.3009834215436740e+02   3.0098342154367401e+01   10000000      max_evaluations         350.5385  
30     73241890      7.2748627157230442e+02   2.7486271572304400e+01   10000000      max_evaluations         346.8471  

----- F4  D20  (30 runs)  optimum=1900  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      45240850      1.9016209672769430e+03   1.6209672769429999e+00   10000000      max_evaluations         644.3614  
2      46240887      1.9012208605334406e+03   1.2208605334406000e+00   10000000      max_evaluations         653.0754  
3      47240924      1.9011917755551067e+03   1.1917755551067000e+00   10000000      max_evaluations         631.7736  
4      48240961      1.9013796713949348e+03   1.3796713949348001e+00   10000000      max_evaluations         618.8640  
5      49240998      1.9012815200631978e+03   1.2815200631978001e+00   10000000      max_evaluations         633.8661  
6      50241035      1.9013966780519347e+03   1.3966780519347000e+00   10000000      max_evaluations         697.4585  
7      51241072      1.9019872526029678e+03   1.9872526029677999e+00   10000000      max_evaluations         706.2241  
8      52241109      1.9013883455163730e+03   1.3883455163730001e+00   10000000      max_evaluations         690.7945  
9      53241146      1.9012490914436673e+03   1.2490914436673000e+00   10000000      max_evaluations         704.2976  
10     54241183      1.9010436247199671e+03   1.0436247199669999e+00   10000000      max_evaluations         716.4062  
11     55241220      1.9016093090352342e+03   1.6093090352342001e+00   10000000      max_evaluations         692.9122  
12     56241257      1.9010154961507083e+03   1.0154961507083000e+00   10000000      max_evaluations         704.3323  
13     57241294      1.9014096684468857e+03   1.4096684468856999e+00   10000000      max_evaluations         629.5064  
14     58241331      1.9039563029830433e+03   3.9563029830433001e+00   10000000      max_evaluations         641.4036  
15     59241368      1.9017146456273254e+03   1.7146456273254000e+00   10000000      max_evaluations         639.2438  
16     60241405      1.9042147715717974e+03   4.2147715717974004e+00   10000000      max_evaluations         628.9809  
17     61241442      1.9018771965000396e+03   1.8771965000396000e+00   10000000      max_evaluations         649.2270  
18     62241479      1.9009375473077394e+03   9.3754730773939998e-01   10000000      max_evaluations         659.1385  
19     63241516      1.9019084647476270e+03   1.9084647476270000e+00   10000000      max_evaluations         658.1108  
20     64241553      1.9019474209082425e+03   1.9474209082425000e+00   10000000      max_evaluations         640.4790  
21     65241590      1.9032762563344274e+03   3.2762563344274001e+00   10000000      max_evaluations         636.9993  
22     66241627      1.9018068210375516e+03   1.8068210375516001e+00   10000000      max_evaluations         683.2129  
23     67241664      1.9009402333690687e+03   9.4023336906870003e-01   10000000      max_evaluations         672.8945  
24     68241701      1.9019874206782629e+03   1.9874206782629000e+00   10000000      max_evaluations         654.5781  
25     69241738      1.9008924168338492e+03   8.9241683384920001e-01   10000000      max_evaluations         673.6581  
26     70241775      1.9013349105526079e+03   1.3349105526078999e+00   10000000      max_evaluations         677.9031  
27     71241812      1.9009001639229095e+03   9.0016392290949998e-01   10000000      max_evaluations         676.2975  
28     72241849      1.9010339080339095e+03   1.0339080339094999e+00   10000000      max_evaluations         680.8246  
29     73241886      1.9013306125425167e+03   1.3306125425166999e+00   10000000      max_evaluations         349.9065  
30     74241923      1.9010632642902815e+03   1.0632642902814999e+00   10000000      max_evaluations         346.9900  

----- F5  D20  (30 runs)  optimum=1700  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      46240883      1.8507050921081448e+03   1.5070509210814481e+02   10000000      max_evaluations         700.4078  
2      47240920      1.9475801894572714e+03   2.4758018945727139e+02   10000000      max_evaluations         696.4160  
3      48240957      1.8257744486629538e+03   1.2577444866295380e+02   10000000      max_evaluations         698.4615  
4      49240994      1.8370640675411912e+03   1.3706406754119121e+02   10000000      max_evaluations         712.1652  
5      50241031      1.8709964971503252e+03   1.7099649715032521e+02   10000000      max_evaluations         712.9072  
6      51241068      1.8303667048641819e+03   1.3036670486418191e+02   10000000      max_evaluations         780.0987  
7      52241105      1.7336659710886943e+03   3.3665971088694299e+01   10000000      max_evaluations         775.1283  
8      53241142      1.8359539201225039e+03   1.3595392012250389e+02   10000000      max_evaluations         780.5721  
9      54241179      1.7708495677381075e+03   7.0849567738107496e+01   10000000      max_evaluations         805.1427  
10     55241216      1.8810833849572241e+03   1.8108338495722401e+02   10000000      max_evaluations         780.6845  
11     56241253      1.8646224781487954e+03   1.6462247814879541e+02   10000000      max_evaluations         765.2428  
12     57241290      1.7406187910636315e+03   4.0618791063631498e+01   10000000      max_evaluations         761.2210  
13     58241327      1.8328432422611779e+03   1.3284324226117801e+02   10000000      max_evaluations         704.0973  
14     59241364      1.8358280941979242e+03   1.3582809419792420e+02   10000000      max_evaluations         720.8275  
15     60241401      1.8397487096001080e+03   1.3974870960010799e+02   10000000      max_evaluations         706.2554  
16     61241438      1.8260154679869463e+03   1.2601546798694631e+02   10000000      max_evaluations         718.7517  
17     62241475      1.8272185975168204e+03   1.2721859751682040e+02   10000000      max_evaluations         705.3144  
18     63241512      1.7739407167903239e+03   7.3940716790324004e+01   10000000      max_evaluations         708.2741  
19     64241549      1.8221771515188184e+03   1.2217715151881841e+02   10000000      max_evaluations         708.8415  
20     65241586      1.8530992647602252e+03   1.5309926476022520e+02   10000000      max_evaluations         708.7397  
21     66241623      1.8450137916134324e+03   1.4501379161343240e+02   10000000      max_evaluations         713.5986  
22     67241660      1.7410012030106438e+03   4.1001203010643799e+01   10000000      max_evaluations         744.3509  
23     68241697      1.8283176418103039e+03   1.2831764181030400e+02   10000000      max_evaluations         738.7723  
24     69241734      1.8272185975168204e+03   1.2721859751682040e+02   10000000      max_evaluations         746.0738  
25     70241771      1.7650059149120791e+03   6.5005914912079007e+01   10000000      max_evaluations         737.2433  
26     71241808      1.8273226827532108e+03   1.2732268275321080e+02   10000000      max_evaluations         746.6159  
27     72241845      1.7092668821851917e+03   9.2668821851916992e+00   10000000      max_evaluations         729.3248  
28     73241882      1.8221771515188184e+03   1.2217715151881841e+02   10000000      max_evaluations         731.1287  
29     74241919      1.8205323379650147e+03   1.2053233796501470e+02   10000000      max_evaluations         355.7507  
30     75241956      1.7065821743154154e+03   6.5821743154153998e+00   10000000      max_evaluations         349.3622  

----- F6  D20  (30 runs)  optimum=1600  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      47240916      1.6007440659307599e+03   7.4406593076000005e-01   10000000      max_evaluations         732.7259  
2      48240953      1.6009149317079384e+03   9.1493170793839995e-01   10000000      max_evaluations         723.7451  
3      49240990      1.6008297940270470e+03   8.2979402704700000e-01   10000000      max_evaluations         731.3272  
4      50241027      1.6004279415514061e+03   4.2794155140599999e-01   10000000      max_evaluations         736.2142  
5      51241064      1.6020179339603178e+03   2.0179339603178001e+00   10000000      max_evaluations         718.3209  
6      52241101      1.6007229212787549e+03   7.2292127875500001e-01   10000000      max_evaluations         793.4902  
7      53241138      1.6010550304878225e+03   1.0550304878225001e+00   10000000      max_evaluations         790.8010  
8      54241175      1.6008312177688956e+03   8.3121776889559995e-01   10000000      max_evaluations         806.0386  
9      55241212      1.6006952486479843e+03   6.9524864798429997e-01   10000000      max_evaluations         806.8222  
10     56241249      1.6021115555875556e+03   2.1115555875555998e+00   10000000      max_evaluations         810.4058  
11     57241286      1.6015169424044934e+03   1.5169424044933999e+00   10000000      max_evaluations         807.6648  
12     58241323      1.6007578221793094e+03   7.5782217930939999e-01   10000000      max_evaluations         801.8024  
13     59241360      1.6018279965874560e+03   1.8279965874560000e+00   10000000      max_evaluations         724.8442  
14     60241397      1.6010465525427599e+03   1.0465525427599001e+00   10000000      max_evaluations         736.6628  
15     61241434      1.6006848129086907e+03   6.8481290869070000e-01   10000000      max_evaluations         709.0768  
16     62241471      1.6008925344628171e+03   8.9253446281710003e-01   10000000      max_evaluations         723.7454  
17     63241508      1.6010535633842574e+03   1.0535633842573999e+00   10000000      max_evaluations         704.3571  
18     64241545      1.6007446764201090e+03   7.4467642010900004e-01   10000000      max_evaluations         717.5345  
19     65241582      1.6009325898149464e+03   9.3258981494640003e-01   10000000      max_evaluations         727.0613  
20     66241619      1.6007229500259243e+03   7.2295002592430002e-01   10000000      max_evaluations         722.1992  
21     67241656      1.6022908437704048e+03   2.2908437704048001e+00   10000000      max_evaluations         726.3582  
22     68241693      1.6003676715411993e+03   3.6767154119930001e-01   10000000      max_evaluations         757.1566  
23     69241730      1.6007254154568795e+03   7.2541545687950004e-01   10000000      max_evaluations         758.0714  
24     70241767      1.6064371205178784e+03   6.4371205178783999e+00   10000000      max_evaluations         756.0489  
