==============================================================================================================
DETAILED PER-RUN LOG   DT-GSK   CEC2020   D5
runs per function : 30
functions         : [1 2 3 4 5 8 9 10]
statistics basis  : error vs known optimum
generated         : 2026-07-28_22.54.33
==============================================================================================================

----- F1  D5  (30 runs)  optimum=100  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      27240706      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         3.4434    
2      28240743      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         3.4172    
3      29240780      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         3.3726    
4      30240817      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         3.4933    
5      31240854      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         3.4254    
6      32240891      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         3.4778    
7      33240928      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         3.3783    
8      34240965      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         3.4652    
9      35241002      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         3.4703    
10     36241039      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         3.4248    
11     37241076      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         3.4900    
12     38241113      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         3.3550    
13     39241150      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         3.3458    
14     40241187      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         3.3597    
15     41241224      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         2.0470    
16     42241261      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         2.1155    
17     43241298      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         1.9285    
18     44241335      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         2.0058    
19     45241372      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         2.0259    
20     46241409      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         2.0232    
21     47241446      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         1.9465    
22     48241483      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         1.9595    
23     49241520      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         1.9404    
24     50241557      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         1.9479    
25     51241594      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         2.0518    
26     52241631      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         2.0299    
27     53241668      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         1.9607    
28     54241705      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         2.0689    
29     55241742      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         1.3631    
30     56241779      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         1.3586    

----- F2  D5  (30 runs)  optimum=1100  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      28240739      1.1007265944394940e+03   7.2659443949400004e-01   50000         max_evaluations         2.0730    
2      29240776      1.1028474072646022e+03   2.8474072646022002e+00   50000         max_evaluations         2.1837    
3      30240813      1.1045129559816296e+03   4.5129559816295997e+00   50000         max_evaluations         1.9785    
4      31240850      1.1018708209464762e+03   1.8708209464762000e+00   50000         max_evaluations         2.1238    
5      32240887      1.1004995959389330e+03   4.9959593893299997e-01   50000         max_evaluations         1.9554    
6      33240924      1.1004976141403176e+03   4.9761414031759998e-01   50000         max_evaluations         2.1743    
7      34240961      1.1029936429880627e+03   2.9936429880627000e+00   50000         max_evaluations         2.0616    
8      35240998      1.1005664604795793e+03   5.6646047957930001e-01   50000         max_evaluations         2.1513    
9      36241035      1.1027308638556501e+03   2.7308638556500999e+00   50000         max_evaluations         2.1406    
10     37241072      1.1092441709669752e+03   9.2441709669752008e+00   50000         max_evaluations         2.0710    
11     38241109      1.1024658458201825e+03   2.4658458201825000e+00   50000         max_evaluations         2.1020    
12     39241146      1.2260040144513609e+03   1.2600401445136100e+02   50000         max_evaluations         2.1423    
13     40241183      1.1006617821934856e+03   6.6178219348559997e-01   50000         max_evaluations         1.9957    
14     41241220      1.1007987682883040e+03   7.9876828830400004e-01   50000         max_evaluations         1.9871    
15     42241257      1.1002497979694667e+03   2.4979796946669999e-01   50000         max_evaluations         3.8975    
16     43241294      1.1010929229223402e+03   1.0929229223401999e+00   50000         max_evaluations         4.0256    
17     44241331      1.1006004793426018e+03   6.0047934260180003e-01   50000         max_evaluations         3.7806    
18     45241368      1.1003746969541999e+03   3.7469695419990001e-01   50000         max_evaluations         3.7771    
19     46241405      1.1013335834720610e+03   1.3335834720610000e+00   50000         max_evaluations         3.7326    
20     47241442      1.1006812635812721e+03   6.8126358127200004e-01   50000         max_evaluations         3.7935    
21     48241479      1.1068293802201288e+03   6.8293802201288001e+00   50000         max_evaluations         3.8632    
22     49241516      1.1002497979694667e+03   2.4979796946669999e-01   50000         max_evaluations         3.6819    
23     50241553      1.1002497979694667e+03   2.4979796946669999e-01   50000         max_evaluations         4.0180    
24     51241590      1.1005075039147628e+03   5.0750391476279999e-01   50000         max_evaluations         3.7662    
25     52241627      1.1002097290689521e+03   2.0972906895210000e-01   50000         max_evaluations         3.9918    
26     53241664      1.1019329469879240e+03   1.9329469879240000e+00   50000         max_evaluations         3.8883    
27     54241701      1.1005718281555578e+03   5.7182815555779998e-01   50000         max_evaluations         4.0063    
28     55241738      1.1007879795395829e+03   7.8797953958300004e-01   50000         max_evaluations         3.9480    
29     56241775      1.1068293802201288e+03   6.8293802201288001e+00   50000         max_evaluations         1.9191    
30     57241812      1.1007361703133806e+03   7.3617031338060002e-01   50000         max_evaluations         1.9165    

----- F3  D5  (30 runs)  optimum=700  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      29240772      7.0308803408881306e+02   3.0880340888130999e+00   50000         max_evaluations         2.7990    
2      30240809      7.0535157840425313e+02   5.3515784042531003e+00   50000         max_evaluations         2.7376    
3      31240846      7.0538311648054560e+02   5.3831164805456000e+00   50000         max_evaluations         2.7682    
4      32240883      7.0514822796606131e+02   5.1482279660612997e+00   50000         max_evaluations         2.7068    
5      33240920      7.0514822796606131e+02   5.1482279660612997e+00   50000         max_evaluations         2.7867    
6      34240957      7.0540346788463114e+02   5.4034678846310999e+00   50000         max_evaluations         2.8358    
