Function,Best,Median,Mean,Worst,SD
1,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00
2,9.4550067679E+00,1.3173964409E+02,1.6041732898E+02,6.4269113024E+02,1.7467585666E+02
3,2.3435145168E+01,2.7059958934E+01,2.7145211671E+01,3.1376279013E+01,2.2260034901E+00
4,8.9241683385E-01,1.3840084557E+00,1.6305539344E+00,4.2147715718E+00,8.2615125687E-01
5,6.5821743154E+00,1.2727064014E+02,1.1641969117E+02,2.4758018946E+02,5.2956364546E+01
6,3.6767154120E-01,9.0373308538E-01,1.4443526812E+00,7.2091249447E+00,1.5487946608E+00
7,6.7545769676E-01,1.2423659683E+01,4.2467427047E+01,1.4273300480E+02,5.1284046985E+01
8,7.8346164955E+01,1.0000000000E+02,9.9278205498E+01,1.0000000000E+02,3.9534313036E+00
9,3.0000000000E+02,3.8810649242E+02,3.7866727735E+02,4.0864567061E+02,2.9157728727E+01
10,3.9913541870E+02,4.1028216571E+02,4.0891505172E+02,4.1419081068E+02,5.6991120636E+00
