Eval,BestError,Log10Error
100,7.4424293277837280e+15,1.5871714719341702e+01
200,6.6201479498538325e+14,1.4820867695344100e+01
300,6.6201479498538325e+14,1.4820867695344100e+01
400,6.6201479498538325e+14,1.4820867695344100e+01
500,6.6201479498538325e+14,1.4820867695344100e+01
600,6.6201479498538325e+14,1.4820867695344100e+01
700,6.6201479498538325e+14,1.4820867695344100e+01
800,6.6201479498538325e+14,1.4820867695344100e+01
900,3.9960644450917988e+14,1.4601632483538447e+01
1000,3.9960644450917988e+14,1.4601632483538447e+01
1100,3.9960644450917988e+14,1.4601632483538447e+01
1200,3.9960644450917988e+14,1.4601632483538447e+01
1300,3.9960644450917988e+14,1.4601632483538447e+01
1400,3.9960644450917988e+14,1.4601632483538447e+01
1500,3.4963504124220975e+14,1.4543614952153161e+01
1600,3.4963504124220975e+14,1.4543614952153161e+01
1700,1.6932770708390344e+14,1.4228728027507120e+01
1800,1.6932770708390344e+14,1.4228728027507120e+01
1900,1.2864865352055891e+14,1.4109405245100183e+01
2000,1.1158944371715091e+14,1.4047623112592323e+01
2100,1.1158944371715091e+14,1.4047623112592323e+01
2200,1.1158944371715091e+14,1.4047623112592323e+01
2300,1.0527772856292086e+14,1.4022336506178398e+01
2400,1.0527772856292086e+14,1.4022336506178398e+01
2500,6.8496796814799094e+13,1.3835670262613826e+01
2600,6.8496796814799094e+13,1.3835670262613826e+01
2700,6.5159366491364852e+13,1.3813976853250930e+01
2800,6.5159366491364852e+13,1.3813976853250930e+01
2900,6.0486940369374656e+13,1.3781661617003570e+01
3000,6.0486940369374656e+13,1.3781661617003570e+01
3100,5.8230161430432633e+13,1.3765147994096500e+01
3200,5.8230161430432633e+13,1.3765147994096500e+01
3300,5.7738679094274164e+13,1.3761466844168364e+01
3400,4.6975576474912844e+13,1.3671872118380598e+01
3500,4.6257651787919969e+13,1.3665183582575693e+01
3600,4.1035687553673578e+13,1.3613161714431982e+01
3700,4.1035687553673578e+13,1.3613161714431982e+01
3800,3.8678515452604391e+13,1.3587469796767872e+01
3900,3.2414117952766383e+13,1.3510734208155233e+01
4000,3.2414117952766383e+13,1.3510734208155233e+01
4100,3.2414117952766383e+13,1.3510734208155233e+01
4200,2.8040312629186316e+13,1.3447782851390684e+01
4300,2.3909436638170961e+13,1.3378569343250192e+01
4400,2.3909436638170961e+13,1.3378569343250192e+01
4500,2.3909436638170961e+13,1.3378569343250192e+01
4600,2.2473311126498234e+13,1.3351667064320644e+01
4700,2.2473311126498234e+13,1.3351667064320644e+01
4800,2.2036074340794566e+13,1.3343134228837533e+01
4900,2.0305270632111426e+13,1.3307608782215583e+01
5000,1.8560599616698199e+13,1.3268592002379441e+01
5100,1.8560599616698199e+13,1.3268592002379441e+01
5200,1.6946345246633875e+13,1.3229076050010239e+01
5300,1.6290475207815477e+13,1.3211933753253987e+01
5400,1.6290475207815477e+13,1.3211933753253987e+01
5500,1.5147806617220432e+13,1.3180349752112232e+01
5600,1.5147806617220432e+13,1.3180349752112232e+01
5700,1.5147806617220432e+13,1.3180349752112232e+01
5800,1.4380037067982975e+13,1.3157760005546148e+01
5900,1.4380037067982975e+13,1.3157760005546148e+01
6000,1.4380037067982975e+13,1.3157760005546148e+01
6100,1.4380037067982975e+13,1.3157760005546148e+01
6200,1.3968097582781760e+13,1.3145137260404708e+01
