Run,Seed,E30000,E60000,E90000,E150000,E300000,E600000,E900000,E1200000,E1500000,E1800000,E2100000,E2400000,E2700000,E3000000
1,1030243955,1149875721.095841,965053064.8546934,931027862.9933258,831404678.0709102,785686466.176832,730870565.8098043,295269703.3449693,291112984.4486536,289780570.6314948,288822264.5590776,287529038.8551759,285812553.3478375,283993703.38572,281868866.8685718
2,1031243992,1092702351.287714,929344291.9028115,819003202.0358967,736299022.9403827,672453103.5460657,140779499.6565293,138633861.5491273,138010069.811243,137866438.0871997,137788706.2522325,137729763.2114898,137555562.1606637,137386833.2302142,137319148.4694481
3,1032244029,1221764648.675443,993908994.1952205,879312026.3386248,782666488.9744332,764726868.4463336,233575761.3847064,229296499.5171034,228261739.57596,228066111.9856374,227967947.4440336,227932752.3231362,227659303.0940943,227601467.3174151,227537809.2980435
4,1033244066,1210845457.658587,979507815.7893574,929258802.8294607,864695247.3244232,775830695.4545139,261712067.867891,236811908.6277604,234864440.6743455,234533043.8385106,234455978.4240363,234390148.8391095,234172356.606533,234135111.7249082,234102304.538169
5,1034244103,1174233364.330733,965343378.4196953,815657823.7273614,780780761.1667261,720609173.2959577,207483725.6064319,205515253.0583041,205122601.7795028,205030269.3762673,204999724.3651758,204962364.5921841,204781848.4819296,204752075.7821975,204714398.3494093
6,1035244140,1298521786.580019,1041775307.369062,989899257.5665585,865532821.2646507,269316065.278048,254838035.4115726,254007734.5083707,253692204.9116234,253584515.0886388,253533778.0854377,253487795.9046743,252906234.3673984,252774987.6535335,252619867.2452724
7,1036244177,1186213985.811299,1048048405.0221,1007282636.553075,933505116.5100436,791354527.6432706,245201808.9586509,233452006.6927468,231055610.7017303,230717665.4652071,230625133.4372747,230555549.2101578,230394416.3420868,230269019.1539024,230181167.863678
8,1037244214,1120181195.565099,878063332.9130198,843806106.4290432,789666275.9804714,714488449.1264755,256081221.3573877,246091575.9952416,245032760.9975567,244824014.5073196,244712328.0800797,244633633.811244,244558396.8711703,244524548.3033746,244465984.2393145
9,1038244251,1233872624.879484,1022186982.84345,970708662.254086,876532491.5172132,752597293.8817947,296544151.9921468,295542203.3856987,295387097.7171438,295343502.0297347,295309868.0750135,295280333.9505921,295230544.564326,295203574.6821861,295190245.968077
10,1039244288,1233922857.448101,1032831521.70826,934413873.5369203,869242929.0099866,740805594.4846849,229191735.6519958,227261089.8691577,226817717.5670946,226769616.5692392,226752236.0777482,226711858.8209166,226671250.4233818,226646749.5193107,226616529.2285058
