==============================================================================================================
DETAILED PER-RUN LOG   EGSK   CEC2013LSGO   D1000
runs per function : 25
functions         : [7 8 9 10 11 12 15]
statistics basis  : raw objective
generated         : 2026-07-24_21.25.43
==============================================================================================================

----- F7  D1000  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      1028243889    3.4831304753277853e+07   nan                      3000000       max_evaluations         552.3593  
2      1029243926    4.4435178142553516e+07   nan                      3000000       max_evaluations         551.9148  
3      1030243963    5.3198553062658548e+07   nan                      3000000       max_evaluations         590.4498  
4      1031244000    2.3250011583498530e+07   nan                      3000000       max_evaluations         596.0016  
5      1032244037    5.2940910630637817e+07   nan                      3000000       max_evaluations         591.7117  
6      1033244074    1.8563264598035988e+08   nan                      3000000       max_evaluations         548.5820  
7      1034244111    3.8769945659687817e+07   nan                      3000000       max_evaluations         543.9135  
8      1035244148    4.4512517310462438e+07   nan                      3000000       max_evaluations         544.0018  
9      1036244185    3.5793346705006674e+07   nan                      3000000       max_evaluations         588.2798  
10     1037244222    4.3290154870619111e+07   nan                      3000000       max_evaluations         595.2041  
11     1038244259    3.9799352828781955e+07   nan                      3000000       max_evaluations         558.8919  
12     1039244296    3.8487568938270479e+07   nan                      3000000       max_evaluations         601.2569  
13     1040244333    5.6928849359134331e+07   nan                      3000000       max_evaluations         561.7976  
14     1041244370    4.1670088384930104e+07   nan                      3000000       max_evaluations         513.8053  
15     1042244407    2.8870728051177002e+07   nan                      3000000       max_evaluations         512.7844  
16     1043244444    2.7970000465250552e+07   nan                      3000000       max_evaluations         527.3333  
17     1044244481    5.1771912939279906e+07   nan                      3000000       max_evaluations         524.7640  
18     1045244518    1.2505977215516320e+08   nan                      3000000       max_evaluations         526.0099  
19     1046244555    6.6697346310990132e+07   nan                      3000000       max_evaluations         528.4875  
20     1047244592    2.9499903618580639e+07   nan                      3000000       max_evaluations         523.2898  
21     1048244629    2.7917004750439823e+07   nan                      3000000       max_evaluations         532.1242  
22     1049244666    4.5051657322832979e+07   nan                      3000000       max_evaluations         524.5176  
23     1050244703    3.9165641736033335e+07   nan                      3000000       max_evaluations         526.3018  
24     1051244740    5.4042905678512193e+07   nan                      3000000       max_evaluations         522.3596  
25     1052244777    7.3119808403256088e+07   nan                      3000000       max_evaluations         523.2751  

