==============================================================================================================
DETAILED PER-RUN LOG   EGSK   CEC2013LSGO   D905
runs per function : 25
functions         : [13]
statistics basis  : raw objective
generated         : 2026-07-24_20.17.35
==============================================================================================================

----- F13  D905  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      939243802     5.9237371767144117e+09   nan                      3000000       max_evaluations         1231.5377 
2      940243839     4.8105497282375450e+09   nan                      3000000       max_evaluations         1156.1535 
3      941243876     5.2688645324953232e+09   nan                      3000000       max_evaluations         1153.6843 
4      942243913     5.7134446024035130e+09   nan                      3000000       max_evaluations         1171.6617 
5      943243950     5.9107119854643679e+09   nan                      3000000       max_evaluations         1152.5681 
6      944243987     6.1554232118881226e+09   nan                      3000000       max_evaluations         1166.6565 
7      945244024     4.9632864907543993e+09   nan                      3000000       max_evaluations         1171.4165 
8      946244061     4.2617932516456776e+09   nan                      3000000       max_evaluations         1155.3076 
9      947244098     5.0835280559002466e+09   nan                      3000000       max_evaluations         1250.4826 
10     948244135     5.5042073791691475e+09   nan                      3000000       max_evaluations         1234.0236 
11     949244172     5.0500606492047062e+09   nan                      3000000       max_evaluations         1234.5123 
12     950244209     6.8376264779268045e+09   nan                      3000000       max_evaluations         1219.6733 
13     951244246     6.4157393369935713e+09   nan                      3000000       max_evaluations         1220.5006 
14     952244283     6.9155086649208279e+09   nan                      3000000       max_evaluations         1100.2547 
15     953244320     4.2641953536555624e+09   nan                      3000000       max_evaluations         1107.5285 
16     954244357     4.8308247399458580e+09   nan                      3000000       max_evaluations         1102.4941 
17     955244394     7.6354576708151360e+09   nan                      3000000       max_evaluations         1100.5963 
18     956244431     5.4350986780940304e+09   nan                      3000000       max_evaluations         1118.1328 
19     957244468     6.3945884348681250e+09   nan                      3000000       max_evaluations         1125.2626 
20     958244505     4.8081684476105766e+09   nan                      3000000       max_evaluations         1112.7993 
21     959244542     5.4480927535017672e+09   nan                      3000000       max_evaluations         1129.4350 
22     960244579     5.1570157806737337e+09   nan                      3000000       max_evaluations         1140.9837 
23     961244616     4.4976187706314564e+09   nan                      3000000       max_evaluations         1126.3797 
24     962244653     5.2204332743368435e+09   nan                      3000000       max_evaluations         1135.0494 
25     963244690     7.1689314119948750e+09   nan                      3000000       max_evaluations         1131.7747 

