==============================================================================================================
DETAILED PER-RUN LOG   EGSK   CEC2013LSGO   D905
runs per function : 25
functions         : [13 14]
statistics basis  : raw objective
generated         : 2026-07-24_21.25.43
==============================================================================================================

----- F13  D905  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      939243802     5.9237371767144117e+09   nan                      3000000       max_evaluations         1231.5377 
2      940243839     4.8105497282375450e+09   nan                      3000000       max_evaluations         1156.1535 
3      941243876     5.2688645324953232e+09   nan                      3000000       max_evaluations         1153.6843 
4      942243913     5.7134446024035130e+09   nan                      3000000       max_evaluations         1171.6617 
5      943243950     5.9107119854643679e+09   nan                      3000000       max_evaluations         1152.5681 
6      944243987     6.1554232118881226e+09   nan                      3000000       max_evaluations         1166.6565 
7      945244024     4.9632864907543993e+09   nan                      3000000       max_evaluations         1171.4165 
8      946244061     4.2617932516456776e+09   nan                      3000000       max_evaluations         1155.3076 
9      947244098     5.0835280559002466e+09   nan                      3000000       max_evaluations         1250.4826 
10     948244135     5.5042073791691475e+09   nan                      3000000       max_evaluations         1234.0236 
11     949244172     5.0500606492047062e+09   nan                      3000000       max_evaluations         1234.5123 
12     950244209     6.8376264779268045e+09   nan                      3000000       max_evaluations         1219.6733 
13     951244246     6.4157393369935713e+09   nan                      3000000       max_evaluations         1220.5006 
14     952244283     6.9155086649208279e+09   nan                      3000000       max_evaluations         1100.2547 
15     953244320     4.2641953536555624e+09   nan                      3000000       max_evaluations         1107.5285 
16     954244357     4.8308247399458580e+09   nan                      3000000       max_evaluations         1102.4941 
17     955244394     7.6354576708151360e+09   nan                      3000000       max_evaluations         1100.5963 
18     956244431     5.4350986780940304e+09   nan                      3000000       max_evaluations         1118.1328 
19     957244468     6.3945884348681250e+09   nan                      3000000       max_evaluations         1125.2626 
20     958244505     4.8081684476105766e+09   nan                      3000000       max_evaluations         1112.7993 
21     959244542     5.4480927535017672e+09   nan                      3000000       max_evaluations         1129.4350 
22     960244579     5.1570157806737337e+09   nan                      3000000       max_evaluations         1140.9837 
23     961244616     4.4976187706314564e+09   nan                      3000000       max_evaluations         1126.3797 
24     962244653     5.2204332743368435e+09   nan                      3000000       max_evaluations         1135.0494 
25     963244690     7.1689314119948750e+09   nan                      3000000       max_evaluations         1131.7747 

----- F14  D905  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      940243835     9.3730584575620453e+10   nan                      3000000       max_evaluations         1233.5598 
2      941243872     4.6061149851348473e+10   nan                      3000000       max_evaluations         1140.0217 
3      942243909     5.8828224835390755e+10   nan                      3000000       max_evaluations         1142.3403 
4      943243946     1.4018000393897003e+11   nan                      3000000       max_evaluations         1137.8158 
5      944243983     1.3555909570408572e+11   nan                      3000000       max_evaluations         1141.4329 
6      945244020     1.0086872120195555e+11   nan                      3000000       max_evaluations         1154.5772 
7      946244057     8.9252855138191208e+10   nan                      3000000       max_evaluations         1166.7583 
8      947244094     6.7845302151330666e+10   nan                      3000000       max_evaluations         1174.3285 
9      948244131     1.1078468348222839e+11   nan                      3000000       max_evaluations         1203.5141 
10     949244168     9.5780906048253906e+10   nan                      3000000       max_evaluations         1203.3235 
11     950244205     6.6443171778445534e+10   nan                      3000000       max_evaluations         1233.5532 
12     951244242     9.3509430945496414e+10   nan                      3000000       max_evaluations         1235.2889 
13     952244279     8.0718788266156677e+10   nan                      3000000       max_evaluations         1231.4774 
14     953244316     1.4075003204864413e+11   nan                      3000000       max_evaluations         1072.8467 
15     954244353     1.1628038535643848e+11   nan                      3000000       max_evaluations         1070.9117 
16     955244390     1.2123819800677200e+11   nan                      3000000       max_evaluations         1073.0107 
17     956244427     1.2002997741715892e+11   nan                      3000000       max_evaluations         1067.3897 
18     957244464     9.0720711545608261e+10   nan                      3000000       max_evaluations         1074.8156 
19     958244501     1.0137561655396931e+11   nan                      3000000       max_evaluations         1090.6343 
20     959244538     1.3502539450668280e+11   nan                      3000000       max_evaluations         1087.8055 
21     960244575     1.3177674244530898e+11   nan                      3000000       max_evaluations         1109.3018 
22     961244612     9.2910282950769989e+10   nan                      3000000       max_evaluations         1107.9385 
23     962244649     8.3783575065882980e+10   nan                      3000000       max_evaluations         1108.2459 
24     963244686     7.9810261130322006e+10   nan                      3000000       max_evaluations         1111.8462 
25     964244723     1.1451299877428191e+11   nan                      3000000       max_evaluations         1110.6080 

