Function,Best,Median,Mean,Worst,SD
1,2.0007047469E+07,9.2342486181E+07,3.2569498555E+08,1.4027587865E+09,4.1174402642E+08
2,2.4505072421E+04,2.8706304803E+04,2.8382243711E+04,3.0780719625E+04,1.8036719845E+03
3,2.0345890214E+01,2.0586395363E+01,2.0586796939E+01,2.0828868421E+01,1.1000025952E-01
4,5.2788871245E+10,8.2783136201E+10,9.3988740289E+10,1.9017923157E+11,3.9200974569E+10
5,1.4727031383E+06,2.2314081777E+06,2.1407219000E+06,3.0279571838E+06,4.1319917025E+05
6,1.0532296294E+06,1.0591484829E+06,1.0583566345E+06,1.0612189243E+06,1.9259027624E+03
7,2.3250011583E+07,4.3290154871E+07,5.2108284386E+07,1.8563264598E+08,3.4451647641E+07
8,2.2878120761E+13,8.4050031826E+13,9.6582446289E+13,3.3027625261E+14,6.2812358409E+13
9,1.3731914847E+08,2.3410230454E+08,2.3747382011E+08,3.2436766751E+08,3.9269024439E+07
10,9.3238067332E+07,9.3947029789E+07,9.3920609083E+07,9.4247826930E+07,2.6235802839E+05
11,2.4625060882E+10,6.2668411689E+10,7.2865741193E+10,1.5158627552E+11,3.6417755779E+10
12,6.0425412030E+09,1.0646008160E+10,1.2392997306E+10,2.3580777478E+10,5.1203146666E+09
15,5.2838996424E+06,6.6945266824E+06,6.9110912782E+06,8.9988415681E+06,9.9099234201E+05
