optimizer,suite,function,dimension,run,seed,best_fitness,error,nfes,termination,runtime_seconds
egsk,cec2013lsgo,1,1000,1,1022243691,8.2072377248e+07,NaN,3000000,max_evaluations,720.197729
egsk,cec2013lsgo,1,1000,2,1023243728,5.3739430523e+07,NaN,3000000,max_evaluations,660.286276
egsk,cec2013lsgo,1,1000,3,1024243765,1.4027587865e+09,NaN,3000000,max_evaluations,646.259258
egsk,cec2013lsgo,1,1000,4,1025243802,7.1094577926e+07,NaN,3000000,max_evaluations,661.288560
egsk,cec2013lsgo,1,1000,5,1026243839,8.6964652960e+07,NaN,3000000,max_evaluations,643.261401
egsk,cec2013lsgo,1,1000,6,1027243876,3.2498514510e+08,NaN,3000000,max_evaluations,666.776100
egsk,cec2013lsgo,1,1000,7,1028243913,7.9038788588e+07,NaN,3000000,max_evaluations,649.615454
egsk,cec2013lsgo,1,1000,8,1029243950,1.1009579000e+08,NaN,3000000,max_evaluations,668.188809
egsk,cec2013lsgo,1,1000,9,1030243987,2.0007047469e+07,NaN,3000000,max_evaluations,700.003177
egsk,cec2013lsgo,1,1000,10,1031244024,6.0027459788e+07,NaN,3000000,max_evaluations,718.490062
egsk,cec2013lsgo,1,1000,11,1032244061,1.9753341529e+08,NaN,3000000,max_evaluations,719.800058
egsk,cec2013lsgo,1,1000,12,1033244098,2.0158107697e+08,NaN,3000000,max_evaluations,718.509691
egsk,cec2013lsgo,1,1000,13,1034244135,7.6509024630e+07,NaN,3000000,max_evaluations,733.595921
egsk,cec2013lsgo,1,1000,14,1035244172,8.5630638388e+07,NaN,3000000,max_evaluations,653.859676
egsk,cec2013lsgo,1,1000,15,1036244209,7.7429199552e+07,NaN,3000000,max_evaluations,656.212486
egsk,cec2013lsgo,1,1000,16,1037244246,7.3964911578e+08,NaN,3000000,max_evaluations,642.764602
egsk,cec2013lsgo,1,1000,17,1038244283,9.2342486181e+07,NaN,3000000,max_evaluations,649.515773
egsk,cec2013lsgo,1,1000,18,1039244320,8.4200455959e+08,NaN,3000000,max_evaluations,651.760718
egsk,cec2013lsgo,1,1000,19,1040244357,1.0603250389e+08,NaN,3000000,max_evaluations,659.246901
egsk,cec2013lsgo,1,1000,20,1041244394,8.5206898450e+07,NaN,3000000,max_evaluations,652.053749
egsk,cec2013lsgo,1,1000,21,1042244431,7.4026107315e+07,NaN,3000000,max_evaluations,661.915781
egsk,cec2013lsgo,1,1000,22,1043244468,9.8545104034e+08,NaN,3000000,max_evaluations,657.576771
egsk,cec2013lsgo,1,1000,23,1044244505,1.0784087023e+09,NaN,3000000,max_evaluations,660.097562
egsk,cec2013lsgo,1,1000,24,1045244542,1.0229223025e+09,NaN,3000000,max_evaluations,659.894484
egsk,cec2013lsgo,1,1000,25,1046244579,1.8686351140e+08,NaN,3000000,max_evaluations,666.727242
egsk,cec2013lsgo,2,1000,1,1023243724,2.5887370079e+04,NaN,3000000,max_evaluations,2647.787178
egsk,cec2013lsgo,2,1000,2,1024243761,2.9383899398e+04,NaN,3000000,max_evaluations,4367.762461
egsk,cec2013lsgo,2,1000,3,1025243798,2.9539123240e+04,NaN,3000000,max_evaluations,4414.246307
egsk,cec2013lsgo,2,1000,4,1026243835,2.7734363968e+04,NaN,3000000,max_evaluations,4496.836050
egsk,cec2013lsgo,2,1000,5,1027243872,2.5724733399e+04,NaN,3000000,max_evaluations,4353.691533
egsk,cec2013lsgo,2,1000,6,1028243909,2.6492740854e+04,NaN,3000000,max_evaluations,4411.145840
egsk,cec2013lsgo,2,1000,7,1029243946,2.8706304803e+04,NaN,3000000,max_evaluations,4283.028849
egsk,cec2013lsgo,2,1000,8,1030243983,2.7003249999e+04,NaN,3000000,max_evaluations,4388.074769
egsk,cec2013lsgo,2,1000,9,1031244020,2.6202221421e+04,NaN,3000000,max_evaluations,4681.929639
egsk,cec2013lsgo,2,1000,10,1032244057,3.0362544340e+04,NaN,3000000,max_evaluations,3945.485803
egsk,cec2013lsgo,2,1000,11,1033244094,2.4505072421e+04,NaN,3000000,max_evaluations,4745.924770
egsk,cec2013lsgo,2,1000,12,1034244131,2.8118512197e+04,NaN,3000000,max_evaluations,4665.644811
egsk,cec2013lsgo,2,1000,13,1035244168,2.8128169716e+04,NaN,3000000,max_evaluations,4787.338280
egsk,cec2013lsgo,2,1000,14,1036244205,2.6507712966e+04,NaN,3000000,max_evaluations,4237.530350
egsk,cec2013lsgo,2,1000,15,1037244242,2.9758988710e+04,NaN,3000000,max_evaluations,4108.768331
egsk,cec2013lsgo,2,1000,16,1038244279,2.9223812609e+04,NaN,3000000,max_evaluations,3907.568671
egsk,cec2013lsgo,2,1000,17,1039244316,3.0780719625e+04,NaN,3000000,max_evaluations,3864.912507
egsk,cec2013lsgo,2,1000,18,1040244353,3.0565724002e+04,NaN,3000000,max_evaluations,3830.199554
egsk,cec2013lsgo,2,1000,19,1041244390,3.0434179847e+04,NaN,3000000,max_evaluations,2390.169000
egsk,cec2013lsgo,2,1000,20,1042244427,3.0232376136e+04,NaN,3000000,max_evaluations,3929.991146
egsk,cec2013lsgo,2,1000,21,1043244464,2.8879475096e+04,NaN,3000000,max_evaluations,3835.987472
egsk,cec2013lsgo,2,1000,22,1044244501,3.0453246968e+04,NaN,3000000,max_evaluations,3847.232118
egsk,cec2013lsgo,2,1000,23,1045244538,2.7181309929e+04,NaN,3000000,max_evaluations,3785.964993
egsk,cec2013lsgo,2,1000,24,1046244575,2.9843690594e+04,NaN,3000000,max_evaluations,2489.469203
egsk,cec2013lsgo,2,1000,25,1047244612,2.7906550448e+04,NaN,3000000,max_evaluations,3716.723777
egsk,cec2013lsgo,3,1000,1,1024243757,2.0519914410e+01,NaN,3000000,max_evaluations,4837.980727
egsk,cec2013lsgo,3,1000,2,1025243794,2.0345890214e+01,NaN,3000000,max_evaluations,4605.364014
egsk,cec2013lsgo,3,1000,3,1026243831,2.0630723563e+01,NaN,3000000,max_evaluations,4853.530998
egsk,cec2013lsgo,3,1000,4,1027243868,2.0508988307e+01,NaN,3000000,max_evaluations,4850.343099
egsk,cec2013lsgo,3,1000,5,1028243905,2.0633241513e+01,NaN,3000000,max_evaluations,4843.608814
egsk,cec2013lsgo,3,1000,6,1029243942,2.0599106173e+01,NaN,3000000,max_evaluations,4491.145687
egsk,cec2013lsgo,3,1000,7,1030243979,2.0584706060e+01,NaN,3000000,max_evaluations,4438.299932
egsk,cec2013lsgo,3,1000,8,1031244016,2.0594779649e+01,NaN,3000000,max_evaluations,4461.901206
egsk,cec2013lsgo,3,1000,9,1032244053,2.0710642255e+01,NaN,3000000,max_evaluations,4403.770475
egsk,cec2013lsgo,3,1000,10,1033244090,2.0493790229e+01,NaN,3000000,max_evaluations,4545.112829
egsk,cec2013lsgo,3,1000,11,1034244127,2.0828868421e+01,NaN,3000000,max_evaluations,4503.500205
egsk,cec2013lsgo,3,1000,12,1035244164,2.0425381309e+01,NaN,3000000,max_evaluations,4851.723844
egsk,cec2013lsgo,3,1000,13,1036244201,2.0520820272e+01,NaN,3000000,max_evaluations,4843.798066
egsk,cec2013lsgo,3,1000,14,1037244238,2.0459742121e+01,NaN,3000000,max_evaluations,4388.644469
egsk,cec2013lsgo,3,1000,15,1038244275,2.0586395363e+01,NaN,3000000,max_evaluations,4421.723177
egsk,cec2013lsgo,3,1000,16,1039244312,2.0643450677e+01,NaN,3000000,max_evaluations,4533.553157
egsk,cec2013lsgo,3,1000,17,1040244349,2.0475040278e+01,NaN,3000000,max_evaluations,4350.701285
egsk,cec2013lsgo,3,1000,18,1041244386,2.0722829204e+01,NaN,3000000,max_evaluations,4611.076625
egsk,cec2013lsgo,3,1000,19,1042244423,2.0576478324e+01,NaN,3000000,max_evaluations,4484.592682
egsk,cec2013lsgo,3,1000,20,1043244460,2.0586018729e+01,NaN,3000000,max_evaluations,4463.157210
egsk,cec2013lsgo,3,1000,21,1044244497,2.0599742039e+01,NaN,3000000,max_evaluations,4651.889433
egsk,cec2013lsgo,3,1000,22,1045244534,2.0663108550e+01,NaN,3000000,max_evaluations,4581.134379
egsk,cec2013lsgo,3,1000,23,1046244571,2.0795733397e+01,NaN,3000000,max_evaluations,4558.810007
egsk,cec2013lsgo,3,1000,24,1047244608,2.0629151646e+01,NaN,3000000,max_evaluations,4551.193323
egsk,cec2013lsgo,3,1000,25,1048244645,2.0535380778e+01,NaN,3000000,max_evaluations,4549.079239
egsk,cec2013lsgo,4,1000,1,1025243790,9.5916278264e+10,NaN,3000000,max_evaluations,876.162356
egsk,cec2013lsgo,4,1000,2,1026243827,1.9017923157e+11,NaN,3000000,max_evaluations,832.899279
egsk,cec2013lsgo,4,1000,3,1027243864,7.3109504380e+10,NaN,3000000,max_evaluations,831.928418
egsk,cec2013lsgo,4,1000,4,1028243901,9.1251821287e+10,NaN,3000000,max_evaluations,820.541164
egsk,cec2013lsgo,4,1000,5,1029243938,6.5114135119e+10,NaN,3000000,max_evaluations,826.211415
egsk,cec2013lsgo,4,1000,6,1030243975,9.2905033768e+10,NaN,3000000,max_evaluations,831.311699
egsk,cec2013lsgo,4,1000,7,1031244012,8.1702408584e+10,NaN,3000000,max_evaluations,832.670974
egsk,cec2013lsgo,4,1000,8,1032244049,6.6078422735e+10,NaN,3000000,max_evaluations,826.248282
egsk,cec2013lsgo,4,1000,9,1033244086,1.7739184802e+11,NaN,3000000,max_evaluations,853.719966
egsk,cec2013lsgo,4,1000,10,1034244123,1.2038704949e+11,NaN,3000000,max_evaluations,851.867494
egsk,cec2013lsgo,4,1000,11,1035244160,1.0986641467e+11,NaN,3000000,max_evaluations,859.795801
egsk,cec2013lsgo,4,1000,12,1036244197,5.3336010887e+10,NaN,3000000,max_evaluations,851.595964
egsk,cec2013lsgo,4,1000,13,1037244234,1.0595163006e+11,NaN,3000000,max_evaluations,884.696123
egsk,cec2013lsgo,4,1000,14,1038244271,6.7888107760e+10,NaN,3000000,max_evaluations,768.814058
egsk,cec2013lsgo,4,1000,15,1039244308,5.7994506538e+10,NaN,3000000,max_evaluations,752.663456
egsk,cec2013lsgo,4,1000,16,1040244345,1.2548852695e+11,NaN,3000000,max_evaluations,775.733170
egsk,cec2013lsgo,4,1000,17,1041244382,5.3206845091e+10,NaN,3000000,max_evaluations,780.204452
