Eval,BestError,Log10Error
100,5.6309596016715204e+02,2.7505824115828710e+00
200,5.2544648291922476e+02,2.7205284894290687e+00
300,5.1224788634238200e+02,2.7094801750737521e+00
400,4.8853822508050200e+02,2.6888985502289069e+00
500,4.4207104473714662e+02,2.6454920699325655e+00
600,4.4207104473714662e+02,2.6454920699325655e+00
700,4.4207104473714662e+02,2.6454920699325655e+00
800,4.4207104473714662e+02,2.6454920699325655e+00
900,4.4207104473714662e+02,2.6454920699325655e+00
1000,4.4207104473714662e+02,2.6454920699325655e+00
1100,4.4207104473714662e+02,2.6454920699325655e+00
1200,4.4207104473714662e+02,2.6454920699325655e+00
1300,4.2068232149504769e+02,2.6239542618661336e+00
1400,4.2068232149504769e+02,2.6239542618661336e+00
1500,4.2068232149504769e+02,2.6239542618661336e+00
1600,4.2068232149504769e+02,2.6239542618661336e+00
1700,4.2068232149504769e+02,2.6239542618661336e+00
1800,4.2068232149504769e+02,2.6239542618661336e+00
1900,4.2068232149504769e+02,2.6239542618661336e+00
2000,4.2068232149504769e+02,2.6239542618661336e+00
2100,4.0945744274803468e+02,2.6122087697346550e+00
2200,4.0262542957195268e+02,2.6049012011885155e+00
2300,4.0262542957195268e+02,2.6049012011885155e+00
2400,4.0086783299765472e+02,2.6030012083779819e+00
2500,4.0086783299765472e+02,2.6030012083779819e+00
2600,4.0086783299765472e+02,2.6030012083779819e+00
2700,4.0086783299765472e+02,2.6030012083779819e+00
2800,4.0086783299765472e+02,2.6030012083779819e+00
2900,4.0086783299765472e+02,2.6030012083779819e+00
3000,3.9399879175715159e+02,2.5954948900133750e+00
3100,3.7992616677312998e+02,2.5796992058838319e+00
3200,3.7992616677312998e+02,2.5796992058838319e+00
3300,3.7992616677312998e+02,2.5796992058838319e+00
3400,3.7992616677312998e+02,2.5796992058838319e+00
3500,3.7992616677312998e+02,2.5796992058838319e+00
3600,3.7992616677312998e+02,2.5796992058838319e+00
3700,3.7992616677312998e+02,2.5796992058838319e+00
3800,3.7992616677312998e+02,2.5796992058838319e+00
3900,3.7992616677312998e+02,2.5796992058838319e+00
4000,3.7992616677312998e+02,2.5796992058838319e+00
4100,3.7992616677312998e+02,2.5796992058838319e+00
4200,3.7992616677312998e+02,2.5796992058838319e+00
4300,3.7992616677312998e+02,2.5796992058838319e+00
4400,3.7992616677312998e+02,2.5796992058838319e+00
4500,3.7992616677312998e+02,2.5796992058838319e+00
4600,3.7578086850851099e+02,2.5749346658318721e+00
4700,3.7578086850851099e+02,2.5749346658318721e+00
4800,3.7578086850851099e+02,2.5749346658318721e+00
4900,3.7495727195998143e+02,2.5739817807696839e+00
5000,3.7495727195998143e+02,2.5739817807696839e+00
5100,3.7495727195998143e+02,2.5739817807696839e+00
5200,3.7495727195998143e+02,2.5739817807696839e+00
5300,3.7495727195998143e+02,2.5739817807696839e+00
5400,3.7495727195998143e+02,2.5739817807696839e+00
5500,3.7495727195998143e+02,2.5739817807696839e+00
5600,3.7495727195998143e+02,2.5739817807696839e+00
5700,3.7495727195998143e+02,2.5739817807696839e+00
5800,3.7495727195998143e+02,2.5739817807696839e+00
5900,3.7495727195998143e+02,2.5739817807696839e+00
6000,3.7495727195998143e+02,2.5739817807696839e+00
6100,3.7118836814194401e+02,2.5695943583579277e+00
6200,3.7118836814194401e+02,2.5695943583579277e+00
6300,3.7118836814194401e+02,2.5695943583579277e+00
6400,3.6996033454069129e+02,2.5681551634898603e+00
6500,3.6923341332698902e+02,2.5673009950811925e+00
6600,3.6923341332698902e+02,2.5673009950811925e+00
6700,3.6923341332698902e+02,2.5673009950811925e+00
6800,3.6923341332698902e+02,2.5673009950811925e+00
6900,3.6923341332698902e+02,2.5673009950811925e+00
7000,3.6923341332698902e+02,2.5673009950811925e+00
7100,3.6923341332698902e+02,2.5673009950811925e+00
7200,3.6923341332698902e+02,2.5673009950811925e+00
