==============================================================================================================
DETAILED PER-RUN LOG   EGSK   CEC2020   D10
runs per function : 30
functions         : [1 2 3 4 5 6 7 8 9 10]
statistics basis  : error vs known optimum
generated         : 2026-07-28_18.48.11
==============================================================================================================

----- F1  D10  (30 runs)  optimum=100  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      32240721      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         5.1615    
2      33240758      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         5.2237    
3      34240795      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         5.1932    
4      35240832      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         5.1053    
5      36240869      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         5.1821    
6      37240906      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         5.1185    
7      38240943      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         5.0670    
8      39240980      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         5.1736    
9      40241017      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         5.2373    
10     41241054      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         4.9894    
11     42241091      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         4.9833    
12     43241128      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         5.2260    
13     44241165      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         5.2560    
14     45241202      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         5.3833    
15     46241239      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         5.3836    
16     47241276      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         5.7890    
17     48241313      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         5.5565    
18     49241350      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         5.7913    
19     50241387      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         5.6371    
20     51241424      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         5.8338    
21     52241461      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         5.4654    
22     53241498      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         5.5155    
23     54241535      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         5.5606    
24     55241572      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         5.7116    
25     56241609      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         5.8261    
26     57241646      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         5.7918    
27     58241683      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         5.7630    
28     59241720      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         5.6013    
29     60241757      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         2.8089    
30     61241794      1.0000000000000000e+02   0.0000000000000000e+00   1000000       max_evaluations         2.6141    

----- F2  D10  (30 runs)  optimum=1100  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      33240754      1.3958074303041835e+03   2.9580743030418353e+02   1000000       max_evaluations         4.8386    
2      34240791      1.3006927513714554e+03   2.0069275137145542e+02   1000000       max_evaluations         4.8656    
3      35240828      1.2485525797021305e+03   1.4855257970213052e+02   1000000       max_evaluations         5.1421    
4      36240865      1.1069548302575113e+03   6.9548302575112757e+00   1000000       max_evaluations         5.1040    
5      37240902      1.2829747516083821e+03   1.8297475160838212e+02   1000000       max_evaluations         4.7406    
6      38240939      1.1283113435303494e+03   2.8311343530349404e+01   1000000       max_evaluations         4.9177    
7      39240976      1.1069548302575631e+03   6.9548302575631169e+00   1000000       max_evaluations         4.8917    
8      40241013      1.3939050441177501e+03   2.9390504411775009e+02   1000000       max_evaluations         5.1382    
9      41241050      1.3201026695029032e+03   2.2010266950290315e+02   1000000       max_evaluations         4.8519    
10     42241087      1.1209140820595767e+03   2.0914082059576685e+01   1000000       max_evaluations         4.9447    
11     43241124      1.2305088870224554e+03   1.3050888702245538e+02   1000000       max_evaluations         4.7901    
12     44241161      1.1037896873340087e+03   3.7896873340087041e+00   1000000       max_evaluations         4.8827    
13     45241198      1.1186594465546641e+03   1.8659446554664100e+01   1000000       max_evaluations         4.9292    
14     46241235      1.5507675389212941e+03   4.5076753892129409e+02   1000000       max_evaluations         4.9931    
15     47241272      1.3491966309296663e+03   2.4919663092966630e+02   1000000       max_evaluations         7.4482    
16     48241309      1.1259111481656473e+03   2.5911148165647319e+01   1000000       max_evaluations         7.1689    
17     49241346      1.4511005636809537e+03   3.5110056368095366e+02   1000000       max_evaluations         7.6713    
18     50241383      1.2348873458446019e+03   1.3488734584460190e+02   1000000       max_evaluations         7.2236    
19     51241420      1.1350513944680051e+03   3.5051394468005128e+01   1000000       max_evaluations         10.9356   
20     52241457      1.3284056228748518e+03   2.2840562287485182e+02   1000000       max_evaluations         7.2406    
21     53241494      1.2175226611846297e+03   1.1752266118462967e+02   1000000       max_evaluations         7.3392    
22     54241531      1.2763068444435403e+03   1.7630684444354029e+02   1000000       max_evaluations         7.4686    
23     55241568      1.1782554364335692e+03   7.8255436433569230e+01   1000000       max_evaluations         7.4766    
24     56241605      1.5155260038471024e+03   4.1552600384710240e+02   1000000       max_evaluations         7.2755    
25     57241642      1.7255658941552979e+03   6.2556589415529788e+02   1000000       max_evaluations         7.3679    
26     58241679      1.3167296626116254e+03   2.1672966261162537e+02   1000000       max_evaluations         7.3588    
27     59241716      1.1068299213754299e+03   6.8299213754298762e+00   1000000       max_evaluations         7.1143    
28     60241753      1.1068406669659944e+03   6.8406669659943873e+00   1000000       max_evaluations         7.3250    
