==============================================================================================================
DETAILED PER-RUN LOG   EGSK   CEC2020   D20
runs per function : 30
functions         : [1]
statistics basis  : error vs known optimum
generated         : 2026-07-28_19.42.10
==============================================================================================================

----- F1  D20  (30 runs)  optimum=100  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      42240751      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         65.6106   
2      43240788      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         68.5074   
3      44240825      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         66.9914   
4      45240862      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         67.8002   
5      46240899      1.0000000000000001e+02   0.0000000000000000e+00   10000000      max_evaluations         67.2150   
6      47240936      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         67.6913   
7      48240973      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         68.8383   
8      49241010      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         66.8708   
9      50241047      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         67.0356   
10     51241084      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         67.3030   
11     52241121      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         67.3040   
12     53241158      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         67.0127   
13     54241195      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         66.3030   
14     55241232      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         66.5882   
15     56241269      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         67.6896   
16     57241306      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         67.1759   
17     58241343      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         66.9699   
18     59241380      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         67.6794   
19     60241417      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         68.2628   
20     61241454      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         68.1376   
21     62241491      1.0000000000000001e+02   0.0000000000000000e+00   10000000      max_evaluations         66.8881   
22     63241528      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         68.4208   
23     64241565      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         67.6226   
24     65241602      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         66.8267   
25     66241639      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         67.6776   
26     67241676      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         67.8844   
27     68241713      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         67.6034   
28     69241750      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         67.5787   
29     70241787      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         23.4573   
30     71241824      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         23.5095   

