==============================================================================================================
DETAILED PER-RUN LOG   EGSK   CEC2020   D5
runs per function : 30
functions         : [1 2 3 4 5 8 9 10]
statistics basis  : error vs known optimum
generated         : 2026-07-28_19.42.10
==============================================================================================================

----- F1  D5  (30 runs)  optimum=100  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      27240706      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.1242    
2      28240743      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.1246    
3      29240780      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.1393    
4      30240817      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.1202    
5      31240854      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.1298    
6      32240891      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.1338    
7      33240928      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.1377    
8      34240965      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.1249    
9      35241002      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.1397    
10     36241039      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.1445    
11     37241076      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.1409    
12     38241113      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.1360    
13     39241150      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.1462    
14     40241187      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.1333    
15     41241224      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.1489    
16     42241261      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.1484    
17     43241298      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.1316    
18     44241335      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.1381    
19     45241372      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.1435    
20     46241409      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.1349    
21     47241446      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.1478    
22     48241483      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.1400    
23     49241520      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.1411    
24     50241557      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.1294    
25     51241594      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.1377    
26     52241631      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.1280    
27     53241668      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.1366    
28     54241705      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.1396    
29     55241742      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.0988    
30     56241779      1.0000000000000000e+02   0.0000000000000000e+00   50000         max_evaluations         0.0968    

----- F2  D5  (30 runs)  optimum=1100  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      28240739      1.1389178464409524e+03   3.8917846440952417e+01   50000         max_evaluations         0.1497    
2      29240776      1.1263477569791635e+03   2.6347756979163478e+01   50000         max_evaluations         0.1490    
3      30240813      1.2197549897951842e+03   1.1975498979518420e+02   50000         max_evaluations         0.1376    
4      31240850      1.1915072623168878e+03   9.1507262316887818e+01   50000         max_evaluations         0.1552    
5      32240887      1.1596790897958228e+03   5.9679089795822847e+01   50000         max_evaluations         0.1441    
6      33240924      1.1318911229467649e+03   3.1891122946764881e+01   50000         max_evaluations         0.1535    
7      34240961      1.1256032900762261e+03   2.5603290076226131e+01   50000         max_evaluations         0.1499    
8      35240998      1.1346151141400283e+03   3.4615114140028254e+01   50000         max_evaluations         0.1557    
9      36241035      1.1800511301614499e+03   8.0051130161449919e+01   50000         max_evaluations         0.1528    
10     37241072      1.1154112113558053e+03   1.5411211355805335e+01   50000         max_evaluations         0.1498    
11     38241109      1.1427793851678302e+03   4.2779385167830242e+01   50000         max_evaluations         0.1622    
12     39241146      1.1467330891906718e+03   4.6733089190671762e+01   50000         max_evaluations         0.1395    
13     40241183      1.1208759693226662e+03   2.0875969322666151e+01   50000         max_evaluations         0.1529    
14     41241220      1.1290638931825301e+03   2.9063893182530137e+01   50000         max_evaluations         0.1538    
15     42241257      1.2216417614621641e+03   1.2164176146216414e+02   50000         max_evaluations         0.1461    
16     43241294      1.1418495590799357e+03   4.1849559079935716e+01   50000         max_evaluations         0.1545    
17     44241331      1.1340939965079328e+03   3.4093996507932843e+01   50000         max_evaluations         0.1581    
18     45241368      1.1117299926092287e+03   1.1729992609228702e+01   50000         max_evaluations         0.1569    
19     46241405      1.2074174772795845e+03   1.0741747727958455e+02   50000         max_evaluations         0.1521    
20     47241442      1.1281383725277269e+03   2.8138372527726915e+01   50000         max_evaluations         0.1365    
21     48241479      1.1516830497376188e+03   5.1683049737618830e+01   50000         max_evaluations         0.1530    
22     49241516      1.1183593343618186e+03   1.8359334361818583e+01   50000         max_evaluations         0.1572    
23     50241553      1.1234986066037395e+03   2.3498606603739518e+01   50000         max_evaluations         0.1795    
24     51241590      1.1100455680056393e+03   1.0045568005639325e+01   50000         max_evaluations         0.1803    
25     52241627      1.1132476291868029e+03   1.3247629186802897e+01   50000         max_evaluations         0.1620    
26     53241664      1.1322512174860940e+03   3.2251217486093992e+01   50000         max_evaluations         0.1517    
27     54241701      1.1698573827273940e+03   6.9857382727393997e+01   50000         max_evaluations         0.1670    
28     55241738      1.1069542792048705e+03   6.9542792048705451e+00   50000         max_evaluations         0.1680    
29     56241775      1.1232824789076312e+03   2.3282478907631230e+01   50000         max_evaluations         0.1202    
30     57241812      1.1280965534411544e+03   2.8096553441154356e+01   50000         max_evaluations         0.1087    

----- F3  D5  (30 runs)  optimum=700  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      29240772      7.0585288887621664e+02   5.8528888762166389e+00   50000         max_evaluations         0.4039    
2      30240809      7.0620693689926497e+02   6.2069368992649743e+00   50000         max_evaluations         0.2995    
3      31240846      7.0622298947974014e+02   6.2229894797401357e+00   50000         max_evaluations         0.2839    
4      32240883      7.0564953843802493e+02   5.6495384380249334e+00   50000         max_evaluations         0.3514    
5      33240920      7.0530888731294044e+02   5.3088873129404419e+00   50000         max_evaluations         0.3764    
6      34240957      7.0514822796606131e+02   5.1482279660613131e+00   50000         max_evaluations         0.2746    
7      35240994      7.0541464992354076e+02   5.4146499235407646e+00   50000         max_evaluations         0.3507    
8      36241031      7.0626207585890813e+02   6.2620758589081333e+00   50000         max_evaluations         0.3063    
9      37241068      7.0576869794658830e+02   5.7686979465883041e+00   50000         max_evaluations         0.2972    
10     38241105      7.0540346788463125e+02   5.4034678846312545e+00   50000         max_evaluations         0.4208    
11     39241142      7.0581019778490565e+02   5.8101977849056539e+00   50000         max_evaluations         0.2787    
12     40241179      7.0530888731294181e+02   5.3088873129418062e+00   50000         max_evaluations         0.2959    
13     41241216      7.0514822796606165e+02   5.1482279660616541e+00   50000         max_evaluations         0.3013    
14     42241253      7.0538311648054560e+02   5.3831164805455956e+00   50000         max_evaluations         0.3796    
15     43241290      7.0598752924585676e+02   5.9875292458567628e+00   50000         max_evaluations         0.3043    
16     44241327      7.0539916906102053e+02   5.3991690610205296e+00   50000         max_evaluations         0.2923    
17     45241364      7.0514822796606302e+02   5.1482279660630184e+00   50000         max_evaluations         0.3827    
18     46241401      7.0600358646107361e+02   6.0035864610736098e+00   50000         max_evaluations         0.2875    
19     47241438      7.0549133618079077e+02   5.4913361807907677e+00   50000         max_evaluations         0.3422    
20     48241475      7.0514822796606131e+02   5.1482279660613131e+00   50000         max_evaluations         0.3699    
21     49241512      7.0613256499752879e+02   6.1325649975287888e+00   50000         max_evaluations         0.3194    
22     50241549      7.0580023138651518e+02   5.8002313865151791e+00   50000         max_evaluations         0.3069    
23     51241586      7.0564953843802539e+02   5.6495384380253881e+00   50000         max_evaluations         0.3036    
24     52241623      7.0557530927042023e+02   5.5753092704202345e+00   50000         max_evaluations         0.2700    
25     53241660      7.0535157840425450e+02   5.3515784042544965e+00   50000         max_evaluations         0.2789    
