Function,Best,Median,Mean,Worst,SD
1,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00
2,7.8099156856E+00,4.4341462404E+02,4.3310685453E+02,1.0297808752E+03,3.1160237302E+02
3,2.4184254793E+01,2.6944986493E+01,2.7732412829E+01,4.0951273398E+01,3.4087959374E+00
4,4.8286104854E-01,1.0990204574E+00,1.1058419710E+00,1.8226954360E+00,3.1567108011E-01
5,1.3072147663E+00,1.3760306645E+02,1.3627598274E+02,2.5217245070E+02,8.0159319839E+01
6,2.4571709298E-01,7.2042216589E-01,1.9413344765E+00,1.2970317961E+01,3.2129753234E+00
7,4.8785169561E-01,2.9193250624E+01,5.9402398399E+01,2.1471377494E+02,6.6723325305E+01
8,1.0000000000E+02,1.0056290362E+02,1.1162233718E+02,4.2885445887E+02,5.9920468609E+01
9,3.0000000000E+02,4.0151769839E+02,3.9861009660E+02,4.9283414277E+02,4.4917561897E+01
10,3.9932439020E+02,4.0825162080E+02,4.1891069372E+02,5.0329084950E+02,2.5217414546E+01
