optimizer,suite,function,dimension,run,seed,best_fitness,error,nfes,termination,runtime_seconds
egsk,cec2020,1,5,1,27240706,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.124155
egsk,cec2020,1,5,2,28240743,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.124645
egsk,cec2020,1,5,3,29240780,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.139328
egsk,cec2020,1,5,4,30240817,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.120163
egsk,cec2020,1,5,5,31240854,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.129787
egsk,cec2020,1,5,6,32240891,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.133757
egsk,cec2020,1,5,7,33240928,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.137744
egsk,cec2020,1,5,8,34240965,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.124919
egsk,cec2020,1,5,9,35241002,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.139735
egsk,cec2020,1,5,10,36241039,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.144492
egsk,cec2020,1,5,11,37241076,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.140909
egsk,cec2020,1,5,12,38241113,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.135976
egsk,cec2020,1,5,13,39241150,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.146240
egsk,cec2020,1,5,14,40241187,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.133319
egsk,cec2020,1,5,15,41241224,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.148913
egsk,cec2020,1,5,16,42241261,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.148410
egsk,cec2020,1,5,17,43241298,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.131629
egsk,cec2020,1,5,18,44241335,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.138077
egsk,cec2020,1,5,19,45241372,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.143468
egsk,cec2020,1,5,20,46241409,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.134867
egsk,cec2020,1,5,21,47241446,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.147771
egsk,cec2020,1,5,22,48241483,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.140005
egsk,cec2020,1,5,23,49241520,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.141109
egsk,cec2020,1,5,24,50241557,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.129417
egsk,cec2020,1,5,25,51241594,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.137729
egsk,cec2020,1,5,26,52241631,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.128027
egsk,cec2020,1,5,27,53241668,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.136558
egsk,cec2020,1,5,28,54241705,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.139610
egsk,cec2020,1,5,29,55241742,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.098816
egsk,cec2020,1,5,30,56241779,1.0000000000e+02,0.0000000000e+00,50000,max_evaluations,0.096839
egsk,cec2020,2,5,1,28240739,1.1389178464e+03,3.8917846441e+01,50000,max_evaluations,0.149685
egsk,cec2020,2,5,2,29240776,1.1263477570e+03,2.6347756979e+01,50000,max_evaluations,0.148988
egsk,cec2020,2,5,3,30240813,1.2197549898e+03,1.1975498980e+02,50000,max_evaluations,0.137567
egsk,cec2020,2,5,4,31240850,1.1915072623e+03,9.1507262317e+01,50000,max_evaluations,0.155159
egsk,cec2020,2,5,5,32240887,1.1596790898e+03,5.9679089796e+01,50000,max_evaluations,0.144078
egsk,cec2020,2,5,6,33240924,1.1318911229e+03,3.1891122947e+01,50000,max_evaluations,0.153515
egsk,cec2020,2,5,7,34240961,1.1256032901e+03,2.5603290076e+01,50000,max_evaluations,0.149880
egsk,cec2020,2,5,8,35240998,1.1346151141e+03,3.4615114140e+01,50000,max_evaluations,0.155748
egsk,cec2020,2,5,9,36241035,1.1800511302e+03,8.0051130161e+01,50000,max_evaluations,0.152756
egsk,cec2020,2,5,10,37241072,1.1154112114e+03,1.5411211356e+01,50000,max_evaluations,0.149843
egsk,cec2020,2,5,11,38241109,1.1427793852e+03,4.2779385168e+01,50000,max_evaluations,0.162168
egsk,cec2020,2,5,12,39241146,1.1467330892e+03,4.6733089191e+01,50000,max_evaluations,0.139492
egsk,cec2020,2,5,13,40241183,1.1208759693e+03,2.0875969323e+01,50000,max_evaluations,0.152912
egsk,cec2020,2,5,14,41241220,1.1290638932e+03,2.9063893183e+01,50000,max_evaluations,0.153797
egsk,cec2020,2,5,15,42241257,1.2216417615e+03,1.2164176146e+02,50000,max_evaluations,0.146126
egsk,cec2020,2,5,16,43241294,1.1418495591e+03,4.1849559080e+01,50000,max_evaluations,0.154527
egsk,cec2020,2,5,17,44241331,1.1340939965e+03,3.4093996508e+01,50000,max_evaluations,0.158079
egsk,cec2020,2,5,18,45241368,1.1117299926e+03,1.1729992609e+01,50000,max_evaluations,0.156940
egsk,cec2020,2,5,19,46241405,1.2074174773e+03,1.0741747728e+02,50000,max_evaluations,0.152137
egsk,cec2020,2,5,20,47241442,1.1281383725e+03,2.8138372528e+01,50000,max_evaluations,0.136516
egsk,cec2020,2,5,21,48241479,1.1516830497e+03,5.1683049738e+01,50000,max_evaluations,0.153013
egsk,cec2020,2,5,22,49241516,1.1183593344e+03,1.8359334362e+01,50000,max_evaluations,0.157234
egsk,cec2020,2,5,23,50241553,1.1234986066e+03,2.3498606604e+01,50000,max_evaluations,0.179453
egsk,cec2020,2,5,24,51241590,1.1100455680e+03,1.0045568006e+01,50000,max_evaluations,0.180267
egsk,cec2020,2,5,25,52241627,1.1132476292e+03,1.3247629187e+01,50000,max_evaluations,0.162038
egsk,cec2020,2,5,26,53241664,1.1322512175e+03,3.2251217486e+01,50000,max_evaluations,0.151719
egsk,cec2020,2,5,27,54241701,1.1698573827e+03,6.9857382727e+01,50000,max_evaluations,0.167031
egsk,cec2020,2,5,28,55241738,1.1069542792e+03,6.9542792049e+00,50000,max_evaluations,0.168038
egsk,cec2020,2,5,29,56241775,1.1232824789e+03,2.3282478908e+01,50000,max_evaluations,0.120237
egsk,cec2020,2,5,30,57241812,1.1280965534e+03,2.8096553441e+01,50000,max_evaluations,0.108735
egsk,cec2020,3,5,1,29240772,7.0585288888e+02,5.8528888762e+00,50000,max_evaluations,0.403945
egsk,cec2020,3,5,2,30240809,7.0620693690e+02,6.2069368993e+00,50000,max_evaluations,0.299462
egsk,cec2020,3,5,3,31240846,7.0622298948e+02,6.2229894797e+00,50000,max_evaluations,0.283898
egsk,cec2020,3,5,4,32240883,7.0564953844e+02,5.6495384380e+00,50000,max_evaluations,0.351424
egsk,cec2020,3,5,5,33240920,7.0530888731e+02,5.3088873129e+00,50000,max_evaluations,0.376355
egsk,cec2020,3,5,6,34240957,7.0514822797e+02,5.1482279661e+00,50000,max_evaluations,0.274572
egsk,cec2020,3,5,7,35240994,7.0541464992e+02,5.4146499235e+00,50000,max_evaluations,0.350694
egsk,cec2020,3,5,8,36241031,7.0626207586e+02,6.2620758589e+00,50000,max_evaluations,0.306302
egsk,cec2020,3,5,9,37241068,7.0576869795e+02,5.7686979466e+00,50000,max_evaluations,0.297175
egsk,cec2020,3,5,10,38241105,7.0540346788e+02,5.4034678846e+00,50000,max_evaluations,0.420793
egsk,cec2020,3,5,11,39241142,7.0581019778e+02,5.8101977849e+00,50000,max_evaluations,0.278700
egsk,cec2020,3,5,12,40241179,7.0530888731e+02,5.3088873129e+00,50000,max_evaluations,0.295943
egsk,cec2020,3,5,13,41241216,7.0514822797e+02,5.1482279661e+00,50000,max_evaluations,0.301347
egsk,cec2020,3,5,14,42241253,7.0538311648e+02,5.3831164805e+00,50000,max_evaluations,0.379620
egsk,cec2020,3,5,15,43241290,7.0598752925e+02,5.9875292459e+00,50000,max_evaluations,0.304342
egsk,cec2020,3,5,16,44241327,7.0539916906e+02,5.3991690610e+00,50000,max_evaluations,0.292272
egsk,cec2020,3,5,17,45241364,7.0514822797e+02,5.1482279661e+00,50000,max_evaluations,0.382672
egsk,cec2020,3,5,18,46241401,7.0600358646e+02,6.0035864611e+00,50000,max_evaluations,0.287524
egsk,cec2020,3,5,19,47241438,7.0549133618e+02,5.4913361808e+00,50000,max_evaluations,0.342248
egsk,cec2020,3,5,20,48241475,7.0514822797e+02,5.1482279661e+00,50000,max_evaluations,0.369870
egsk,cec2020,3,5,21,49241512,7.0613256500e+02,6.1325649975e+00,50000,max_evaluations,0.319420
egsk,cec2020,3,5,22,50241549,7.0580023139e+02,5.8002313865e+00,50000,max_evaluations,0.306904
egsk,cec2020,3,5,23,51241586,7.0564953844e+02,5.6495384380e+00,50000,max_evaluations,0.303639
egsk,cec2020,3,5,24,52241623,7.0557530927e+02,5.5753092704e+00,50000,max_evaluations,0.270047
egsk,cec2020,3,5,25,53241660,7.0535157840e+02,5.3515784043e+00,50000,max_evaluations,0.278946
egsk,cec2020,3,5,26,54241697,7.0622241776e+02,6.2224177603e+00,50000,max_evaluations,0.300462
egsk,cec2020,3,5,27,55241734,7.0635232858e+02,6.3523285832e+00,50000,max_evaluations,0.295992
egsk,cec2020,3,5,28,56241771,7.0514822797e+02,5.1482279661e+00,50000,max_evaluations,0.346811
egsk,cec2020,3,5,29,57241808,7.0632189326e+02,6.3218932626e+00,50000,max_evaluations,0.226182
egsk,cec2020,3,5,30,58241845,7.0514822797e+02,5.1482279661e+00,50000,max_evaluations,0.240639
egsk,cec2020,4,5,1,30240805,1.9000000001e+03,9.6279791251e-08,50000,max_evaluations,0.287678
