Eval,BestError,Log10Error
100,1.1533966611436119e+05,5.0619786898796262e+00
200,1.1440001731575000e+05,5.0584260901924436e+00
300,1.1410683250418163e+05,5.0573116499398898e+00
400,9.9593458164124837e+04,4.9982308125549348e+00
500,9.9593458164124837e+04,4.9982308125549348e+00
600,9.9593458164124837e+04,4.9982308125549348e+00
700,9.9593458164124837e+04,4.9982308125549348e+00
800,9.9593458164124837e+04,4.9982308125549348e+00
900,9.9593458164124837e+04,4.9982308125549348e+00
1000,9.9593458164124837e+04,4.9982308125549348e+00
1100,9.9593458164124837e+04,4.9982308125549348e+00
1200,9.9593458164124837e+04,4.9982308125549348e+00
1300,9.8440094142830872e+04,4.9931720203669334e+00
1400,9.1092820132058012e+04,4.9594841475557541e+00
1500,9.1092820132058012e+04,4.9594841475557541e+00
1600,9.1092820132058012e+04,4.9594841475557541e+00
1700,9.1092820132058012e+04,4.9594841475557541e+00
1800,9.1092820132058012e+04,4.9594841475557541e+00
1900,9.1092820132058012e+04,4.9594841475557541e+00
2000,8.9828507662006348e+04,4.9534141847245685e+00
2100,8.9828507662006348e+04,4.9534141847245685e+00
2200,8.9828507662006348e+04,4.9534141847245685e+00
2300,8.9828507662006348e+04,4.9534141847245685e+00
2400,8.9828507662006348e+04,4.9534141847245685e+00
2500,8.6940080015934625e+04,4.9392200355610854e+00
2600,7.5400664335082969e+04,4.8773751723391330e+00
2700,7.5400664335082969e+04,4.8773751723391330e+00
2800,7.5400664335082969e+04,4.8773751723391330e+00
2900,7.5400664335082969e+04,4.8773751723391330e+00
3000,7.5400664335082969e+04,4.8773751723391330e+00
3100,7.5400664335082969e+04,4.8773751723391330e+00
3200,7.0049615160151778e+04,4.8454057536934334e+00
3300,7.0049615160151778e+04,4.8454057536934334e+00
3400,7.0049615160151778e+04,4.8454057536934334e+00
3500,7.0049615160151778e+04,4.8454057536934334e+00
3600,6.9790247933161256e+04,4.8437947411803695e+00
3700,6.9790247933161256e+04,4.8437947411803695e+00
3800,6.9790247933161256e+04,4.8437947411803695e+00
3900,6.9790247933161256e+04,4.8437947411803695e+00
4000,6.9790247933161256e+04,4.8437947411803695e+00
4100,6.9790247933161256e+04,4.8437947411803695e+00
4200,6.9790247933161256e+04,4.8437947411803695e+00
4300,6.9790247933161256e+04,4.8437947411803695e+00
4400,6.9790247933161256e+04,4.8437947411803695e+00
4500,6.9790247933161256e+04,4.8437947411803695e+00
4600,6.9790247933161256e+04,4.8437947411803695e+00
4700,6.7622503625855257e+04,4.8300912458554430e+00
4800,6.7622503625855257e+04,4.8300912458554430e+00
4900,6.7622503625855257e+04,4.8300912458554430e+00
5000,6.7622503625855257e+04,4.8300912458554430e+00
5100,6.7622503625855257e+04,4.8300912458554430e+00
5200,6.7622503625855257e+04,4.8300912458554430e+00
5300,6.7622503625855257e+04,4.8300912458554430e+00
5400,6.7622503625855257e+04,4.8300912458554430e+00
5500,6.6331503430999845e+04,4.8217198408742483e+00
5600,6.6331503430999845e+04,4.8217198408742483e+00
