Run,Seed,E30000,E60000,E90000,E150000,E300000,E600000,E900000,E1200000,E1500000,E1800000,E2100000,E2400000,E2700000,E3000000
1,1027243856,1066999.405382996,1065426.2499126,1065426.2499126,1062023.857538093,1062023.857538093,1062023.857538093,1062023.857538093,1059697.659568517,1059697.659568517,1059697.659568517,1059697.659568517,1059697.659568517,1059697.659568517,1059697.659568517
2,1028243893,1064642.456451927,1064511.740532231,1064353.231334473,1064353.231334473,1063909.969988721,1063210.84753449,1063210.84753449,1061265.150021197,1061265.150021197,1061228.087272974,1061228.087272974,1061228.087272974,1061228.087272974,1061228.087272974
3,1029243930,1066739.774576279,1066049.678967226,1065476.420306129,1063218.808306255,1063009.897912688,1063009.897912688,1062362.818241142,1062362.818241142,1062362.818241142,1062362.818241142,1062362.818241142,1061474.724750255,1061151.409039422,1061151.409039422
4,1030243967,1064323.61254086,1061288.904610311,1061288.904610311,1061078.582288078,1061078.582288078,1061078.582288078,1061078.582288078,1061078.582288078,1061078.582288078,1061078.582288078,1061078.582288078,1061034.182296247,1061034.182296247,1061034.182296247
5,1031244004,1066072.593156006,1063835.671846225,1063835.671846225,1063835.671846225,1061509.153135395,1060273.488297978,1060273.488297978,1060273.488297978,1060273.488297978,1060273.488297978,1060273.488297978,1060273.488297978,1060012.510390545,1060012.510390545
6,1032244041,1065371.832585683,1063285.522956393,1062842.407562439,1062842.407562439,1062842.407562439,1062324.388824501,1061810.990826601,1061810.990826601,1061542.79296466,1061542.79296466,1061542.79296466,1061542.79296466,1061542.79296466,1061542.79296466
7,1033244078,1065107.44266535,1062635.307994469,1062635.307994469,1062635.307994469,1062635.307994469,1060160.851073575,1060160.851073575,1060160.851073575,1060160.851073575,1060160.851073575,1060160.851073575,1058877.850977075,1058877.850977075,1058847.481999138
8,1034244115,1067238.055003195,1063670.159897937,1062707.615704855,1062707.615704855,1061630.220853706,1061630.220853706,1061630.220853706,1061630.220853706,1061630.220853706,1061630.220853706,1061630.220853706,1061630.220853706,1061630.220853706,1061630.220853706
9,1035244152,1064230.001492949,1064230.001492949,1064230.001492949,1064174.640757583,1063925.256892522,1061652.59818239,1061652.59818239,1061496.650836517,1061496.650836517,1059545.907872355,1059545.907872355,1059545.907872355,1059545.907872355,1059545.907872355
10,1036244189,1063899.589325039,1063899.589325039,1063899.589325039,1063899.589325039,1063899.589325039,1060698.36814822,1060698.36814822,1060698.36814822,1060698.36814822,1060698.36814822,1060698.36814822,1060698.36814822,1060698.36814822,1060698.36814822
11,1037244226,1064756.34835875,1064756.34835875,1064756.34835875,1064432.530998226,1063007.975984263,1062165.407291733,1062165.407291733,1061284.539111029,1061284.539111029,1061284.539111029,1061284.539111029,1061284.539111029,1061284.539111029,1061284.539111029
12,1038244263,1065496.540809471,1065477.809807793,1065477.809807793,1064109.485491928,1064109.485491928,1064109.485491928,1063087.759734771,1061734.156654576,1061534.813647204,1061534.813647204,1061534.813647204,1061534.813647204,1061534.813647204,1061492.695917091
13,1039244300,1065808.13696149,1065808.13696149,1064530.32577087,1064530.32577087,1062197.204147869,1062197.204147869,1062197.204147869,1062197.204147869,1062197.204147869,1062197.204147869,1062197.204147869,1062197.204147869,1062197.204147869,1062197.204147869
14,1040244337,1064249.833687606,1064249.833687606,1064249.833687606,1063726.313195563,1063726.313195563,1063048.792884147,1061718.658466975,1061718.658466975,1061681.161481728,1061681.161481728,1061681.161481728,1061579.148311986,1061579.148311986,1061579.148311986
15,1041244374,1066090.360083397,1062686.169204657,1062686.169204657,1062686.169204657,1061384.458754579,1061384.458754579,1061384.458754579,1061384.458754579,1061384.458754579,1061384.458754579,1061356.530847554,1058429.238687043,1058429.238687043,1058429.238687043
16,1042244411,1064467.765642895,1064129.003458499,1064129.003458499,1064129.003458499,1063780.013268848,1063537.488237968,1062075.131834622,1061601.283039503,1061601.283039503,1061601.283039503,1061601.283039503,1061601.283039503,1061333.835616928,1061333.835616928
17,1043244448,1065683.765321676,1065004.550176513,1065004.550176513,1061182.633838481,1061182.633838481,1061182.633838481,1061182.633838481,1061182.633838481,1059176.206675314,1059176.206675314,1059176.206675314,1059168.643382291,1059168.643382291,1059168.643382291
18,1044244485,1065868.033985595,1065868.033985595,1065714.743399969,1064822.448236563,1063912.740150516,1062581.299397017,1062163.714011083,1061763.962362279,1061763.962362279,1061763.962362279,1061763.962362279,1061763.962362279,1061763.962362279,1061747.5617482
19,1045244522,1065943.865773523,1064846.717604442,1064846.717604442,1063175.677223746,1062505.317910928,1062505.317910928,1061625.627913378,1061625.627913378,1061625.627913378,1061625.627913378,1061422.551965333,1061422.551965333,1061422.551965333,1061422.551965333
20,1046244559,1064496.220673052,1063468.904877602,1063468.904877602,1062887.755354123,1062887.755354123,1062217.209255517,1062217.209255517,1061768.772620672,1061768.772620672,1061768.772620672,1061399.618300527,1061399.618300527,1061399.618300527,1061399.618300527
21,1047244596,1062661.208645629,1062661.208645629,1062661.208645629,1062661.208645629,1062661.208645629,1060816.525628471,1060816.525628471,1060816.525628471,1060816.525628471,1060816.525628471,1058057.133178628,1058057.133178628,1058057.133178628,1058057.133178628
22,1048244633,1065754.591279753,1065754.591279753,1065754.591279753,1064363.274676126,1062816.253247394,1061501.691292745,1061501.691292745,1061501.691292745,1061501.691292745,1061501.691292745,1061501.691292745,1061501.691292745,1061501.691292745,1061501.691292745
23,1049244670,1064638.11080987,1064638.11080987,1063472.875670382,1063472.875670382,1063472.875670382,1061542.587526008,1061542.587526008,1061542.587526008,1061542.587526008,1061542.587526008,1061542.587526008,1061542.587526008,1061465.786448053,1061465.786448053
24,1050244707,1065642.919123613,1064159.746396025,1064159.746396025,1062138.96796312,1062138.96796312,1062138.96796312,1060892.004577543,1060892.004577543,1060892.004577543,1060892.004577543,1060892.004577543,1060892.004577543,1060892.004577543,1060892.004577543
