==============================================================================================================
DETAILED PER-RUN LOG   FDB-AGSK   CEC2013LSGO   D1000
runs per function : 25
functions         : [1 2 3 4 5 6 7 8 9 10 11 12 15]
statistics basis  : raw objective
generated         : 2026-07-23_12.25.05
==============================================================================================================

----- F1  D1000  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      1022243691    2.9253468625614531e+07   nan                      3000000       max_evaluations         729.4249  
2      1023243728    2.1153646653777471e+08   nan                      3000000       max_evaluations         625.1678  
3      1024243765    6.1988545749800794e+07   nan                      3000000       max_evaluations         626.5967  
4      1025243802    4.0982453437062338e+07   nan                      3000000       max_evaluations         625.5265  
5      1026243839    3.1438408531982476e+08   nan                      3000000       max_evaluations         625.4493  
6      1027243876    1.6287389473446563e+07   nan                      3000000       max_evaluations         628.8575  
7      1028243913    3.6210031700396106e+07   nan                      3000000       max_evaluations         627.9549  
8      1029243950    3.6167159295125835e+07   nan                      3000000       max_evaluations         733.6270  
9      1030243987    1.6584787487423487e+07   nan                      3000000       max_evaluations         726.8015  
10     1031244024    5.8406559065164067e+07   nan                      3000000       max_evaluations         721.8915  
11     1032244061    3.2725998680821024e+07   nan                      3000000       max_evaluations         728.1457  
12     1033244098    4.6634064594881050e+07   nan                      3000000       max_evaluations         728.8696  
13     1034244135    2.4567890834868103e+07   nan                      3000000       max_evaluations         743.3572  
14     1035244172    6.5553835388745576e+07   nan                      3000000       max_evaluations         616.0892  
15     1036244209    1.1105649800574411e+08   nan                      3000000       max_evaluations         618.7241  
16     1037244246    2.5305735366764013e+07   nan                      3000000       max_evaluations         622.4412  
17     1038244283    2.6380051817839298e+07   nan                      3000000       max_evaluations         621.2561  
18     1039244320    1.3253374644887650e+07   nan                      3000000       max_evaluations         623.3808  
19     1040244357    1.0579169633715980e+07   nan                      3000000       max_evaluations         618.7666  
20     1041244394    2.9438498951347221e+07   nan                      3000000       max_evaluations         634.7897  
21     1042244431    6.6299084871235237e+07   nan                      3000000       max_evaluations         633.3027  
22     1043244468    1.9126042035332359e+07   nan                      3000000       max_evaluations         631.4029  
23     1044244505    1.1743520660942259e+08   nan                      3000000       max_evaluations         632.0988  
24     1045244542    6.4491818298650570e+07   nan                      3000000       max_evaluations         630.9496  
25     1046244579    1.5411765539271176e+07   nan                      3000000       max_evaluations         629.5916  

----- F2  D1000  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      1023243724    8.2879034474985201e+03   nan                      3000000       max_evaluations         1050.6037 
2      1024243761    7.3596017816864896e+03   nan                      3000000       max_evaluations         898.8946  
3      1025243798    8.2260277893768907e+03   nan                      3000000       max_evaluations         885.3790  
4      1026243835    1.3156007620201537e+04   nan                      3000000       max_evaluations         930.8546  
5      1027243872    7.2806612436561390e+03   nan                      3000000       max_evaluations         910.9197  
6      1028243909    8.5031727636022606e+03   nan                      3000000       max_evaluations         888.1581  
7      1029243946    1.0324179990561852e+04   nan                      3000000       max_evaluations         936.1866  
8      1030243983    7.8140862695516626e+03   nan                      3000000       max_evaluations         1041.0451 
9      1031244020    8.4223969104467487e+03   nan                      3000000       max_evaluations         1051.3021 
10     1032244057    7.8044073806141305e+03   nan                      3000000       max_evaluations         1052.6133 
11     1033244094    7.9452254728070984e+03   nan                      3000000       max_evaluations         1056.7906 
12     1034244131    7.8166902079812307e+03   nan                      3000000       max_evaluations         1041.2578 
13     1035244168    7.8763773768524979e+03   nan                      3000000       max_evaluations         1056.4793 
14     1036244205    1.0874034751544970e+04   nan                      3000000       max_evaluations         897.5097  
15     1037244242    8.3919315141903207e+03   nan                      3000000       max_evaluations         852.8976  
16     1038244279    8.0599506094185354e+03   nan                      3000000       max_evaluations         862.4875  
17     1039244316    7.9131274769971178e+03   nan                      3000000       max_evaluations         866.2517  
18     1040244353    7.2933589495247925e+03   nan                      3000000       max_evaluations         864.0328  
19     1041244390    7.3444100029981701e+03   nan                      3000000       max_evaluations         855.7059  
20     1042244427    7.6755483965292797e+03   nan                      3000000       max_evaluations         912.5520  
21     1043244464    7.4425398766659901e+03   nan                      3000000       max_evaluations         918.2244  
22     1044244501    8.1628766126456412e+03   nan                      3000000       max_evaluations         914.4913  
23     1045244538    9.5635669733064915e+03   nan                      3000000       max_evaluations         932.2851  
24     1046244575    8.5514648228752903e+03   nan                      3000000       max_evaluations         925.1115  
25     1047244612    6.4593854781188729e+03   nan                      3000000       max_evaluations         914.0051  

----- F3  D1000  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      1024243757    2.0853371272922757e+01   nan                      3000000       max_evaluations         1065.2065 
2      1025243794    2.1260843084494336e+01   nan                      3000000       max_evaluations         933.7012  
3      1026243831    2.1040713810745014e+01   nan                      3000000       max_evaluations         927.5037  
4      1027243868    2.1178424451071283e+01   nan                      3000000       max_evaluations         931.0036  
5      1028243905    2.1245162349150363e+01   nan                      3000000       max_evaluations         933.3112  
6      1029243942    2.1089321142858019e+01   nan                      3000000       max_evaluations         931.2770  
7      1030243979    2.1236529094213857e+01   nan                      3000000       max_evaluations         931.4734  
8      1031244016    2.1265377669658086e+01   nan                      3000000       max_evaluations         1080.8902 
9      1032244053    2.0412477161712179e+01   nan                      3000000       max_evaluations         1048.4041 
10     1033244090    2.0843942011510009e+01   nan                      3000000       max_evaluations         1083.4494 
11     1034244127    2.1042345300241969e+01   nan                      3000000       max_evaluations         1077.5936 
12     1035244164    2.0614320827499451e+01   nan                      3000000       max_evaluations         1050.3608 
