==============================================================================================================
DETAILED PER-RUN LOG   FDB-AGSK   CEC2013LSGO   D905
runs per function : 25
functions         : [13]
statistics basis  : raw objective
generated         : 2026-07-23_11.21.44
==============================================================================================================

----- F13  D905  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      939243802     1.2975426548683383e+09   nan                      3000000       max_evaluations         1239.2415 
2      940243839     7.9053848205673647e+08   nan                      3000000       max_evaluations         1120.9938 
3      941243876     9.2449635741043770e+08   nan                      3000000       max_evaluations         1120.9150 
4      942243913     9.5121468030355000e+08   nan                      3000000       max_evaluations         1117.2742 
5      943243950     4.2398345177868778e+08   nan                      3000000       max_evaluations         1115.3461 
6      944243987     1.0118206025333724e+09   nan                      3000000       max_evaluations         1118.0062 
7      945244024     1.1642274363059056e+09   nan                      3000000       max_evaluations         1129.0900 
8      946244061     7.5012882933173263e+08   nan                      3000000       max_evaluations         1241.1113 
9      947244098     5.0506791614643228e+08   nan                      3000000       max_evaluations         1241.1543 
10     948244135     1.2856475017372227e+09   nan                      3000000       max_evaluations         1235.6891 
11     949244172     9.2181472729010594e+08   nan                      3000000       max_evaluations         1239.1088 
12     950244209     1.4640052273007071e+09   nan                      3000000       max_evaluations         1243.2260 
13     951244246     1.5927880808014219e+09   nan                      3000000       max_evaluations         1246.7088 
14     952244283     5.4522879776278460e+08   nan                      3000000       max_evaluations         1024.4442 
15     953244320     1.7870705435959151e+09   nan                      3000000       max_evaluations         1023.1969 
16     954244357     1.2062926491961246e+09   nan                      3000000       max_evaluations         1021.9579 
17     955244394     8.0467351372274435e+08   nan                      3000000       max_evaluations         1021.6406 
18     956244431     1.8838532824602966e+09   nan                      3000000       max_evaluations         1024.7861 
19     957244468     7.8542771275085068e+08   nan                      3000000       max_evaluations         1023.4666 
20     958244505     6.4715557636124086e+08   nan                      3000000       max_evaluations         1047.7526 
21     959244542     1.1619934865219686e+09   nan                      3000000       max_evaluations         1050.1014 
22     960244579     7.2131483624698675e+08   nan                      3000000       max_evaluations         1052.4535 
23     961244616     9.2613133153724611e+08   nan                      3000000       max_evaluations         1049.1347 
24     962244653     6.3041062016337132e+08   nan                      3000000       max_evaluations         1047.3375 
25     963244690     5.6343395294495344e+08   nan                      3000000       max_evaluations         1049.4053 

