==============================================================================================================
DETAILED PER-RUN LOG   FDB-AGSK   CEC2013LSGO   D905
runs per function : 25
functions         : [13 14]
statistics basis  : raw objective
generated         : 2026-07-23_12.25.04
==============================================================================================================

----- F13  D905  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      939243802     1.2975426548683383e+09   nan                      3000000       max_evaluations         1239.2415 
2      940243839     7.9053848205673647e+08   nan                      3000000       max_evaluations         1120.9938 
3      941243876     9.2449635741043770e+08   nan                      3000000       max_evaluations         1120.9150 
4      942243913     9.5121468030355000e+08   nan                      3000000       max_evaluations         1117.2742 
5      943243950     4.2398345177868778e+08   nan                      3000000       max_evaluations         1115.3461 
6      944243987     1.0118206025333724e+09   nan                      3000000       max_evaluations         1118.0062 
7      945244024     1.1642274363059056e+09   nan                      3000000       max_evaluations         1129.0900 
8      946244061     7.5012882933173263e+08   nan                      3000000       max_evaluations         1241.1113 
9      947244098     5.0506791614643228e+08   nan                      3000000       max_evaluations         1241.1543 
10     948244135     1.2856475017372227e+09   nan                      3000000       max_evaluations         1235.6891 
11     949244172     9.2181472729010594e+08   nan                      3000000       max_evaluations         1239.1088 
12     950244209     1.4640052273007071e+09   nan                      3000000       max_evaluations         1243.2260 
13     951244246     1.5927880808014219e+09   nan                      3000000       max_evaluations         1246.7088 
14     952244283     5.4522879776278460e+08   nan                      3000000       max_evaluations         1024.4442 
15     953244320     1.7870705435959151e+09   nan                      3000000       max_evaluations         1023.1969 
16     954244357     1.2062926491961246e+09   nan                      3000000       max_evaluations         1021.9579 
17     955244394     8.0467351372274435e+08   nan                      3000000       max_evaluations         1021.6406 
18     956244431     1.8838532824602966e+09   nan                      3000000       max_evaluations         1024.7861 
19     957244468     7.8542771275085068e+08   nan                      3000000       max_evaluations         1023.4666 
20     958244505     6.4715557636124086e+08   nan                      3000000       max_evaluations         1047.7526 
21     959244542     1.1619934865219686e+09   nan                      3000000       max_evaluations         1050.1014 
22     960244579     7.2131483624698675e+08   nan                      3000000       max_evaluations         1052.4535 
23     961244616     9.2613133153724611e+08   nan                      3000000       max_evaluations         1049.1347 
24     962244653     6.3041062016337132e+08   nan                      3000000       max_evaluations         1047.3375 
25     963244690     5.6343395294495344e+08   nan                      3000000       max_evaluations         1049.4053 

----- F14  D905  (25 runs)  optimum=nan  target_error=nan -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      940243835     1.1915737509773571e+09   nan                      3000000       max_evaluations         1195.6014 
2      941243872     1.4949336439116216e+09   nan                      3000000       max_evaluations         1061.7321 
3      942243909     4.3501249697782326e+09   nan                      3000000       max_evaluations         1056.0866 
4      943243946     1.9886396858726525e+09   nan                      3000000       max_evaluations         1055.7892 
5      944243983     2.6482416677489386e+09   nan                      3000000       max_evaluations         1060.4676 
6      945244020     1.3968959110543666e+09   nan                      3000000       max_evaluations         1063.6425 
7      946244057     1.7984004213228731e+09   nan                      3000000       max_evaluations         1061.7619 
8      947244094     1.6378274423960366e+09   nan                      3000000       max_evaluations         1185.8080 
9      948244131     2.1223481091650383e+09   nan                      3000000       max_evaluations         1186.2988 
10     949244168     2.0947681575493655e+09   nan                      3000000       max_evaluations         1195.1697 
11     950244205     5.9177704705311441e+09   nan                      3000000       max_evaluations         1189.2177 
12     951244242     1.7369095099777226e+09   nan                      3000000       max_evaluations         1196.2486 
13     952244279     1.5857567757268977e+09   nan                      3000000       max_evaluations         1197.4896 
14     953244316     1.2471524696573858e+09   nan                      3000000       max_evaluations         1069.9147 
15     954244353     2.7912267898870587e+09   nan                      3000000       max_evaluations         1066.3158 
16     955244390     2.0510666389169357e+09   nan                      3000000       max_evaluations         1063.2791 
17     956244427     7.7152227851552939e+08   nan                      3000000       max_evaluations         1071.8684 
18     957244464     2.5705048427616091e+09   nan                      3000000       max_evaluations         1072.7241 
19     958244501     1.0023070574095514e+09   nan                      3000000       max_evaluations         1070.0570 
20     959244538     2.1159985537053542e+09   nan                      3000000       max_evaluations         1091.7490 
21     960244575     1.5226429439871457e+09   nan                      3000000       max_evaluations         1088.8448 
22     961244612     1.1350188373008435e+09   nan                      3000000       max_evaluations         1085.7513 
23     962244649     1.0838409816589379e+09   nan                      3000000       max_evaluations         1086.4845 
24     963244686     2.3557639669488931e+09   nan                      3000000       max_evaluations         1086.4208 
25     964244723     1.2519442833250444e+09   nan                      3000000       max_evaluations         1088.2788 

