Eval,BestError,Log10Error
100,3.9084069420761500e+02,2.5919997760030125e+00
200,3.9084069420761500e+02,2.5919997760030125e+00
300,3.7762082381124799e+02,2.5770559353531426e+00
399,3.5360947914883798e+02,2.5485238985549907e+00
498,3.5360947914883798e+02,2.5485238985549907e+00
597,3.5360947914883798e+02,2.5485238985549907e+00
696,2.7276901314943001e+02,2.4357950324706081e+00
795,2.7276901314943001e+02,2.4357950324706081e+00
894,2.7276901314943001e+02,2.4357950324706081e+00
992,2.7276901314943001e+02,2.4357950324706081e+00
1090,2.7276901314943001e+02,2.4357950324706081e+00
1188,2.7276901314943001e+02,2.4357950324706081e+00
1286,2.7276901314943001e+02,2.4357950324706081e+00
1384,2.1763886872264669e+02,2.3377364597959467e+00
1481,1.9669426643576250e+02,2.2937917005822666e+00
1578,1.8548778357349599e+02,2.2683153117875645e+00
1675,1.8548778357349599e+02,2.2683153117875645e+00
1772,1.8548778357349599e+02,2.2683153117875645e+00
1868,1.8548778357349599e+02,2.2683153117875645e+00
1964,1.8548778357349599e+02,2.2683153117875645e+00
2060,1.6108513170447799e+02,2.2070554565167058e+00
2156,1.6108513170447799e+02,2.2070554565167058e+00
2252,1.6108513170447799e+02,2.2070554565167058e+00
2347,1.4820055895447200e+02,2.1708498416351114e+00
2442,1.4820055895447200e+02,2.1708498416351114e+00
2537,1.4820055895447200e+02,2.1708498416351114e+00
2632,1.4820055895447200e+02,2.1708498416351114e+00
2727,1.4820055895447200e+02,2.1708498416351114e+00
2821,1.4820055895447200e+02,2.1708498416351114e+00
2915,1.4820055895447200e+02,2.1708498416351114e+00
3009,1.4820055895447200e+02,2.1708498416351114e+00
3103,1.4820055895447200e+02,2.1708498416351114e+00
3197,1.4820055895447200e+02,2.1708498416351114e+00
3290,1.4820055895447200e+02,2.1708498416351114e+00
3383,1.4820055895447200e+02,2.1708498416351114e+00
3476,1.4820055895447200e+02,2.1708498416351114e+00
3569,1.4820055895447200e+02,2.1708498416351114e+00
3661,1.4820055895447200e+02,2.1708498416351114e+00
3753,1.4820055895447200e+02,2.1708498416351114e+00
3845,1.4820055895447200e+02,2.1708498416351114e+00
3937,1.4820055895447200e+02,2.1708498416351114e+00
4029,1.4820055895447200e+02,2.1708498416351114e+00
4120,1.4689596592001601e+02,2.1670098692910535e+00
4211,1.4689596592001601e+02,2.1670098692910535e+00
4302,1.4486750798358301e+02,2.1609709894339644e+00
4393,1.4486750798358301e+02,2.1609709894339644e+00
4483,1.4486750798358301e+02,2.1609709894339644e+00
4573,1.4486750798358301e+02,2.1609709894339644e+00
4663,1.4486750798358301e+02,2.1609709894339644e+00
4753,1.4486750798358301e+02,2.1609709894339644e+00
4843,1.4486750798358301e+02,2.1609709894339644e+00
4932,1.4486750798358301e+02,2.1609709894339644e+00
5021,1.4486750798358301e+02,2.1609709894339644e+00
5110,1.4486750798358301e+02,2.1609709894339644e+00
5199,1.4486750798358301e+02,2.1609709894339644e+00
5287,1.4486750798358301e+02,2.1609709894339644e+00
5375,1.4061257197095401e+02,2.1480241520744312e+00
5463,1.4061257197095401e+02,2.1480241520744312e+00
5551,1.3829388024129639e+02,2.1408029622044626e+00
5639,1.3829388024129639e+02,2.1408029622044626e+00
5726,1.3829388024129639e+02,2.1408029622044626e+00
5813,1.3829388024129639e+02,2.1408029622044626e+00
5900,1.3829388024129639e+02,2.1408029622044626e+00
5987,1.3829388024129639e+02,2.1408029622044626e+00
6073,1.3829388024129639e+02,2.1408029622044626e+00
6159,1.3829388024129639e+02,2.1408029622044626e+00
6245,1.3829388024129639e+02,2.1408029622044626e+00
6331,1.3829388024129639e+02,2.1408029622044626e+00
6417,1.3829388024129639e+02,2.1408029622044626e+00
6502,1.3799421944431651e+02,2.1398608942561901e+00
6587,1.3799421944431651e+02,2.1398608942561901e+00
6672,1.3799421944431651e+02,2.1398608942561901e+00
6757,1.3799421944431651e+02,2.1398608942561901e+00
6841,1.3799421944431651e+02,2.1398608942561901e+00
6925,1.3799421944431651e+02,2.1398608942561901e+00
7009,1.3799421944431651e+02,2.1398608942561901e+00
7093,1.3799421944431651e+02,2.1398608942561901e+00
7177,1.3799421944431651e+02,2.1398608942561901e+00
7260,1.3799421944431651e+02,2.1398608942561901e+00
