==============================================================================================================
DETAILED PER-RUN LOG   FDB-AGSK   CEC2020   D15
runs per function : 30
functions         : [1 2 3 4 5 6 7 8 9 10]
statistics basis  : error vs known optimum
generated         : 2026-07-28_11.54.06
==============================================================================================================

----- F1  D15  (30 runs)  optimum=100  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      37240736      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         84.4877   
2      38240773      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         83.7013   
3      39240810      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         84.8897   
4      40240847      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         85.0802   
5      41240884      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         83.8406   
6      42240921      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         84.8246   
7      43240958      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         85.4755   
8      44240995      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         85.5676   
9      45241032      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         85.2911   
10     46241069      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         86.4756   
11     47241106      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         86.5744   
12     48241143      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         84.9377   
13     49241180      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         84.8061   
14     50241217      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         84.2598   
15     51241254      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         86.3344   
16     52241291      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         86.3626   
17     53241328      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         85.9654   
18     54241365      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         86.2791   
19     55241402      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         85.4704   
20     56241439      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         86.9168   
21     57241476      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         85.3026   
22     58241513      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         87.4609   
23     59241550      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         86.0653   
24     60241587      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         87.1414   
25     61241624      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         86.4758   
26     62241661      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         86.5024   
27     63241698      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         86.8493   
28     64241735      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         86.7289   
29     65241772      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         27.7632   
30     66241809      1.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         27.8225   

----- F2  D15  (30 runs)  optimum=1100  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      38240769      1.1055575644719120e+03   5.5575644719120003e+00   3000000       max_evaluations         88.9159   
2      39240806      1.2303903201488301e+03   1.3039032014883011e+02   3000000       max_evaluations         87.2506   
3      40240843      1.1050824109739369e+03   5.0824109739369998e+00   3000000       max_evaluations         86.6545   
4      41240880      1.2261375883361688e+03   1.2613758833616880e+02   3000000       max_evaluations         87.5053   
5      42240917      1.1228716432373622e+03   2.2871643237362200e+01   3000000       max_evaluations         88.0385   
6      43240954      1.1190555606207445e+03   1.9055560620744501e+01   3000000       max_evaluations         91.8509   
7      44240991      1.1526035070888429e+03   5.2603507088843003e+01   3000000       max_evaluations         91.9891   
8      45241028      1.1123150474350787e+03   1.2315047435078700e+01   3000000       max_evaluations         88.8777   
9      46241065      1.1102485115641111e+03   1.0248511564111100e+01   3000000       max_evaluations         91.8538   
10     47241102      1.1241973230827807e+03   2.4197323082780699e+01   3000000       max_evaluations         91.8333   
11     48241139      1.2454949094113754e+03   1.4549490941137540e+02   3000000       max_evaluations         92.0823   
12     49241176      1.1113263254948106e+03   1.1326325494810600e+01   3000000       max_evaluations         91.6994   
13     50241213      1.1024043504549982e+03   2.4043504549982000e+00   3000000       max_evaluations         88.1485   
14     51241250      1.1262447277127358e+03   2.6244727712735799e+01   3000000       max_evaluations         87.6023   
15     52241287      1.1170629533710207e+03   1.7062953371020701e+01   3000000       max_evaluations         88.6052   
16     53241324      1.1079869860475528e+03   7.9869860475527998e+00   3000000       max_evaluations         88.1716   
17     54241361      1.1013147865719220e+03   1.3147865719220000e+00   3000000       max_evaluations         87.6593   
18     55241398      1.1149380109017011e+03   1.4938010901701000e+01   3000000       max_evaluations         89.0444   
19     56241435      1.1462844244883927e+03   4.6284424488392702e+01   3000000       max_evaluations         88.1773   
20     57241472      1.1189813619172810e+03   1.8981361917280999e+01   3000000       max_evaluations         86.9185   
21     58241509      1.1323112286025553e+03   3.2311228602555303e+01   3000000       max_evaluations         89.3892   
22     59241546      1.1217420876803526e+03   2.1742087680352601e+01   3000000       max_evaluations         87.9489   
23     60241583      1.1122704256004690e+03   1.2270425600469000e+01   3000000       max_evaluations         89.6106   
24     61241620      1.2215979957393629e+03   1.2159799573936300e+02   3000000       max_evaluations         88.4513   
25     62241657      1.1222748576234171e+03   2.2274857623417098e+01   3000000       max_evaluations         88.6798   
26     63241694      1.2331956441630491e+03   1.3319564416304900e+02   3000000       max_evaluations         89.1265   
27     64241731      1.1289780713639902e+03   2.8978071363990200e+01   3000000       max_evaluations         88.6345   
28     65241768      1.1070315524364487e+03   7.0315524364486999e+00   3000000       max_evaluations         88.5179   
29     66241805      1.1333347988163578e+03   3.3334798816357797e+01   3000000       max_evaluations         33.1906   
30     67241842      1.1129860451869909e+03   1.2986045186990900e+01   3000000       max_evaluations         32.8566   

----- F3  D15  (30 runs)  optimum=700  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      39240802      7.1660826878584032e+02   1.6608268785840298e+01   3000000       max_evaluations         90.4080   
2      40240839      7.1679478545282689e+02   1.6794785452826900e+01   3000000       max_evaluations         91.3287   
3      41240876      7.0000000000000000e+02   0.0000000000000000e+00   3000000       max_evaluations         91.6560   
4      42240913      7.0060642580747538e+02   6.0642580747539998e-01   3000000       max_evaluations         92.2293   
5      43240950      7.1556697651303898e+02   1.5566976513039000e+01   3000000       max_evaluations         91.7045   
6      44240987      7.1594213196731084e+02   1.5942131967310800e+01   3000000       max_evaluations         93.0387   
7      45241024      7.0198991811418659e+02   1.9899181141866000e+00   3000000       max_evaluations         93.3795   
8      46241061      7.1564629821271501e+02   1.5646298212714999e+01   3000000       max_evaluations         94.3078   
9      47241098      7.1556697651303898e+02   1.5566976513039000e+01   3000000       max_evaluations         94.2143   
10     48241135      7.1556697651303898e+02   1.5566976513039000e+01   3000000       max_evaluations         92.9962   
11     49241172      7.1651103680623419e+02   1.6511036806234198e+01   3000000       max_evaluations         93.3720   
12     50241209      7.1578381918834089e+02   1.5783819188340900e+01   3000000       max_evaluations         94.5072   
13     51241246      7.1609432587122160e+02   1.6094325871221599e+01   3000000       max_evaluations         91.9598   
14     52241283      7.1619532694509894e+02   1.6195326945098898e+01   3000000       max_evaluations         90.0790   
15     53241320      7.1626819914933367e+02   1.6268199149333700e+01   3000000       max_evaluations         90.1185   
16     54241357      7.1594213196731084e+02   1.5942131967310800e+01   3000000       max_evaluations         91.2819   
17     55241394      7.1574084979115105e+02   1.5740849791151000e+01   3000000       max_evaluations         91.8598   
18     56241431      7.0315455939136234e+02   3.1545593913622998e+00   3000000       max_evaluations         91.9131   
19     57241468      7.1556697651303898e+02   1.5566976513039000e+01   3000000       max_evaluations         91.6912   
20     58241505      7.1619532694509894e+02   1.6195326945098898e+01   3000000       max_evaluations         91.7161   
21     59241542      7.1597852256649685e+02   1.5978522566496800e+01   3000000       max_evaluations         91.4619   
22     60241579      7.1564629821271501e+02   1.5646298212714999e+01   3000000       max_evaluations         92.2113   
23     61241616      7.1556697651303898e+02   1.5566976513039000e+01   3000000       max_evaluations         92.9850   
24     62241653      7.1556697651303898e+02   1.5566976513039000e+01   3000000       max_evaluations         93.0733   
25     63241690      7.1556697651303898e+02   1.5566976513039000e+01   3000000       max_evaluations         93.6453   
26     64241727      7.1556697651303898e+02   1.5566976513039000e+01   3000000       max_evaluations         93.1835   
27     65241764      7.1556697651303898e+02   1.5566976513039000e+01   3000000       max_evaluations         92.4422   
28     66241801      7.1556697651303898e+02   1.5566976513039000e+01   3000000       max_evaluations         92.7615   
29     67241838      7.1677340356381285e+02   1.6773403563812799e+01   3000000       max_evaluations         33.3488   
30     68241875      7.1556697651303898e+02   1.5566976513039000e+01   3000000       max_evaluations         32.1095   

