==============================================================================================================
DETAILED PER-RUN LOG   FDB-AGSK   CEC2020   D20
runs per function : 30
functions         : [1]
statistics basis  : error vs known optimum
generated         : 2026-07-28_11.54.06
==============================================================================================================

----- F1  D20  (30 runs)  optimum=100  target_error=1e-08 -----
Run    Seed          Best_Fitness             Error                    NFEs          Termination             Runtime_s 
1      42240751      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         277.3153  
2      43240788      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         275.6228  
3      44240825      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         272.7867  
4      45240862      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         275.8307  
5      46240899      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         275.6852  
6      47240936      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         283.4202  
7      48240973      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         284.6146  
8      49241010      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         284.0998  
9      50241047      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         280.5569  
10     51241084      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         282.0422  
11     52241121      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         281.8247  
12     53241158      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         286.0399  
13     54241195      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         273.6543  
14     55241232      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         272.9129  
15     56241269      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         287.5136  
16     57241306      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         287.5522  
17     58241343      1.0000000000000001e+02   0.0000000000000000e+00   10000000      max_evaluations         284.2131  
18     59241380      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         289.4245  
19     60241417      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         289.0949  
20     61241454      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         289.8101  
21     62241491      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         289.2428  
22     63241528      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         293.7337  
23     64241565      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         291.9480  
24     65241602      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         291.8722  
25     66241639      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         292.1649  
26     67241676      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         291.6479  
27     68241713      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         292.1302  
28     69241750      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         291.8118  
29     70241787      1.0000000000000000e+02   0.0000000000000000e+00   10000000      max_evaluations         97.2798   
30     71241824      1.0000000000000001e+02   0.0000000000000000e+00   10000000      max_evaluations         95.9151   

